region	city	name	url
CA	Santa Ana	GB Santa Ana	https://graciebarra.com/santa-ana-ca
CA	Santa Rosa	GB Santa Rosa	https://graciebarra.com/santa-rosa-ca/
CA	Simi Valley	GB Simi Valley	https://graciebarra.com/simi-valley-ca/
TX	Spring Branch	GB Spring Branch	https://graciebarra.com/spring-branch-tx/
IL	Springfield	GB Springfield	https://graciebarra.com/springfield-il/
FL	Stuart	GB Stuart	https://graciebarra.com/stuart-fl/
OR	Tigard	Gracie Barra Sw Portland	https://graciebarra.com/sw-portland-or/
CA	West Covina	GB West Covina	https://graciebarra.com/west-covina-ca/
FL	Orlando	GB Windermere	https://graciebarra.com/windermere-fl/
CA	Yuba City	GB Yuba City	https://graciebarra.com/yuba-city-ca/
PA	Allentown	Tiger Schulmann's Mixed Martial Arts Allentown	https://tsk.com/jiu-jitsu-classes/allentown-jiu-jitsu/
CT	Stamford	Tiger Schulmann's Martial Arts Stamford CT	https://tsk.com/locations/ct/stamford/
NJ	Brick Township	Tiger Schulmann's Martial Arts Brick NJ	https://tsk.com/locations/nj/brick/
NJ	East Brunswick	Tiger Schulmann's Martial Arts East Brunswick NJ	https://tsk.com/locations/nj/east-brunswick/
NJ	Eatontown	Tiger Schulmann's Martial Arts Eatontown NJ	https://tsk.com/locations/nj/eatontown/
NJ	Elmwood Park	Tiger Schulmann's Martial Arts Elmwood Park NJ	https://tsk.com/locations/nj/elmwood-park/
NJ	Englewood	Tiger Schulmann's Martial Arts Englewood NJ	https://tsk.com/locations/nj/englewood/
NJ	Freehold Township	Tiger Schulmann's Martial Arts Freehold NJ	https://tsk.com/locations/nj/freehold/
NJ	Hoboken	Tiger Schulmann's Martial Arts Hoboken NJ	https://tsk.com/locations/nj/hoboken/
NJ	Jersey City	Tiger Schulmann's Martial Arts Jersey City NJ	https://tsk.com/locations/nj/jersey-city/
NJ	North Plainfield	Tiger Schulmann's Martial Arts North Plainfield NJ	https://tsk.com/locations/nj/north-plainfield/
NJ	Paramus	Tiger Schulmann's Martial Arts Paramus NJ	https://tsk.com/locations/nj/paramus/
NJ	Lawrence Township	Tiger Schulmann's Martial Arts Princeton	https://tsk.com/locations/nj/princeton/
NJ	Ramsey	Tiger Schulmann's Martial Arts Ramsey NJ	https://tsk.com/locations/nj/ramsey/
NJ	Randolph	Tiger Schulmann's Martial Arts Randolph NJ	https://tsk.com/locations/nj/randolph/
NJ	Red Bank	Tiger Schulmann's Martial Arts Red Bank NJ	https://tsk.com/locations/nj/red-bank/
NJ	Short Hills	Tiger Schulmann's Martial Arts Short Hills NJ	https://tsk.com/locations/nj/short-hills/
NJ	Wayne	Tiger Schulmann's Martial Arts Wayne NJ	https://tsk.com/locations/nj/wayne/
NJ	West Orange	Tiger Schulmann's Martial Arts West Orange NJ	https://tsk.com/locations/nj/westorange/
NY	Queens	Tiger Schulmann's Martial Arts Bellerose (Queens) NY	https://tsk.com/locations/ny/bellerose
