name	stored_url	stored_host	alt_host	original_verdict	original_note
Big John Mccarthy's Ultimate Training Gym	http://www.bjmuta.com/	www.bjmuta.com	bjmuta.com	PARKED	redirects to /lander domain parking page
Black Flag Jiu-Jitsu Club	http://www.blackflagjiujitsuclub.com/	www.blackflagjiujitsuclub.com	blackflagjiujitsuclub.com	HIJACK	real BJJ page with injected FXPro forex-broker
Black Tie Jiu Jitsu Clare	http://www.sbardellamma.com/	www.sbardellamma.com	sbardellamma.com	PARKED	GoDaddy domain-for-sale lander ($3,799)
Black Trunk Martial Arts	http://blacktrunk.net/	blacktrunk.net	www.blacktrunk.net	PARKED	redirects to /lander domain parking page
Boston Brazilian Jiu-Jitsu Newton	bbjiujitsu.com	bbjiujitsu.com	www.bbjiujitsu.com	HIJACK	Redirects to Indonesian Togel SDY gambling
Brantford BJJ	https://brantfordbjj.com	brantfordbjj.com	www.brantfordbjj.com	PARKED	Afternic/GoDaddy for-sale lander
Buckeye Mixed Martial Arts & Fitness	http://www.buckeyemma.com/	www.buckeyemma.com	buckeyemma.com	PARKED	domain-for-sale page, buy this domain
CageworX Brazilian Jiu-Jitsu/Muay Thai/Fitness	www.cageworx.com	www.cageworx.com	cageworx.com	PARKED	GoDaddy for-sale lander $6,940
Cascade Jiu-Jitsu	everettbjj.com	everettbjj.com	www.everettbjj.com	HIJACK	Injected cialis/viagra pharma spam paragraph
Checkmates Boxing and MMA Striking Skills	http://www.checkmates-boxing.com/	www.checkmates-boxing.com	checkmates-boxing.com	PARKED	ExpiredDomains.com domain-for-sale listing
College Park Mixed Martial Arts	cpmma.net	cpmma.net	www.cpmma.net	HIJACK	redirects to syairtogel.info Indonesian togel/
Combat Athletix	http://www.combatathletix.com/	www.combatathletix.com	combatathletix.com	WRONG_BUSINESS	combat-sports apparel/merch e-commerce shop, n
Combat CFMA - Functional Martial Arts	http://combatcfma.com/	combatcfma.com	www.combatcfma.com	WRONG_BUSINESS	school now located in Babcock Ranch, Florida; 
Comet BJJ	http://cometmma.com/	cometmma.com	www.cometmma.com	HIJACK	Vietnamese Sunwin casino gambling portal
Compass Jiu Jitsu	compassjiujitsu.com	compassjiujitsu.com	www.compassjiujitsu.com	PARKED	HugeDomains for-sale lander $4,295
Connecticut Martial Arts Training Center	http://ctmma.com/	ctmma.com	www.ctmma.com	PARKED	"GoDaddy ""domain is registered, but may still b"
Conquer Martial Arts	conquerma.com	conquerma.com	www.conquerma.com	WRONG_BUSINESS	Sport karate school, no grappling classes
Cornerstone Brazilian Jiu Jitsu	http://www.cornerstonebjj.com/	www.cornerstonebjj.com	cornerstonebjj.com	HIJACK	redirects to LOGOTOTO Indonesian slots/togel g
Crazy Monkey USA	www.crazymonkeyusahq.com	www.crazymonkeyusahq.com	crazymonkeyusahq.com	HIJACK	Chinese-language 九游 gaming/gambling portal
CrossFit Tigard - PAW	http://www.crossfittigardpaw.com	www.crossfittigardpaw.com	crossfittigardpaw.com	WRONG_BUSINESS	redirects to crossfittigard.com; CrossFit/fitn
Cruvinel Brothers Brazilian Jiujitsu / GFTeam	http://www.cruvinelbrothers.com/	www.cruvinelbrothers.com	cruvinelbrothers.com	PARKED	GoDaddy Auctions lander, domain for sale
Cutting Edge Brazilian Jiu Jitsu	http://cuttingedgebjj.com	cuttingedgebjj.com	www.cuttingedgebjj.com	HIJACK	"redirects to Indonesian gambling/slots site ""A"
DC Fighters USA	http://www.dcfightersusa.com	www.dcfightersusa.com	dcfightersusa.com	HIJACK	"redirects to browserleakscheck.com proxy/VPN """
Daimyo Brazilian Jiujitsu	https://daimyobjj.com	daimyobjj.com	www.daimyobjj.com	DEAD	Cloudflare 520, origin web server error
