name	stored_url	stored_host	alt_host	original_verdict	original_note
Peloton Martial Arts Center	http://www.peloton-bjj.com	www.peloton-bjj.com	peloton-bjj.com	DEAD	NXDOMAIN (Status 3) at the .com gTLD servers.
Presque Isle BJJ	https://presqueislebjj.com	presqueislebjj.com	www.presqueislebjj.com	DEAD	NXDOMAIN (Status 3) at the .com gTLD servers.
REAL WORLD MMA & Fitness	http://independentmartialarts.us/	independentmartialarts.us	www.independentmartialarts.us	NOT_GRAPPLING	Site is Noonan Independent Martial Arts operat
Refit Academy - Wynwood	http://www.refit-academy.com	www.refit-academy.com	refit-academy.com	DEAD	Apex refit-academy.com returns DNS Status 0 wi
Relentless Martial Arts	relentlessmartialarts.com	relentlessmartialarts.com	www.relentlessmartialarts.com	NOT_GRAPPLING	Right entity (6202 S Sheridan Rd Tulsa, OK 741
Ronin Jiu-Jitsu North Las Vegas	http://www.roninbjj.org	www.roninbjj.org	roninbjj.org	WRONG_ENTITY	"Site is live but is a different school: ""Ronin"
Ronin Martial Arts - Westport	https://www.westportmma.com/	www.westportmma.com	westportmma.com	DEAD	Authoritative nameservers REFUSED (Status 2, l
SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	http://sllgrapplingacademy.com/	sllgrapplingacademy.com	www.sllgrapplingacademy.com	DEAD	DNS Status 2: nameservers 192.185.65.17 and 19
Samuel Puccio Brazilian Jiu-Jitsu	https://bhmbjj.com/	bhmbjj.com	www.bhmbjj.com	DEAD	NXDOMAIN (Status 3) for both bhmbjj.com and ww
Souris Brazilian Jiu-Jitsu	https://sourisbjj.com	sourisbjj.com	www.sourisbjj.com	DEAD	DNS NXDOMAIN (Status 3)
Spartan Team Brazilian Jiu-Jitsu	http://spartanboxinggym.com/	spartanboxinggym.com	www.spartanboxinggym.com	NOT_GRAPPLING	"Live site is ""Spartan Boxing Gym"", a non-profi"
Stamford Judo	http://www.stamfordjudo.us/	www.stamfordjudo.us	stamfordjudo.us	PARKED	Trellian/Above.com domain parking: page title 
Summerlin BJJ	https://summerlinbjj.com	summerlinbjj.com	www.summerlinbjj.com	PARKED	Bluehost hosting placeholder, not a school sit
TeckHit Boxing, Kickboxing, & MMA Gym	https://teckhit.com/	teckhit.com	www.teckhit.com	DEAD	DNS dead: apex teckhit.com Status 0 with NO An
The Desert Dojo	https://thedesertdojo.com/	thedesertdojo.com	www.thedesertdojo.com	DEAD	Cloudflare nameservers delegated but no A reco
The Dojo LLC	http://www.thedojofc.com	www.thedojofc.com	thedojofc.com	HIJACKED	HIJACKED. thedojofc.com now serves a Chinese s
Touro Fajardo Brazilian Jiu Jitsu	https://www.tourofajardobrazilianjiujitsu.com	www.tourofajardobrazilianjiujitsu.com	tourofajardobrazilianjiujitsu.com	DEAD	NXDOMAIN (DNS Status 3) on both apex and www
UFC GYM East Rutherford	https://www.ufcgym.com/locations/east-rutherford/	www.ufcgym.com	ufcgym.com	DEAD	redirects to find-a-gym locations index
UFC GYM Lancaster	https://www.ufcgym.com/locations/lancaster/	www.ufcgym.com	ufcgym.com	DEAD	404
UFC GYM McAllen	https://www.ufcgym.com/locations/mcallen/	www.ufcgym.com	ufcgym.com	DEAD	404
UFC GYM Orange	https://www.ufcgym.com/locations/orange/	www.ufcgym.com	ufcgym.com	DEAD	redirects to find-a-gym locations index
UFC GYM Sacramento	https://www.ufcgym.com/locations/sacramento/	www.ufcgym.com	ufcgym.com	DEAD	404
UFC GYM Winter Springs	https://www.ufcgym.com/locations/winter-springs/	www.ufcgym.com	ufcgym.com	DEAD	404
UFC Gym Oceanside	https://www.ufcgym.com/locations/oceanside/	www.ufcgym.com	ufcgym.com	DEAD	redirects to find-a-gym locations index
Utica Combat Athletics	http://www.uticacombat.com	www.uticacombat.com	uticacombat.com	DEAD	DNS Status 3 NXDOMAIN on both uticacombat.com 
Westchester Mixed Martial Arts & Fitness	http://www.westchestermmafit.com	www.westchestermmafit.com	westchestermmafit.com	PARKED	"Redirects to HugeDomains: ""WestchesterMmAfIt.c"
Yojimbo BJJ	http://www.yojimbonyc.com	www.yojimbonyc.com	yojimbonyc.com	DEAD	DNS Status 3 NXDOMAIN for yojimbonyc.com (no z
