name	region	city	stored_url	alt_host
Gainesville BJJ Florida	FL	Gainesville	https://gainesvillebjjfl.com	www.gainesvillebjjfl.com
GTK Academy of Martial Arts	FL	Ocala	https://gtkacademy.com/	www.gtkacademy.com
Ronin Training Center Orlando	FL	Orlando	https://www.roninorlandofl.com/	roninorlandofl.com
School of Combat Arts	FL	Gainesville	https://schoolofcombatarts.com/	www.schoolofcombatarts.com
Team Remedy	FL	Pensacola	https://teamremedymma.com/	www.teamremedymma.com
BJ Penn MMA	HI	Hilo	https://bjpennmma.com	www.bjpennmma.com
Fighting Arts Academy Hawaii	HI	Maui	https://fightingartsacademyhi.com	www.fightingartsacademyhi.com
Kona BJJ	HI	Kailua-Kona	https://konabjj.com	www.konabjj.com
Maui BJJ Academy	HI	Kahului	https://mauibjjacademy.com	www.mauibjjacademy.com
Purebred Jiu-Jitsu	HI	Honolulu	https://purebredjiujitsu.com	www.purebredjiujitsu.com
Alliance Jiu Jitsu Iowa	IA	Cedar Rapids	https://alliancejiujitsuiowa.com	www.alliancejiujitsuiowa.com
Burlington BJJ Iowa	IA	Burlington	https://burlingtonbjjiowa.com	www.burlingtonbjjiowa.com
Clinton BJJ Iowa	IA	Clinton	https://clintonbjjiowa.com	www.clintonbjjiowa.com
Fighting Gravity Jiu Jitsu	IA	Davenport	https://fightinggravityjiujitsu.com	www.fightinggravityjiujitsu.com
Authentic BJJ Idaho	ID	Star	https://authenticbjjidaho.com	www.authenticbjjidaho.com
Lewiston ID BJJ	ID	Lewiston	https://lewistonidbjj.com	www.lewistonidbjj.com
Meridian BJJ Idaho	ID	Meridian	https://meridianbjjidaho.com	www.meridianbjjidaho.com
Snake River MMA	ID	Pocatello	https://snakerivermma.com	www.snakerivermma.com
Grassroots Jiu-Jitsu	IL	Chicago	https://grassrootsjiujitsu.com	www.grassrootsjiujitsu.com
Pedigo Submission Fighting	IL	Mt. Vernon	https://pedigosubmissionfighting.com	www.pedigosubmissionfighting.com
Alliance Jiu Jitsu Lawrence	KS	Lawrence	https://alliancejiujitsulawrence.com	www.alliancejiujitsulawrence.com
Manhattan KS BJJ	KS	Manhattan	https://manhattanksbjj.com	www.manhattanksbjj.com
Pittsburg KS BJJ	KS	Pittsburg	https://pittsburgksbjj.com	www.pittsburgksbjj.com
E-town Brazilian Jiu-Jitsu	KY	Elizabethtown	https://etownjiujitsu.com	www.etownjiujitsu.com
Hopkinsville BJJ	KY	Hopkinsville	https://hopkinsvillebjj.com	www.hopkinsvillebjj.com
Triple Crown MMA	KY	Lexington	https://triplecrownnmma.com	www.triplecrownnmma.com
Acadiana Martial Arts Academy	LA	Lafayette	https://www.acadianamartialarts.com/	acadianamartialarts.com
Alliance Jiu Jitsu Slidell	LA	Slidell	https://www.alliancebjjslidell.com/	alliancebjjslidell.com
Danny Daniels' MMA & Fitness	LA	New Orleans	https://www.dannydanielsmma.com/	dannydanielsmma.com
Martial Arts America Baton Rouge	LA	Baton Rouge	https://www.martialartsamericabr.com/	martialartsamericabr.com
Premier Martial Arts Lafayette	LA	Lafayette	https://www.premiermartialartsacademy.com/	premiermartialartsacademy.com
Primal Fitness Lake Charles	LA	Sulphur	https://www.primalfitnessla.com/	primalfitnessla.com
Warrior Training Center	LA	Shreveport	https://www.warriortrainingcenterla.com/	warriortrainingcenterla.com
Warrior's Cove Baton Rouge	LA	Baton Rouge	https://www.warriorscovebjj.com/	warriorscovebjj.com
American Martial Arts Center	MA	Cambridge	https://www.americanmartialartscenter.com/	americanmartialartscenter.com
Swan River BJJ	MB	Swan River	https://swanriverbjj.com	www.swanriverbjj.com
Augusta BJJ Maine	ME	Augusta	https://augustabjjme.com	www.augustabjjme.com
Brunswick BJJ Maine	ME	Brunswick	https://brunswickbjjme.com	www.brunswickbjjme.com
Lewiston-Auburn BJJ	ME	Lewiston	https://lewistonauburnbjj.com	www.lewistonauburnbjj.com
Maine BJJ	ME	Bangor	https://mainebjj.com	www.mainebjj.com
Portland BJJ Maine	ME	Portland	https://portlandbjjmaine.com	www.portlandbjjmaine.com
Presque Isle BJJ	ME	Presque Isle	https://presqueislebjj.com	www.presqueislebjj.com
Seacoast Brazilian Jiu-Jitsu	ME	Biddeford	https://seacoastbjjme.com	www.seacoastbjjme.com
Michigan Kickboxing Academy / 10th Planet Troy	MI	Troy	https://michigankickboxingacademy.com	www.michigankickboxingacademy.com
Akagi Jiu-Jitsu	MN	St. Paul	https://akagijiujitsu.com	www.akagijiujitsu.com
Alliance Jiu Jitsu Minnesota	MN	Eden Prairie	https://alliancejiujitsumn.com	www.alliancejiujitsumn.com
Checkmat S. Minneapolis	MN	Minneapolis	https://dangerooms612.com	www.dangerooms612.com
Fargo BJJ MN side	MN	Moorhead	https://fargobjjmn.com	www.fargobjjmn.com
TC Martial Arts	MN	St. Paul	https://tcmartialarts.com	www.tcmartialarts.com
Checkmat St. Louis	MO	St. Louis	https://checkmatstl.com	www.checkmatstl.com
Columbus MS BJJ	MS	Columbus	https://columbusmsbjj.com	www.columbusmsbjj.com
Greenville BJJ MS	MS	Greenville	https://greenvillebjjms.com	www.greenvillebjjms.com
Southern Combat Arts	MS	Hattiesburg	https://southerncombatarts.com	www.southerncombatarts.com
Grizzly Combat Sports	MT	Bozeman	https://grizzlycombatsports.com	www.grizzlycombatsports.com
Woodstock NB BJJ	NB	Woodstock	https://woodstocknbbjj.com	www.woodstocknbbjj.com
Asheville BJJ	NC	Asheville	https://ashevillebjj.com	www.ashevillebjj.com
Charlotte Jiu-Jitsu Academy	NC	Charlotte	https://charlottejiujitsuacademy.com	www.charlottejiujitsuacademy.com
Fayetteville BJJ	NC	Fayetteville	https://fayettevillebjj.com	www.fayettevillebjj.com
Jamestown BJJ ND	ND	Jamestown	https://jamestownbjjnd.com	www.jamestownbjjnd.com
Prairie Jiu Jitsu	ND	Minot	https://prairiejiujitsu.com	www.prairiejiujitsu.com
Columbus NE BJJ	NE	Columbus	https://columbusnebj.com	www.columbusnebj.com
Husker Combat Club	NE	Lincoln	https://huskercombatclub.com	www.huskercombatclub.com
Labrador City BJJ	NE	Labrador City	https://www.novauniao.ca/lab-city	novauniao.ca
Norfolk NE BJJ	NE	Norfolk	https://norfolknebjj.com	www.norfolknebjj.com
Alliance Jiu Jitsu NH	NH	Nashua	https://alliancejiujitsunh.com	www.alliancejiujitsunh.com
Lebanon BJJ NH	NH	Lebanon	https://lebanonbjjnh.com	www.lebanonbjjnh.com
NH BJJ	NH	Manchester	https://nhbjj.com	www.nhbjj.com
Seacoast BJJ NH	NH	Portsmouth	https://seacoastbjjnh.com	www.seacoastbjjnh.com
Alliance Jiu Jitsu Freehold	NJ	Freehold	https://www.alliancejiujitsufreehold.com/	alliancejiujitsufreehold.com
Gracie Barra Toms River	NJ	Toms River	https://www.gbtomsriver.com/	gbtomsriver.com
Gracie Barra Westfield	NJ	Westfield	https://www.gbwestfield.com/	gbwestfield.com
Renzo Gracie Hoboken	NJ	Hoboken	https://www.renzograciehoboken.com/	renzograciehoboken.com
Renzo Gracie South Plainfield	NJ	South Plainfield	https://www.renzograciesouthplainfield.com/	renzograciesouthplainfield.com
Roberto Gordo BJJ	NJ	Newark	https://www.robertogordo.com/	robertogordo.com
Studio 1908 (Miyao Brothers)	NJ	Jersey City	https://www.studio1908bjj.com/	studio1908bjj.com
Thiago Rela BJJ	NJ	Jersey City	https://www.thiagorelateam.com/	thiagorelateam.com
Duke City BJJ	NM	Albuquerque	https://dukecitybjj.com	www.dukecitybjj.com
Las Vegas NM BJJ	NM	Las Vegas	https://lasvegasnmbjj.com	www.lasvegasnmbjj.com
New Mexico BJJ	NM	Santa Fe	https://newmexicobjj.com	www.newmexicobjj.com
Atlantic BJJ	NS	Dartmouth	https://atlanticbjj.com	www.atlanticbjj.com
Cape Breton BJJ	NS	Sydney	https://capebretonbjj.com	www.capebretonbjj.com
Shelburne BJJ NS	NS	Shelburne	https://shelburnebjjns.com	www.shelburnebjjns.com
Las Vegas Fight Center	NV	Las Vegas	https://lasvegasfightcenter.com	www.lasvegasfightcenter.com
Summerlin BJJ	NV	Las Vegas	https://summerlinbjj.com	www.summerlinbjj.com
Tristar Las Vegas	NV	Las Vegas	https://tristarlasvegas.com	www.tristarlasvegas.com
Brandon Abdullah's Martial Arts and Fitness	NY	Albany	https://www.albanybjj.com/	albanybjj.com
Fight-Sport Training Center	NY	Niagara Falls	https://www.fightsporttrainingcenter.com/	fightsporttrainingcenter.com
Kombat Arts Ohio	OH	Cincinnati	https://kombatartsohio.com	www.kombatartsohio.com
Renzo Gracie Cleveland	OH	Cleveland	https://renzograciecleveland.com	www.renzograciecleveland.com
U A Jiu Jitsu	OH	Upper Arlington	https://uajiujitsu.com	www.uajiujitsu.com
Alliance Jiu Jitsu London Ontario	ON	London	https://alliancejiujitsulondon.ca	www.alliancejiujitsulondon.ca
Alliance Jiu Jitsu Ottawa	ON	Ottawa	https://alliancejiujitsuottawa.com	www.alliancejiujitsuottawa.com
Belleville BJJ	ON	Belleville	https://bellevillebjj.com	www.bellevillebjj.com
Brantford BJJ	ON	Brantford	https://brantfordbjj.com	www.brantfordbjj.com
South Mississauga Jiu Jitsu	ON	Mississauga	https://southmississaugabjj.com	www.southmississaugabjj.com
Stratford BJJ Ontario	ON	Stratford	https://stratfordbjjon.com	www.stratfordbjjon.com
Toronto Jiu Jitsu Club	ON	Toronto	https://torontojiujitsuclub.com	www.torontojiujitsuclub.com
Valens Jiu Jitsu Academy	ON	Hamilton	https://valensjiujitsu.com	www.valensjiujitsu.com
Woodstock BJJ Ontario	ON	Woodstock	https://woodstockbjjon.com	www.woodstockbjjon.com
Island Grappling Club	PE	Summerside	https://islandgrapplingclub.com	www.islandgrapplingclub.com
PEI Brazilian Jiu Jitsu	PE	Charlottetown	https://peibjj.com	www.peibjj.com
Souris Brazilian Jiu-Jitsu	PE	Souris	https://sourisbjj.com	www.sourisbjj.com
Summerside BJJ PEI	PE	Summerside	https://summersidebjjpei.com	www.summersidebjjpei.com
Action & Reaction MMA	QC	Laval	https://actionreactionmma.ca	www.actionreactionmma.ca
Alliance Jiu Jitsu Quebec City	QC	Quebec City	https://alliancejiujitsuqc.com	www.alliancejiujitsuqc.com
Levis BJJ	QC	Lévis	https://levisbjj.com	www.levisbjj.com
Patenaude Martial Arts Gatineau	QC	Gatineau	https://patenaude-martialarts.com	www.patenaude-martialarts.com
Renzo Gracie Montreal	QC	Montreal	https://renzogracieontreal.com	www.renzogracieontreal.com
Royal Jiu-Jitsu Quebec	QC	Quebec City	https://royaljiujitsu.ca	www.royaljiujitsu.ca
Santos Brothers BJJ Montreal	QC	Montreal	https://santosbrothersbjjmtl.com	www.santosbrothersbjjmtl.com
Sept-Iles BJJ	QC	Sept-Îles	https://septilesbjj.com	www.septilesbjj.com
Trois-Rivieres BJJ	QC	Trois-Rivières	https://troisrivieresbjj.com	www.troisrivieresbjj.com
Bristol BJJ	RI	Bristol	https://bristolbjj.com	www.bristolbjj.com
Cortes BJJ	RI	Warwick	https://cortesbjj.com	www.cortesbjj.com
Middletown BJJ RI	RI	Middletown	https://middletownbjjri.com	www.middletownbjjri.com
Ricardo Cavalcanti BJJ RI	RI	Providence	https://cavalcantibjjri.com	www.cavalcantibjjri.com
American Judo and Jiu-Jitsu	SC	North Charleston	https://americanjudoandjiujitsu.com	www.americanjudoandjiujitsu.com
Florence BJJ SC	SC	Florence	https://florencebjjsc.com	www.florencebjjsc.com
Hilton Head BJJ	SC	Hilton Head Island	https://hiltonheadbjj.com	www.hiltonheadbjj.com
Black Hills BJJ	SD	Rapid City	https://blackhillsbjj.com	www.blackhillsbjj.com
Joku Dojo	SD	Sioux Falls	https://jokudojo.com	www.jokudojo.com
Watertown BJJ SD	SD	Watertown	https://watertownbjjsd.com	www.watertownbjjsd.com
Alliance Jiu Jitsu Tennessee	TN	Nashville	https://alliancejiujitsutennessee.com	www.alliancejiujitsutennessee.com
Armory Jiu-Jitsu Academy Chattanooga	TN	Chattanooga	https://www.armoryjiujitsuacademy.com	armoryjiujitsuacademy.com
Columbia BJJ Tennessee	TN	Columbia	https://columbiabjjtn.com	www.columbiabjjtn.com
Jackson BJJ Tennessee	TN	Jackson	https://jacksonbjjtn.com	www.jacksonbjjtn.com
Kaze BJJ and Judo Institute	TN	Clarksville	https://kazebjj.com	www.kazebjj.com
Kingsport BJJ	TN	Kingsport	https://kingsportbjj.com	www.kingsportbjj.com
Lebanon BJJ Tennessee	TN	Lebanon	https://lebanonbjjtn.com	www.lebanonbjjtn.com
Maryville Jiu-Jitsu	TN	Alcoa	https://www.maryvillejiujitsu.com	maryvillejiujitsu.com
Murfreesboro BJJ	TN	Murfreesboro	https://murfreesborobjj.com	www.murfreesborobjj.com
Profectus Jiu-Jitsu Hendersonville	TN	Hendersonville	https://profectusjiujitsu.com	www.profectusjiujitsu.com
Tri-Cities BJJ	TN	Johnson City	https://tricitiesbjj.com	www.tricitiesbjj.com
360 Jiu Jitsu	TX	Grand Prairie	https://360jiujitsu.com/	www.360jiujitsu.com
Abdias Brazilian Jiu-Jitsu	TX	Dallas	https://www.bushidostrength.com	bushidostrength.com
Advantage BJJ Martial Arts & Fitness	TX	Houston	https://advantagebjj.com/	www.advantagebjj.com
ASL JunSur Martial Arts	TX	Richardson	https://www.asljiujitsu.com/	asljiujitsu.com
Austin Mixed Martial Arts	TX	Austin	https://www.austinmixedmartialarts.com/	austinmixedmartialarts.com
Evolve BJJ	TX	Fort Worth	https://www.evolvebjj.com/	evolvebjj.com
John's Gym Mixed Martial Arts & Fitness	TX	Austin	https://www.johnsgym.com/	johnsgym.com
Longview BJJ	TX	Longview	https://longviewbjj.com	www.longviewbjj.com
Mcallen BJJ	TX	McAllen	https://mcallenbjj.com	www.mcallenbjj.com
Sangue Novo FT / Gallos Prietos Jiu Jitsu	TX	Laredo	https://sanguenovojj.com/	www.sanguenovojj.com
Alliance Jiu Jitsu St. George	UT	St. George	https://alliancejiujitsustgeorge.com	www.alliancejiujitsustgeorge.com
Alliance Jiu Jitsu Utah	UT	Salt Lake City	https://alliancejiujitsuutah.com	www.alliancejiujitsuutah.com
SLC BJJ Academy	UT	Salt Lake City	https://slcbjjacademy.com	www.slcbjjacademy.com
Green Mountain BJJ	VT	Burlington	https://greenmountainbjj.com	www.greenmountainbjj.com
Montpelier BJJ	VT	Montpelier	https://montpelierbjj.com	www.montpelierbjj.com
White River BJJ	VT	White River Junction	https://whiteriverbjj.com	www.whiteriverbjj.com
Alliance Jiu Jitsu Wyoming	WY	Laramie	https://alliancejiujitsuwyoming.com	www.alliancejiujitsuwyoming.com
Sheridan BJJ Wyoming	WY	Sheridan	https://sheridanbjjwy.com	www.sheridanbjjwy.com
Wyoming Martial Arts	WY	Jackson	https://wyomingmartialarts.com	www.wyomingmartialarts.com
Komainu/Yemaso Brazilian Jiujitsu/MMA Academy	NV	Elko	http://jreamacademy.com	www.jreamacademy.com
Relson Gracie Jiu Jitsu Team HK Las Vegas	NV	Henderson	http://relsongracielv.com	www.relsongracielv.com
Renzo Gracie Henderson Jiu Jitsu	NV	Henderson	https://www.renzograciehenderson.com	renzograciehenderson.com
Ryoku Judo Club	NV	Henderson	http://www.ryokujudo.com	ryokujudo.com
Samurai Brazilian Jiu Jitsu Academy	NV	Henderson	https://samuraitc.com	www.samuraitc.com
UFC Gym Green Valley	NV	Henderson	http://ufcgym.com/greenvalley	www.ufcgym.com
Veritas Combat Arts And Fitness Academy	NV	Henderson	http://veritascombatarts.com	www.veritascombatarts.com
10th Planet Downtown	NV	Las Vegas	http://10thplanetdtlv.com	www.10thplanetdtlv.com
Asylum Fight Team	NV	Las Vegas	http://www.asylumfightteam.com	asylumfightteam.com
Atos Jiu Jitsu Las Vegas	NV	Las Vegas	http://www.atosjiujitsulv.com	atosjiujitsulv.com
Carlson Gracie Training Center - Cavalcanti Jiu Jitsu	NV	Las Vegas	http://www.rcjiujitsu.com	rcjiujitsu.com
Drysdale Fight For Us Jiu Jitsu	NV	Las Vegas	http://www.drysdalefightforus.com	drysdalefightforus.com
Fredson Paixao Academy	NV	Las Vegas	http://fredsonpaixaobjj.com	www.fredsonpaixaobjj.com
GB Las Vegas	NV	Las Vegas	https://graciebarra.com/las-vegas-nv	www.graciebarra.com
Las Vegas Fight Club	NV	Las Vegas	http://www.thelasvegasfightclub.com	thelasvegasfightclub.com
Nova Uniao Las Vegas	NV	Las Vegas	http://www.ryukotrainingcenter.com	ryukotrainingcenter.com
Roninjitsu Martial Arts	NV	Las Vegas	https://smashironfitness.com/roninjitsu-martial-arts	www.smashironfitness.com
Ryuko Training Center	NV	Las Vegas	http://www.ryukotrainingcenter.com	ryukotrainingcenter.com
SIMGO Academy	NV	Las Vegas	http://ckjj.com	www.ckjj.com
Syndicate Mixed Martial Arts	NV	Las Vegas	http://www.syndicatemmavegas.com	syndicatemmavegas.com
Tapout Research & Development Training Center	NV	Las Vegas	http://www.tapoutlasvegas.com	tapoutlasvegas.com
Torres MMA Sport	NV	Las Vegas	http://www.torresmmasport.com/Contact-Us.html	torresmmasport.com
Vegas Combat	NV	Las Vegas	http://www.vegascombat.com	vegascombat.com
Wand Fight Team	NV	Las Vegas	https://www.wandfightteam.vegas	wandfightteam.vegas
Kifaru Jitsu Academy of Martial Arts	NV	North Las Vegas	http://www.kifarujitsu.com	kifarujitsu.com
Ronin Jiu-Jitsu North Las Vegas	NV	North Las Vegas	http://www.roninbjj.org	roninbjj.org
Mix-It-Up Kickboxing & Brazilian Jiu-Jitsu	NV	Pahrump	http://www.mixitupacademy.com	mixitupacademy.com
Ares BJJ Reno	NV	Reno	http://aresbjjreno.com	www.aresbjjreno.com
Battle Born MMA	NV	Reno	http://www.battlebornmma.com	battlebornmma.com
Komainu Gym	NV	Reno	http://www.komainuapparel.com	komainuapparel.com
Lion's Den MMA & Fitness Center	NV	Reno	http://www.lionsdenreno.com	lionsdenreno.com
Team Reno	NV	Reno	https://www.momentumreno.com/brazilian-jiu-jitsu	momentumreno.com
Zai Martial Arts Academy	NV	Reno	http://www.zaixma.com	zaixma.com
Atos Jiu Jitsu Reno	NV	Sparks	http://www.atosjiujitsureno.com	atosjiujitsureno.com
Hybrid Nation Martial Arts	CO	Avon	http://www.avonmartialarts.com	avonmartialarts.com
Frontline Wrestling and Jiu-Jitsu Academy	CO	Brighton	http://www.graciebrighton.com	graciebrighton.com
Elemental Brazilian Jiu Jitsu	CO	Broomfield	http://www.elementalbjj.com	elementalbjj.com
Carbondale Training Center (Rising Crane)	CO	Carbondale	http://www.risingcrane.net	risingcrane.net
Valor BJJ & Fitness	CO	Centennial	http://valorbjjfit.com	www.valorbjjfit.com
Altitude MMA	CO	Colorado Springs	http://www.altitudemma.com	altitudemma.com
DC Fighters USA	CO	Colorado Springs	http://www.dcfightersusa.com	dcfightersusa.com
The HQ - Jiu Jitsu Headquarters	CO	Colorado Springs	https://www.jiujitsucoloradosprings.com	jiujitsucoloradosprings.com
Avenge Jiu Jitsu	CO	Denver	http://avengejiujitsu.com	www.avengejiujitsu.com
Guetho BJJ Denver	CO	Englewood	https://guethobjjdenver.com	www.guethobjjdenver.com
Gracie Jiu-Jitsu Fort Collins	CO	Fort Collins	http://graciefortcollins.com	www.graciefortcollins.com
Shugyo Training Center	CO	Fort Collins	http://www.shugyodojo.com	shugyodojo.com
The Dojo LLC	CO	Fort Collins	http://www.thedojofc.com	thedojofc.com
Gunnison Jiu-Jitsu	CO	Gunnison	http://www.gunnisonjiujitsu.com	gunnisonjiujitsu.com
10th Planet Jiu Jitsu Boulder - Lafayette	CO	Lafayette	http://www.10thplanetboulder.com	10thplanetboulder.com
Atos BJJ Lakewood	CO	Lakewood	http://www.atosbjjlakewood.com	atosbjjlakewood.com
Flo Life BJJ + Colorado Holistic Martial Arts	CO	Lakewood	https://www.flolifebjj.com	flolifebjj.com
Kingsnake Jiu-Jitsu	CO	Loveland	http://www.kingsnakebjj.com	kingsnakebjj.com
Northern Colorado Jiu Jitsu	CO	Loveland	http://www.nocojiujitsu.com	nocojiujitsu.com
Kurusan Jiu-Jitsu & Kickboxing	CO	Parker	http://www.kurusan.com	kurusan.com
Zenith Authentic Brazilian Jiu-Jitsu	CO	Parker	http://www.authenticbjj.com	authenticbjj.com
Gracie Barra Pueblo	CO	Pueblo	https://graciebarra.com/co-pueblo	www.graciebarra.com
Flatirons Mixed Martial Arts Academy	CO	Westminster	http://www.flatironsmma.com	flatironsmma.com
ETHOS Colorado	CO	Wheat Ridge	http://ethoscolorado.com	www.ethoscolorado.com
Discipleship Jiu-Jitsu	CO	Woodland Park	https://discipleshipjiujitsu.com	www.discipleshipjiujitsu.com
Grit Training Center	MT	Butte	http://www.gritmartialarts.com	gritmartialarts.com
Bear Hug Jiu-Jitsu	MT	Helena	http://www.bearhugmt.com	bearhugmt.com
Hughes' Grappling Academy	MT	Kalispell	https://www.hughesgrapplingacademy.com	hughesgrapplingacademy.com
SCHOOL Brazilian Jiu-Jitsu Arcadia	CA	Arcadia	http://schoolbjjarcadia.com/	www.schoolbjjarcadia.com
Eric Nolan’s Xtreme Training Center	CA	Bakersfield	http://www.ericnolan.com/	ericnolan.com
Bay Jiu-Jitsu / BJJ Berkeley CA 94704	CA	Berkeley	https://www.baycombat.com/	baycombat.com
Modern Combatives Mixed Martial Arts	CA	Berkeley	http://www.moderncombatives.com/	moderncombatives.com
Ares BJJ Brentwood	CA	Brentwood	http://aresbrentwood.com/	www.aresbrentwood.com
Ricardo Barros Brazilian Jiu-Jitsu	CA	Brentwood	http://www.rbbjj.com/	rbbjj.com
Gracie Jiu Jitsu Carlsbad and San Marcos	CA	Carlsbad	https://www.graciecarlsbad.com	graciecarlsbad.com
Vital Force Muay Thai & MMA	CA	Chino	http://www.vitalforcemma.com/	vitalforcemma.com
UFC GYM Costa Mesa	CA	Costa Mesa	https://www.ufcgym.com/locations/costa-mesa/	ufcgym.com
Abrigo Martial Arts	CA	Culver City	http://www.abrigomartialarts.com/index02.php	abrigomartialarts.com
GB Dana Point	CA	Dana Point	https://graciebarra.com/dana-point-ca/	www.graciebarra.com
Scorpion MMA (Aloisio Silva Associated Academy)	CA	East Los Angeles	http://scorpion-mma.us/index.html	www.scorpion-mma.us
Fearless Fitness	CA	Foster City	http://www.fearlessfitness.us	fearlessfitness.us
Carlson Gracie Academy of Garden Grove	CA	Garden Grove	http://www.carlsongraciegardengrove.com/	carlsongraciegardengrove.com
Royce Gracie Jiu Jitsu Academy SoCal	CA	Harbor City	https://roycegraciesouthbay.com/	www.roycegraciesouthbay.com
Hayward BJJ Darcio Lira	CA	Hayward	https://www.haywardbjjdarciolira.com/	haywardbjjdarciolira.com
wolfpac combat ju-jitsu	CA	Inglewood	http://www.wolfpac.co.nr/	wolfpac.co.nr
10th Planet Irvine	CA	Irvine	http://www.10thplanetmonstersquad.com/	10thplanetmonstersquad.com
Valhalla Jiu Jitsu	CA	Irvine	http://www.valhallabjj.com/	valhallabjj.com
United Mixed Martial Arts	CA	La Mirada	http://www.unitedmixedmartialarts.com/	unitedmixedmartialarts.com
Joker's MMA	CA	Laguna Hills	http://www.jokersmma.com/	jokersmma.com
Oc Jiu-Jitsu & Mixed Martial Arts	CA	Lake Forest	http://www.ocjj.com/	ocjj.com
Bang Bang Power Fit	CA	Los Angeles	http://bangbangpowerfit.com/	www.bangbangpowerfit.com
Independent Jiu-Jitsu	CA	Los Angeles	https://www.independentjiujitsu.co/calendar	independentjiujitsu.co
Madera Martial Arts	CA	Madera	http://maderamma.com/	www.maderamma.com
Jg Academy Manteca	CA	Manteca	https://www.jgacademy.net/manteca	jgacademy.net
Unlimited MMA	CA	Milpitas	http://unlimitedmma.com/	www.unlimitedmma.com
Rise Jiu Jitsu Academy	CA	Murrieta	https://risejiujitsumurrieta.com	www.risejiujitsumurrieta.com
Hayastan MMA	CA	North Hollywood	http://www.gokor.com/	gokor.com
Catch MMA	CA	Oakland	https://www.catchmma.com/	catchmma.com
UFC Gym Oceanside	CA	Oceanside	https://www.ufcgym.com/locations/oceanside/	ufcgym.com
OC Carlson Gracie Jiu Jitsu	CA	Orange	https://www.carlsongracieoc.com/	carlsongracieoc.com
UFC GYM Orange	CA	Orange	https://www.ufcgym.com/locations/orange/	ufcgym.com
GB Paso Robles	CA	Paso Robles	https://gbpasorobles.com/	www.gbpasorobles.com
SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	CA	Rocklin	http://sllgrapplingacademy.com/	www.sllgrapplingacademy.com
UFC GYM Sacramento	CA	Sacramento	https://www.ufcgym.com/locations/sacramento/	ufcgym.com
Boxing Club	CA	San Diego	http://theboxingclub.net/	www.theboxingclub.net
Ralston Gracie Jiu Jitsu	CA	San Francisco	http://www.ralstongracie.com	ralstongracie.com
