verdict	region	city	name	new_url	evidence
NOT_FOUND	FL	DeLand	West Volusia Academy Of Mixed Martial Arts		no current site found
NOT_FOUND	FL	Deerfield Beach	Burns Bros Jiu Jitsu		no current site found
NOT_FOUND	FL	Delray Beach	Carlson Gracie Manny Soares		no current site found
NOT_FOUND	FL	Fort Myers	Fight Zone MMA		no current site found
NOT_FOUND	FL	Gainesville	Gainesville BJJ Florida		no current site found
NOT_FOUND	FL	Gainesville	School of Combat Arts		schoolofcombatarts.com is a Niceville/Valparaiso school, wrong city
NOT_FOUND	FL	Hallandale Beach	Gracie Barra Hallandale Beach		no current site found
NOT_FOUND	FL	Hollywood	Alliance South Florida Team Rollyson		alliancesouthflorida.com now a GoDaddy parked domain page
NOT_FOUND	FL	Indian Harbour Beach	BLTeam Brazilian Jiu-Jitsu and Muay Thai Academy		no current site found
UNSURE	FL	Inverness	Agogi Academy of Combatives	http://agogiac.com/	old domain live; serves Citrus County with Gracie Jiu Jitsu
NOT_FOUND	FL	Jacksonville	Alpha Dogs Martial Arts		no current site found
NOT_FOUND	FL	Jupiter	The Jupiter Jiu Jitsu Academy in Jupiter Fl		no current site found
NOT_FOUND	FL	Kissimmee	Knights BJJ		knightsbjj.com hijacked; now a Latvian online casino site
NOT_FOUND	FL	Lauderhill	South Florida Fight Club		no current site found
CLOSED	FL	Lauderhill	UFC GYM Lauderhill		absent from ufcgym.com official US and Canadian locations list
NOT_FOUND	FL	Longwood	Kokopelli's Gym		no current site found
NOT_FOUND	FL	Melbourne	Master Lowell's MMA Academy		no current site found
NOT_FOUND	FL	Miami	Champion Martial Arts		no current site found
NOT_FOUND	FL	Miami	Refit Academy - Wynwood		no current site found
NOT_FOUND	FL	Miami Beach	5th St. Gym		no current site found
