name	url	region	city	address
Kombat Arts Training Academy	https://kombatarts.com	ON	Mississauga	
Kombat Brazilian Jiu-Jitsu	https://kombatjits.com/	NJ	Clark	
Kore Brazilian Jiu-Jitsu NWA	https://www.facebook.com/koreBJJNWA/	AR	Lowell	
Kraken Brazilian Jiu-Jitsu & Fitness	https://bjjkraken.com	CO	Colorado Springs	3920 N Academy Blvd
Kraken Jiu Jitsu BJJ & Self-Defense	https://krakenjj.com/	MI	Belmont	2355 Belmont Center Dr NE Suite 105
Kron Gracie Academy	https://www.facebook.com/KRONGRACIEACADEMY	MT	Belgrade	70 Motherlode Ln
Krystek School of Judo, BJJ, Self Defense and Fitness	https://krystekjudo.com	NY	Queens	96-25 Linden Blvd
Kudos	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/	OK	Edmond	2000 W Danforth Rd Suite 126
Kurt Pellegrino MMA	https://www.pellegrinomma.com/	NJ	Wall Township	2400 Belmar Blvd
Kutting Edge Jiu-Jitsu Academy	https://www.kuttingedgejiujitsuacademy.com	IA	Burlington	
Kuzushi Fight Club	https://www.saintjeromebjj.com	QC	Saint-Jérôme	1085 rue Melançon, Saint-Jérôme, QC
Kuzushi Grappling	https://kuzushigrappling.com	BC	Vancouver	150 West Hastings St, Floor 2, Vancouver, BC
Kyle Fogel Brazilian Jiu Jitsu	https://sugarhillbjj.com/	GA	Sugar Hill	5009 W Broad St NE
LCCT Brazilian Jiu Jitsu	https://www.lcctbjjusa.com/locations	IL	Schaumburg	
LV Jiu-Jitsu	https://lvbjj.ca	QC	Saint-Mathieu-de-Beloeil	3110 Rue Bernard-Pilon, Saint-Mathieu-de-Beloeil, QC J3G 4S5
Lake Area Brazilian Jiu-Jitsu	https://www.facebook.com/LABJJ/	LA	Lake Charles	1814 E Prien Lake Rd
Lake Area Gracie Jiu-jitsu	https://www.lakeareabjj.com/	MO	Camdenton	942 North Business Highway 5
Lake Effect Martial Arts	https://lakeeffectbjj.com	NY	Depew	2106 George Urban Blvd
Lake Powell Jiu-Jitsu	https://www.lpbjjaz.com/	AZ	Page	
Lakewood Martial Arts	https://peakmartialartsdenver.com/	CO	Lakewood	12860 W Cedar Dr
Lapel Arts	https://www.lapelarts.ca	BC	Vancouver	
Laselva MMA	https://laselvamma.com	KS	Derby	124 S. Baltimore Ave, Derby, KS 67037
Leading Edge MMA	https://leadingedgemma.ca	ON	Thunder Bay	340A Waterloo St N
Legacy Brazilian Jiu Jitsu	https://www.legacy-bjj.com/	TX	Allen	190 E Stacy Rd #1605
Legacy Brazilian Jiu Jitsu Academy	https://www.legacybjjacademy.com	BC	Coquitlam	3-2731 Barnet Highway, Coquitlam, BC
Legacy Fight Club	https://legacyfightclub.com	ON	Barrie	351 King St. Unit 7
Legacy Jiu Jitsu	https://www.legacyjiujitsuak.com/	AK	Anchorage	
Legion AJJ	https://legionsandiego.com	CA	San Diego	7550 Miramar Road; Suite 330
Leonardo Delgado Jiu-Jitsu Academy	https://selfdefensedibervillems.com	MS	Biloxi	15513 Lemoyne Blvd, Biloxi, MS 39532
Les Mauvais Compagnons	https://lesmauvaiscompagnons.com	QC	Granby	231 rue Saint-Charles Sud #4, Granby, QC J2G 9M6
Leverage BJJ NH	https://www.leveragebjjnh.com	NH	Concord	80 South Main St, Unit C, Concord, NH 03301
Leverage Jiu Jitsu Colorado	https://leveragejiujitsuco.com	CO	Louisville	
Leviathan Academy Brazilian Jiu-Jitsu	https://www.leviathanacademy.com	TN	Cleveland	
Lexington Academy of Martial Arts - LAMA	https://www.facebook.com/Lexington-Academy-of-Martial-Arts-LAMA-112562654001820/	KY	Lexington	949 National Ave #180
Lexington Jiu-Jitsu & Fitness	https://lexingtonjiujitsuandfitness.com	KY	Lexington	
Liberdade Brazilian Jiu-Jitsu	https://www.liberdadebjj.com	TN	Nashville	
Life's Ultimate Martial Arts Academy	https://www.lumaacademy.net/	KY	Maysville	293 Martin Luther King Hwy
Limitless BJJ Cincinnati	https://limitlessbjj.com	OH	Cincinnati	
Limitless BJJ Edmonton	https://limitlessbjjedmonton.com	AB	St. Albert	215 Carnegie Dr #2, St. Albert, AB T8N 5B1
Limitless Pride Martial Arts and Fitness Center	https://www.limitlesspridemartialarts.com	NH	East Hampstead	320 Sandown Rd, East Hampstead, NH 03826
Lincoln Brazilian Jiu-Jitsu Center - College View	https://lincolnbjj.com	NE	Lincoln	4707 Prescott Ave, Lincoln, NE 68506
Lincoln Brazilian Jiu-Jitsu Center - Havelock	https://lincolnbjjnorth.com	NE	Lincoln	6317 Havelock Ave, Lincoln, NE 68507
Lincoln Jiu Jitsu Academy	https://lincolnjiujitsuacademy.com/	CA	Lincoln	
Lion Heart Jiu-Jitsu Academy	https://trainbjj.passion.io/	AL	Hoover	
Lions BJJ Kauai	https://kauaibjj.com	HI	Lihue	3205 Fujii Street, Lihue, HI 96766
Lions MMA	https://www.lionsmma.ca	BC	Vancouver	
Living Art Brazilian Jiu Jitsu	https://livingartbjj.com/	IL	Willowbrook	7850 S Quincy St
Livingston Jiu-Jitsu	https://www.facebook.com/livingstonjiujitsu	MT	Livingston	1014 W Park St. Ste. 3
LockDown BJJ	https://lockdownbjj.com	NY	Lake Ronkonkoma	733 Hawkins Ave
Logic Jiu Jitsu	https://logicbjj.com	CA	Sacramento	4415 Freeport Blvd
Lohaki Jiu Jitsu	https://www.lokahijiujitsu.com/	CA	Temecula	27580 Ynez Road; Suite B
Lokahi Jiu-Jitsu Collective	https://www.lokahiomaha.com	NE	Omaha	14535 Industrial Rd, Omaha, NE 68144
Long Beach Jiu Jitsu	https://lbnyjj.com	NY	Long Beach	162 W Park Ave Ste 200
Long Island MMA	https://limixedmartialarts.com/	NY	Lake Grove	
LongShot MMA	https://longshotmma.weebly.com/	CA	Burney	
Lopez Martial Arts	https://lopezjiujitsu.com/	AZ	Chandler	
Lost Boys Jiu-Jitsu & Muay Thai	https://www.lostboysbjj.com/#!location/c2q4	CA	Arcata	
Louisiana Black Belt Academy	https://morgancitymartialarts.com/	LA	Morgan City	6509 LA-182
Louisiana Judo. Louisiana Muay Thai	https://www.louisianajudo.com/	LA	Broussard	222 Burgess Dr
Lovato’s School Of Brazilian Jiu-Jitsu and MMA	okbjj.com	OK	Oklahoma City	10944 N May Ave
Lubbock Jiu Jitsu Academy	https://www.lubbockjiujitsuacademy.com	TX	Lubbock	
Lucas Lepri Brazilian Jiu-Jitsu Knoxville	https://lepribjjknoxville.com	TN	Knoxville	
Lucas Lepri Jiu Jitsu Academy Fort Mill	https://lepribjj.com	SC	Fort Mill	1852 Highway 160, Suite 105, Fort Mill, SC 29708
Lucas Martial Arts	https://www.facebook.com/LucasMartialArts/	OK	Duncan	708 W Main St
Lucero Jiu-Jitsu Academy	https://www.lucerobjj.com/	AZ	Fort Mohave	
Ludus Martial Arts LLC	https://www.ludusmartialarts.com/	FL	Jacksonville Beach	730 Beach Blvd #105
M-Theory Martial Arts	https://mtheorymartialarts.com	MN	St. Louis Park	5700 W 36th St, St Louis Park, MN 55416
M3 Karate	https://m3martialarts.com/what-m3-martial-arts-in-gilbert-offers/#jiujitsu	AZ	Gilbert	
MADE Fitness and Training Center	https://www.madelouisville.com/	KY	Louisville	1200 Truman Park Dr
MAS Academy of Martial Arts	https://masthaiboxing.com	ON	Cambridge	695 Bishop Street North
META BJJ Windsor	https://metabjj.ca	ON	Windsor	956 McDougall St
MKG Martial Arts	https://www.boomboxdet.com/	MI	Ferndale	668 E 9 Mile Rd
MKG Martial Arts Minneapolis	https://www.mnkali.com	MN	Minneapolis	4532 Chicago Avenue, Minneapolis, MN 55407
MN Brazilian Jiu Jitsu Academy	https://mnbjj.ca	ON	Burlington	5230 South Service Rd Unit 301
MONTGOMERY MARTIAL ARTS	https://montgomerymartialartsonline.com/	AL	Montgomery	
MPower Gym LLC	https://www.mpowergymllc.com/	OH	Vandalia	270 N Dixie Dr
MTA Republic	https://www.facebook.com/MTA-RepublicGillespies-Academy-of-Martial-Arts-229743763757836/	MO	Republic	824 E State Hwy 174
MXT BJJ	https://www.mxtbjj.com	NB	Saint John	
MXT BJJ Miramichi	https://mxt-bjj-miramichi.gymdesk.com	NB	Miramichi	1745 Water St, Miramichi, NB E1N 1L9
Mad Tiger Academy	https://www.madtigerbjj.com	HI	Wahiawa	249 Kellogg St, Wahiawa, HI 96786
Magness Brazilian Jiu-Jitsu Martial Arts Academy	https://magnessbjj.com/free-trial/	TX	Cedar Hill	621 Jealouse Way #101
Magnus Mixed Martial Arts	https://magnusmma.com/	AZ	Tucson	
Main Quest BJJ	https://mainquestbjj.com	AB	Calgary	5, 6020 1A Street SW, Calgary, AB T2H 0G3
Manimal Athletics Training Center	https://www.facebook.com/ManimalTraining	NS	Lucasville	495 Lucasville Road, Lucasville
Mano Jiu Jitsu	https://www.manojiujitsu.com	HI	Honolulu	2752 Woodlawn Drive 2nd floor, Honolulu, HI 96822
Maracaba BJJ	https://maracabajiujitsu.com/	AZ	Mesa	
Marangoni BJJ	https://bjjsaltlake.com	UT	Salt Lake City	480 E 6th Ave, Salt Lake City, UT 84103
Marathon Mixed Martial Arts Academy	https://overlandparkmma.com	KS	Overland Park	10559 Metcalf Avenue, Overland Park, KS 66212
Marcellini’s Martial Arts Academy	http://www.mmaa.us/	CA	Moreno Valley	24471 Sunnymead Boulevard
Marcelo Garcia Academy	https://www.marcelogarciajj.com/	NY	New York	
Marcelo Garcia Jiu-Jitsu of Dallas	https://www.marcelogarciadallas.com	TX	Dallas	
Marcio Andre Brazilian Jiu-Jitsu Academy	https://marcioandrejiujitsu.com/	AZ	Phoenix	
Marcio Cruz BJJ	https://marciocruzbjj.com/	FL	Tampa	
Marcus Aurelio Jiu Jitsu Academy	https://aureliobjj.com/	FL	Aventura	2626 NE 188th St
Marcus Soares Brazilian Jiu-Jitsu	https://marcussoares.com	BC	Vancouver	910 Richards St #201, Vancouver, BC V6B 3C1
Marcus Soares Brazilian Jiu-Jitsu Langley	https://marcussoares.com/locations/langley	BC	Langley	Unit 103 - 20691 Langley Bypass, Langley, BC V3A 5E8
Marcus Soares Brazilian Jiu-Jitsu Maple Ridge	https://marcussoares.com/locations/maple-ridge	BC	Maple Ridge	11924 207th Street, Maple Ridge, BC V2X 1X7
Maritime Jiu-Jitsu	https://www.maritimejiujitsu.ca	NS	Halifax	
Mark44 Martial Arts Academy	https://www.mark44mma.com	MN	Mankato	219 S. Victory Dr., Mankato, MN 56001
Markle Brazilian Jiu-Jitsu	https://www.marklebjj.com	TX	Richmond	602 Crabb River Road
