region	name	record_city	site_says
AL	GB Anniston	Anniston	905 Noble St Anniston, matches address
AL	GB Huntsville	Huntsville	2101 W Ferry Way, Huntsville AL listed
AL	GB Jasper	Jasper	764 Highway 78 W, Jasper AL
AL	GRACIE JIU-JITSU	Madison	Certified Gracie CTC serving Madison AL
AL	Gulf Coast Jiu-jitsu	Mobile	Mobile AL, Hillcrest Rd
AL	HEROES MARTIAL ARTS ACADEMY	Birmingham	Two Birmingham AL locations listed
AL	MONTGOMERY MARTIAL ARTS	Montgomery	Martial arts school, Atlanta Hwy Montgomery AL
AR	501 BJJ & Kickboxing	Conway	2655 Donaghey Ave, Conway AR matches
AR	DNC Defense	Paragould	2407 Linwood Dr Paragould AR, jiujitsu
AR	Diamond State Martial Arts	Fayetteville	14819 Elkhorn Springs Rd Fayetteville AR
AR	Eco Submission Grappling	Conway	Conway Arkansas no-gi BJJ school
AR	Eternal Warrior Brazilian Jiu-Jitsu	Bentonville	1114 N Walton Blvd Bentonville, BJJ
AR	FORCA MMA	Russellville	301 Reasoner Ln Russellville, matches address
AR	Fayetteville Brazilian Jiu-Jitsu	Fayetteville	1200 Garland Ave Fayetteville AR, BJJ
AR	Fort Smith Martial Arts Center	Fort Smith	2118 Rogers Ave Fort Smith, BJJ program
AR	Gendai Budo Jiu Jitsu-MMA-Fitness	Mountain Home	514 Coley Drive, Mountain Home AR
AR	Grandmaster Han's Martial Arts & Gracie Jiu-Jitsu	Conway	812 North Creek Drive Conway matches
AR	Jonesboro Grappling Association	Jonesboro	1512 E Washington, Jonesboro Arkansas
AR	Kore Brazilian Jiu-Jitsu NWA	Lowell	Facebook page renders, Dixieland Road Lowell AR
AZ	10th Planet Goodyear	Avondale	Site address 425 W Western Ave Avondale
AZ	12th Street Jiu-Jitsu	Phoenix	1107 E Bell Rd, Phoenix AZ
AZ	66 JIU-JITSU	Flagstaff	2710 N Steves Blvd, Flagstaff AZ
AZ	ABUNAI MMA	Avondale	300 N Central Ave, Avondale AZ
AZ	Alliance Jiu Jitsu - Tucson	Tucson	BJJ academy, S Houghton Rd Tucson
AZ	Alliance Jiu Jitsu - Vail	Tucson	BJJ academy, 9172 S Houghton Tucson
AZ	Ares Arizona Brazilian Jiu Jitsu	Mesa	BJJ, 1660 S Alma School Rd Mesa
AZ	Ares BJJ Academy Association	Phoenix	Ares BJJ Phoenix, 10402 N 19th
AZ	Ares BJJ Phoenix	Phoenix	BJJ academy, 10402 N 19th Ave Phoenix
AZ	Ares East Mesa BJJ Academy	Mesa	BJJ, 9245 E Guadalupe Rd Mesa
AZ	Arevalo Academy	Lake Havasu City	MMA with BJJ/wrestling, Lake Havasu City address
AZ	Blackout Mixed Martial Arts	Sierra Vista	BJJ and judo, 999 E Fry Sierra Vista
AZ	Boxer's Rebellion Martial Arts	Tucson	Jujitsu and grappling, 5933 E 22nd Tucson
AZ	Combat Club Cottonwood	Cottonwood	1645 E Cottonwood St, Cottonwood AZ
AZ	Cove Jiu Jitsu	Apache Junction	Jiu jitsu in Apache Junction Arizona
AZ	Crypto Jiu Jitsu - Peoria, Arizona	Peoria	10250 N 91st Ave Peoria AZ
AZ	DeBrazil Jiu-Jitsu Academy	Tucson	Longest running BJJ academy Tucson Arizona
AZ	Excellence School of Jiu Jitsu	Prescott	3400 Gateway Blvd Prescott, BJJ academy
AZ	Exodus Jiu-Jitsu	Phoenix	North Phoenix BJJ and judo school
AZ	Faction Combat Mixed Martial Arts Gym	Mesa	1529 S Clearview Ave Mesa, BJJ MMA
AZ	GRACIE BARRA OCOTILLO SOUTH GILBERT	Gilbert	Gracie Barra Ocotillo, South Gilbert AZ
AZ	Gracie Arizona Gilbert Jiu Jitsu Academy	Gilbert	BJJ, 1525 S Higley Rd Gilbert
AZ	Gracie Jiu-Jitsu Phoenix	Phoenix	Tatum Blvd address matches exactly
AZ	Infinite Jiu-Jitsu Phoenix	Phoenix	BJJ and MMA, Anthem north Phoenix
AZ	Insurgent Fitness	Flagstaff	1650 S Plaza Way Flagstaff, BJJ
AZ	Jay Pages Jiu-Jitsu & MMA	Tempe	6745 S Harl Ave, Tempe AZ
AZ	Kioto BJJ Southwest	Chandler	BJJ academy, Alma School Rd Chandler AZ
AZ	Lake Powell Jiu-Jitsu	Page	BJJ school, Elm Street Page AZ
AZ	Lucero Jiu-Jitsu Academy	Fort Mohave	BJJ grappling academy, Aztec Road Fort Mohave
AZ	Magnus Mixed Martial Arts	Tucson	MMA grappling gym, E Broadway Blvd Tucson
AZ	Marcio Andre Brazilian Jiu-Jitsu Academy	Phoenix	Ahwatukee, a village within Phoenix AZ
BC	10th Planet Richmond	Richmond	11151 Horseshoe Way, Richmond BC matches
BC	Advantage Jiu Jitsu	Richmond	6231 London Rd Richmond BC matches
BC	Alliance BJJ Vancouver	Vancouver	BJJ academy, 2625 Kingsway Vancouver matches
BC	Alliance Kelowna	Kelowna	BJJ, 110-1854 Kirschner Rd matches record
BC	BVJJ	Burnaby	BJJ gym, 3710 Canada Way Burnaby
BC	Courtenay Brazilian Jiu-Jitsu	Courtenay	2441 Cousins Avenue Courtenay BC
BC	Delta BJJ British Columbia	Delta	3-1835 56 Street Delta BC
BC	Diaz Combat Sports	Vancouver	276 E Pender St Vancouver BC
BC	Eternal BJJ	Surrey	South Surrey BJJ academy, White Rock
BC	Factory Fresh Jiu Jitsu	Langley	Unit 5-6322 202 St Langley, matches
BC	Flow Martial Arts	Vancouver	1355 Kingsway Vancouver, jiu-jitsu classes
BC	GFTeam Canada	Burnaby	5528 Kingsway Burnaby listed, BJJ school
BC	Galbraith Jiu Jitsu	Prince George	1791 Nicholson St, Prince George listed
BC	Goblins Martial Arts	Courtenay	BJJ/wrestling, 204 Island Hwy N Courtenay
BC	Golden Glory Fitness and Martial Arts Academy	Surrey	Wrestling/BJJ, 2-2336 King George Blvd Surrey
BC	Gracie Barra Burnaby	Burnaby	4277 Kingsway m24 Burnaby confirmed
BC	Gracie Barra Chilliwack	Chilliwack	45945 Wellington Ave Chilliwack confirmed
BC	Gracie Barra Cloverdale	Surrey	17720 65a Ave Unit 4 Surrey
BC	Gracie Barra Delta	Delta	5000 Bridge St #101 Delta confirmed
BC	Gracie Barra Kelowna	Kelowna	Own site, 2333 Hunter Rd Kelowna
BC	Gracie Barra Kitsilano	Vancouver	Own site, 3611 W Broadway Vancouver
BC	Gracie Barra Langley	Langley	Own site, 20241 Fraser Hwy Langley
BC	Hood Rich Jiu Jitsu	Victoria	1510 Fort St, Victoria BC
BC	InFighting Training Centres	Burnaby	BJJ and kickboxing, Brentwood Burnaby address
BC	Iron Forge Fight and Fitness	Fort St. John	BJJ and MMA, Fort St John
BC	Kuzushi Grappling	Vancouver	Grappling academy, West Hastings downtown Vancouver
BC	Lions MMA	Vancouver	MMA BJJ studio, Granville St Vancouver BC
BC	Marcus Soares Brazilian Jiu-Jitsu	Vancouver	Carlson Gracie BJJ, Vancouver location on site
BC	Marcus Soares Brazilian Jiu-Jitsu Langley	Langley	Own location page, Langley Bypass address listed
CA	10th Planet Chino Hills	Chino Hills	Address 4070 Chino Hills Parkway matches
CA	10th Planet Corona	Corona	12391 Sampson Ave Suite L Corona
CA	10th Planet Jiu JItsu Murrieta	Murrieta	26305 Jefferson Ave Murrieta matches
CA	10th Planet Jiu Jitsu Riverside CA	Riverside	6065 Magnolia Ave Riverside matches
CA	10th Planet Jiu Jitsu Ventura / BJJ Ventura CA 93001	Ventura	Address 1540 E Main St matches
CA	10th Planet Oceanside	Oceanside	New location 1791 S Oceanside Blvd
CA	10th Planet Palmdale	Palmdale	40125 Tenth St W, Palmdale matches
CA	10th Planet Poway Jiu Jitsu	Poway	14009 Midland Rd, Poway matches
CA	10th Planet Redland	Redlands	821 West Colton Ave, Redlands matches
CA	10th Planet Sacramento	Sacramento	8345 Folsom Blvd, Sacramento matches
CA	10th Planet Santa Barbara	Santa Barbara	1113 State St, Santa Barbara matches
CA	10th Planet South Bay (Chula Vista CA)	Chula Vista	Address 241 Third Ave, Chula Vista matches
CA	10th Planet Thousand Oaks	Thousand Oaks	Names Thousand Oaks; no street address listed
CA	10th Planet Torrance	Torrance	Torrance CA; now 24433 Hawthorne Blvd
CA	10th Planet Whittier	Whittier	Address 9150 Painter Ave, Whittier matches
CA	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	San Diego	Names San Diego CA; no street address
CA	760 Jiu-Jitsu / BJJ Oceanside CA 92057	Oceanside	3320 Mission Ave, Oceanside CA
CA	7th Generation Jiu Jitsu	Clovis	50 W Bullard Ave, Clovis CA
CA	925 Jiu Jitsu Club / BJJ Concord CA 94520	Concord	Site address is Martinez, CA
CA	Academy Jiu-Jitsu and Kickboxing / Headquarters	Downey	HQ 9220 Lakewood Blvd, Downey
CA	Academy Of Striking & Grappling	Riverside	Site lists Moreno Valley, CA address
CA	Alliance Jiu Jitsu Los Angeles	Los Angeles	Cobrinha BJJ, 4929 Wilshire Blvd Los Angeles
CA	Alliance Jiu Jitsu San Diego	San Diego	BJJ academy, San Diego Miramar area
CA	Alliance San Diego	San Diego	BJJ academy, San Diego Miramar area
CA	American Kickboxing Academy	San Jose	MMA gym, 7012 Realm Dr San Jose
CA	Arena Training Center	Livermore	BJJ offered, 4555 Las Positas Rd
CA	Atos	San Diego	BJJ academy, 4810 Mercury St San Diego
CA	Auburn CA Jiu Jitsu Academy	Auburn	BJJ academy, 244 Palm Ave Auburn
CA	Bakersfield Brazilian Jiu Jitsu / BJJ Bakersfield CA 93313	Bakersfield	BJJ academy, 4308 Resnik Ct matches
CA	Base Camp Brazilian Jiu Jitsu	Mt Shasta	BJJ gym, 612 S Mt Shasta Blvd
CA	Combat Base Shasta/ Mendes Brazilian Jiu-Jitsu	Palo Cedro	9481 Deschutes Rd Palo Cedro CA
CA	Conde Koma Brazilian Jiu-Jitsu Academy	Los Alamitos	BJJ academy, Los Alamitos per Yelp listing
CA	Connect Brazilian Jiu Jitsu	South Gate	13228 Paramount Blvd South Gate CA
CA	Cosmic Training Center Brazilian Jiu Jitsu	Alhambra	115 S Garfield Ave Alhambra CA
CA	Cultivate Power Fighting Arts	Oroville	1790 Montgomery St Oroville CA, BJJ
CA	Darcio Lira Brazilian Jiu Jitsu and Martial Arts	Livermore	1601 Railroad Ave Livermore California
CA	East Bay Academy Jiu Jitsu	Martinez	817 Arnold Drive Martinez CA
CA	El Niño Training Center	San Francisco	South San Francisco address, BJJ and wrestling
CA	Electric Jiu Jitsu	Huntington Beach	BJJ school, Warner Ave Huntington Beach
CA	Flow Academy BJJ Indio	Indio	42425 Jackson St Indio, matches address
CA	GB Agoura	Agoura Hills	5883 Kanan Rd Agoura Hills, matches
CA	GB Chula Vista	Chula Vista	2015 Birch Rd Chula Vista matches
CA	GB Costa Mesa	Costa Mesa	1304 Logan Ave Suite J listed
CA	GB Garden Grove	Garden Grove	12062 Valley View St Garden Grove listed
CA	GB Huntington Beach	Huntington Beach	Now 6423 Edinger Ave, Huntington Beach
CA	GB Redondo Beach	Torrance	No street address; Yelp says Torrance
CA	GB San Diego	San Diego	Site lists 4809 Clairemont Dr, San Diego
CA	GB Santa Clarita	Santa Clarita	Address 25067 Peachland Ave, Santa Clarita
CA	GB Ventura	Ventura	3503 Arundell Circle, Ventura CA
CA	GB West Anaheim	Anaheim	910 S Euclid St, Anaheim confirmed
CA	GB Yorba Linda	Yorba Linda	18551 Yorba Linda Blvd listed, matches
CA	Global Fighting Legion / Jiu-Jitsu Chula Vista CA 91914	Chula Vista	871 Harold Pl, Chula Vista; BJJ/MMA
CA	Gold Country Jiu Jitsu	Auburn	BJJ serving Auburn and Grass Valley
CA	Golden State BJJ	Torrance	19019 Hawthorne Blvd Ste 200A Torrance
CA	Gracie Jiu-Jitsu Santa Clarita	Santa Clarita	Santa Clarita confirmed, moved to Diamond Pl
CA	Gracie Jiu-Jitsu Santa Cruz	Santa Cruz	Capitola, four miles from Santa Cruz
CA	Honor Roll Brazilian Jiu-Jitsu / BJJ Santa Clarita CA 91350	Santa Clarita	26541 Golden Valley Rd, Santa Clarita
CA	Javier Vazquez Jiu Jitsu Rancho / BJJ Rancho Cucamonga CA 91730	Rancho Cucamonga	JV Jiu Jitsu Academy, address matches exactly
CA	Jean Jacques Machado Fresno	Fresno	6701 N Milburn Ave, Fresno CA
CA	Julio Juarez Brazilian Jiu-Jitsu	Valencia	27734 Ave Scott, Santa Clarita Valencia
CA	Legion AJJ	San Diego	Jiu-jitsu academy, Miramar Rd San Diego CA
CA	Lincoln Jiu Jitsu Academy	Lincoln	BJJ wrestling, Gateway Dr Lincoln CA
CA	Logic Jiu Jitsu	Sacramento	BJJ academy, Freeport Blvd Sacramento CA
CA	Lohaki Jiu Jitsu	Temecula	BJJ school, Jefferson Avenue Temecula CA
CA	LongShot MMA	Burney	Judo jiu jitsu, Main St Burney CA
CA	Lost Boys Jiu-Jitsu & Muay Thai	Arcata	Grappling gym, Valley West Blvd Arcata CA
CA	Marcellini’s Martial Arts Academy	Moreno Valley	Now Riverside CA, adjacent to Moreno Valley
CO	303 Training Center	Westminster	Located 5757 Olde Wadsworth Blvd, Arvada CO
CO	Bom Jitsu Brazilian Jiu Jitsu	Castle Rock	BJJ academy, 680 Atchison Way Castle Rock
CO	Colorado Springs Brazilian Jiu Jitsu	Colorado Springs	Colorado Springs BJJ, Rigan Machado affiliate
CO	Conifer Jiu Jitsu & Fitness	Conifer	BJJ in Aspen Park, Conifer Colorado
CO	Fusion Combat Training Center	Denver	5058 S Syracuse St Denver, jiu-jitsu
CO	GB Castle Rock	Castle Rock	Castle Rock CO Gracie Barra academy
CO	GB Centennial	Centennial	4181 E County Line Rd, Centennial
CO	GB Parker	Parker	18425 Pony Express Dr, Parker CO
CO	Genesis Training Academy	Arvada	Now 4300 Kipling, Wheat Ridge; adjacent
CO	Gracie Barra Denver Jiu-Jitsu	Denver	4495 Washington St Denver confirmed
CO	Grand Valley Brazilian Jiu Jitsu	Grand Junction	573 S Commercial Dr Grand Junction matches
CO	Iron Roots Brazilian Jiu Jitsu	Colorado Springs	1903 E Cache La Poudre, Colorado Springs
CO	Jit Pit Academy	Parker	BJJ Judo MMA, based in Parker
CO	Katharo Training Center - Jiu-Jitsu and Fitness	Littleton	Littleton address matches, markets Highlands Ranch
CO	Lakewood Martial Arts	Lakewood	Peak Martial Arts, jiu-jitsu MMA, Lakewood CO
CO	Leverage Jiu Jitsu Colorado	Louisville	No-gi jiu jitsu, McCaslin Blvd Louisville CO
CT	360 Defense Martial Arts (Macarra BJJ Affiliated Academy)	Norwich	15 Wawecus St, Norwich CT matches
CT	Gabrieles Martial Arts - Groton, CT	Groton	Waterford CT address, Gracie jujutsu, adjacent
CT	Gracie Sports Brazilian Jiu-Jitsu Fairfield	Fairfield	Fairfield address 220 Carter Henry listed
CT	Kobukai Jujitsu - South Windsor	South Windsor	Japanese jujitsu grappling, Sullivan Ave South Windsor
FL	10th Planet Jiu Jitsu Jacksonville	Jacksonville	4849 Dawin Rd Jacksonville FL matches
FL	10th Planet Miami	Miami	Site serves Miramar FL, not Miami
FL	Alliance Coral Springs	Coral Springs	BJJ academy, 4674 Coral Ridge Dr matches
FL	Alliance Jiu Jitsu	Key Biscayne	BJJ academy, Crandon Blvd Key Biscayne
FL	Alliance Jiu Jitsu Orlando	Orlando	Malfacine BJJ, 3029 Edgewater Dr Orlando
FL	American Combat Club	Orlando	MMA/BJJ, 1016 W Church St Orlando
FL	American TKA Martial Arts	Davie	teaches BJJ, 10376 W State Rd 84 Davie
FL	American Top Team Aventura	Miami Beach	ATT Aventura/North Miami Beach BJJ, address matches
FL	American Top Team – Vero Beach	Vero Beach	BJJ, 6200 20th St Vero Beach
FL	BlackSmith Jiu Jitsu Florida	Tallahassee	Niceville FL, 1039 John Sims Parkway
FL	Brazilian Jiu Jitsu Academy Cape Coral	Cape Coral	BJJ academy, 1423 SE 10th St Cape Coral
FL	Cogito Jiu Jitsu	Sanford	2499 Old Lake Mary Rd Sanford
FL	Combat Club Lake Worth	Lake Worth	Lantana FL address, adjacent to Lake Worth
FL	Control Jiu-Jitsu	Melbourne	2447 N Wickham Rd Melbourne FL
FL	Creed BJJ	Ocala	1005 SW 10th St Ocala FL
FL	Destin Academy of Mixed Martial Arts	Destin	12273 Emerald Coast Pkwy, Miramar Beach/Destin
FL	Fabin Rosa Brazilian Jiu Jitsu Academy	Orlando	4085 L B McLeod Rd Orlando, matches
FL	Fabio Novaes Brazilian Jiu-jitsu Lakeland	Lakeland	845 Creative Dr Lakeland, matches address
FL	Fight Sports Daytona	Port Orange	Todd Cutler BJJ, South Daytona nearby
FL	GB Brandon	Brandon	1076 E Brandon Blvd, matches address exactly
FL	GB Celebration	Celebration	Celebration Blvd address, BJJ and MMA
FL	GB Citrus Park	Tampa	6176 Gunn Hwy Tampa matches
FL	GB Davenport	Davenport	6250 Grandview Pkwy Davenport listed
FL	GB Davie	Davie	5167 S University Dr Davie listed
FL	GB Deerfield Beach	Deerfield Beach	Roger Gracie rebrand, 426 W Hillsboro Blvd
FL	GB Hialeah	Hialeah	1001 W 49th St Suite 6 listed
FL	GB Lake Park	West Palm Beach	804 Federal Hwy, West Palm Beach
FL	GB Lutz	Lutz	1908 Oak Grove Blvd, Lutz FL
FL	GB Royal Palm Beach	Royal Palm Beach	10225 Southern Blvd, Royal Palm Beach
FL	GB St. Johns	St. Augustine	10440 US-1, St Augustine confirmed
FL	GB St. Petersburg	St. Petersburg	5825 66th St N, St. Petersburg
FL	GB West Palm Beach	West Palm Beach	721 Village Blvd, West Palm Beach
FL	Gamblers Jiu-Jitsu & Kickboxing Club	Palm Beach Gardens	10415 Riverside Dr address matches exactly
FL	Gator Family Brazilian Jiu Jitsu	DeLand	DeLand FL BJJ, Robson Moura affiliate
FL	Global Brazilian Jiu-Jitsu Naples	Naples	4584 Enterprise Ave, Naples FL
FL	Gracie Barra Brazilian Jiu-Jitsu Boca Raton	Boca Raton	Address matches; stray Boynton Beach text
FL	Gracie Barra Clearwater	Clearwater	Names Clearwater throughout, no street address
FL	Gracie Jiu-Jitsu Largo	Largo	Largo West rebrand, Largo confirmed
FL	Gracie Jiu-Jitsu Orlando	Orlando	address matches, East Orlando location
FL	Gracie Tampa	Tampa	Hyde Park Tampa academy location listed
FL	Gracie Wesley Chapel	Lutz	BJJ school, Wesley Chapel adjacent to Lutz
FL	Gulf Breeze Jiu Jitsu	Gulf Breeze	Checkmat rebrand, Gulf Breeze FL address
FL	Harmony Martial Arts Center	Jupiter	Jupiter FL address, Royce Gracie jiu-jitsu
FL	Hellman's Mixed Martial Arts	Tampa	Tampa FL, Race Track Rd matches
FL	Jacaré Brazilian Jiu-Jitsu	Ocoee	1681 Amazing Way, Ocoee FL
FL	Knuckle Up Martial Arts	Jacksonville	Machado BJJ affiliate, Jacksonville FL 32223 zip
FL	Ludus Martial Arts LLC	Jacksonville Beach	MMA gym, Beach Blvd Jacksonville Beach FL
FL	Marcio Cruz BJJ	Tampa	BJJ academy, Center Oak Dr Tampa FL
FL	Marcus Aurelio Jiu Jitsu Academy	Aventura	North Miami Beach area, adjacent to Aventura
GA	American Top Team of Gwinnett	Lawrenceville	BJJ, 3315 Sugarloaf Pkwy Lawrenceville matches
GA	Anchor Jiu Jitsu & Fitness	Griffin	BJJ, 1126 Zebulon Rd Griffin GA
GA	Ascension Mixed Martial Arts (Cumming)	Cumming	BJJ/MMA, Cumming Forsyth County named
GA	Athens BJJ	Athens	SBG Athens BJJ, Athens Georgia named
GA	Atlanta Budokan	Smyrna	Georgia Martial Arts, Acworth GA address
GA	Buckhead Jiu-Jitsu	Atlanta	BJJ academy, 2144 Hills Ave Atlanta
GA	Constant Expansion Jiu Jitsu / MMA	Savannah	Now 10th Planet Savannah, 1319 Bull St
GA	Creighton MMA & Fitness Academy	Suwanee	460 Brogdon Road Suwanee GA, BJJ
GA	Diego Saraiva BJJ - Roswell/Crabapple GA	Roswell	Alpharetta Hwy, Roswell/Crabapple Georgia academy
GA	East Athens Jiu Jitsu	Athens	Premier BJJ academy in Athens GA
GA	Full Throttle Fitness	Flowery Branch	Gainesville GA, near Flowery Branch, BJJ
GA	G1 Martial Arts, Krav Maga, & Brazilian Jiu Jitsu	Dalton	2962 Cleveland Hwy Dalton, BJJ classes
GA	Greubel's Mixed Martial Arts	Augusta	Martinez GA, Augusta metro
GA	Gwinnett Training Academy	Lawrenceville	Lawrenceville GA, Sugarloaf Pkwy address
GA	Hamby Freestyle Jiu Jitsu	Albany	Rebranded Laviano Jiu Jitsu, Albany GA
GA	Hanto Jiu-Jitsu Academy	Statesboro	409 Clairborne Ave Statesboro GA
GA	James Shook Brazilian Jiu-Jitsu	Acworth	Rebrand Tier 1, now Dallas GA
GA	Jinsendo Martial Arts	Smyrna	Karate plus Gracie Jiu-Jitsu, address matches
GA	Kenny Kim BJJ	Marietta	Gracie BJJ academy, Whitlock Ave Marietta GA
HI	Bragiao BJJ MMA	Kapaa	BJJ and MMA, 4-484 Kuhio Hwy Kapaa
HI	Exodus Martial Arts Academy	Kailua-Kona	74-5599 Luhia St Kailua-Kona, matches
HI	Foundation BJJ	Kailua-Kona	73-5563 Olowalu St Kailua-Kona, matches
HI	Gracie Allegiance Honolulu	Honolulu	BJJ in Ala Moana area, Honolulu
HI	HNL Jiu Jitsu Academy	Honolulu	Honolulu Kalanianaole Hwy address matches
HI	Island Jiu Jitsu West	Ewa Beach	Body JS-rendered, meta names Ewa Beach
HI	Island Jiu-Jitsu	Honolulu	Atos Honolulu Oahu, own academy site
HI	K-Team Martial Arts	Kaneohe	46-012 Alaloa St, Kaneohe
HI	Lions BJJ Kauai	Lihue	BJJ academy identified as Lihue Kauai HI
HI	Mad Tiger Academy	Wahiawa	BJJ wrestling academy in Wahiawa Hawaii
HI	Mano Jiu Jitsu	Honolulu	Jiu jitsu school, Manoa Valley Honolulu Hawaii
IA	Arroyo Grappling Academy	Iowa City	Grappling academy in Iowa City Sycamore Mall
IA	Ascent Jiu Jitsu	Coralville	BJJ, 708 5th St Coralville matches
IA	Breaking Point Jiu-Jitsu Bettendorf	Bettendorf	BJJ academy, 6990 Competition Ct Bettendorf
IA	Breaking Point Jiu-Jitsu Davenport	Davenport	BJJ academy, 3840 W River Dr Davenport
IA	Decorah Martial Arts	Decorah	216 W Water St Decorah IA
IA	Dubuque Jiu-Jitsu	Dubuque	3135 Cedar Crest Ridge Dubuque Iowa
IA	Faiferlick Martial Arts	Fort Dodge	326 S 25th St Fort Dodge, jiu-jitsu
IA	Iowa City BJJ	Iowa City	JS-rendered Square site, meta names city
IA	Iowa Top Team Boxing & Jiu-Jitsu	Clinton	123 Main Ave Clinton IA confirmed
IA	Jiu-Jitsu Unlimited	Sioux City	6009 Gordon Dr, Sioux City IA
ID	Alliance Jiu Jitsu Eagle	Eagle	Alliance Eagle, 195 S Wooddale matches
ID	Alliance Jiu Jitsu East Boise	Boise	Site covers Alliance East Boise
ID	Alliance Jiu Jitsu Twin Falls	Twin Falls	BJJ, 647 Filer Ave Twin Falls ID
ID	Arnett's Martial Arts America	Lewiston	BJJ offered, 650 Thain Road matches
ID	BPi Fighting Systems	Coeur d'Alene	BJJ and MMA, Coeur d'Alene address matches
ID	Battles Jiu Jitsu	Eagle	BJJ gym, 220 S Herons Flight Eagle
ID	Blackfoot Jiu Jitsu and Fitness	Blackfoot	BJJ gym, 1010 W Bridge St Blackfoot
ID	Brave BJJ Boise	Boise	BJJ gym, 8707 W State St Boise
ID	Colossal Fight Company	Pocatello	300 N 5th Ave Pocatello ID
ID	Core Jiu Jitsu	Nampa	1124 1st St S Nampa Idaho
ID	Elite Jiu-Jitsu Academy	Boise	Newark, Delaware
ID	Gem State Jiu Jitsu	Kuna	BJJ academy Kuna Idaho, gi/no-gi
ID	Gracie Barra Hayden	Hayden	Own site, 978 W Hayden Ave
ID	Gracie Jiu-Jitsu Sandpoint	Kootenai	address matches, Kootenai near Sandpoint
ID	Jiu-Jitsu 100 Academy	Hailey	111 S Main St, Hailey ID
IL	10th Planet Jiu Jitsu Chicago	Chicago	Chicago IL; now 5711 N Milwaukee
IL	10th Planet Jiu Jitsu Lombard	Lombard	1060 N DuPage Ave Lombard matches
IL	All Star Jiu Jitsu	Lombard	BJJ academy, Lombard Illinois referenced
IL	Alton Family Martial Arts & Fitness	Alton	BJJ academy serving Riverbend area, name matches
IL	Black Tiger Martial Arts Academy	Libertyville	Grayslake IL, 1033 Progress Dr
IL	Brasa Comprido BJJ	Bloomingdale	BJJ academy, 201 E Army Trail Bloomingdale
