name	url	region	city	address
Becerra Judo & Jiu-Jitsu Club / Jiu-Jitsu Garland TX 75041	https://www.becerrajudo.com/	TX	Garland	3035 S Shiloh Rd #175, Garland, TX 75041
Bedroc MMA & Fitness	https://www.bedrocmma.com	NY	Rochester	1942 Ridge Road W.
Believe Jiu Jitsu	https://believejiujitsu.com	SC	Moncks Corner	3514 S. Live Oak Dr, Unit D, Moncks Corner, SC 29461
Believe MMA	https://believemma.com/	NJ	North Plainfield	385 Somerset St suite b
Bellevue Academy of Brazilian Jiu Jitsu	https://bellevuebjj.com	NE	Bellevue	2851 Capehart Rd Suites I&J, Bellevue, NE 68123
Bellingham BJJ	https://bellinghambjj.com	WA	Bellingham	
Bellmore Kickboxing Academy	https://bellmorekickboxingmma.com/	NY	Bellmore	
Bellum Brazilian Jiu Jitsu	https://bellumbrazilianjiujitsu.com	MN	St. Paul	655 Fairview Avenue, St. Paul, MN 55104
Bemidji BJJ	https://www.bemidjibjj.com	MN	Bemidji	
Bergen County Brazilian Jiu-Jitsu	https://www.jiujitsutrainingnj.com/	NJ	Ramsey	91 Interstate Shop Center
Big Country - Orillia	https://bigcountryorillia.gymdesk.com	ON	Orillia	27 West St S
Bill Stevens Karate	https://www.stevenskarate.com/brazilian-jiu-jitsu/	NJ	Ramsey	91 Interstate Shopping Center
Bindner Academy	https://bindner.academy	ON	London	19-1615 North Routledge Park
Binghamton Brazilian Jiu Jitsu	https://broomecountymartialarts.com/	NY	Binghamton	
Birmingham Brazilian Jiu Jitsu Spartan Fitness	https://spartanfitnessmma.com/classes/Brazilian-Jiu-Jitsu	AL	Homewood	
Bismarck MMA	https://bismarckmma.com	ND	Bismarck	1418 Airport Rd Shop #14, Bismarck ND 58504
Bitterroot Warrior Arts Corvallis	https://www.bugoutmt.com/bitterrootwarriorarts	MT	Corvallis	1200 Eastside Hwy Suite C
Bitterroot Warrior Arts Stevensville	https://www.bugoutmt.com/bitterrootwarriorarts	MT	Stevensville	4039 US Hwy N Suite D
Bjj Québec	https://bjjquebec.com	QC	Quebec City	2376 Rue Galvani, Québec, QC
Black Arrow Martial Arts	https://www.blackarrowmartialarts.com	MN	Brainerd	217 Washington Street, Brainerd, MN 56401
Black Cat MMA	https://morgantownmma.com/	WV	Morgantown	9500 Mall Rd Ste 217, Westover, Morgantown, WV 26501
Black Diamond Brazilian Jiu-Jitsu	https://blackdiamondbjj.com/schedule	NV	Reno	1445 S Meadows Pkwy Ste 209
Black Diamond Grappling Club	https://www.bevierjiujitsu.com/	MO	Bevier	108 E Elvira St Suite B
Black Gold Jiu-Jitsu Academy	https://www.blackgoldbjj.com	AB	Spruce Grove	123 - 20 Westwind Drive, Spruce Grove, AB T7X 2E3
Black Hills Brazilian Jiu-Jitsu	https://www.bhbjj.com	SD	Rapid City	3325 W. Main St, Rapid City, SD 57702
Black Hole Jiu Jitsu	https://blackholejj.com	NY	Wappingers Falls	1285 US-9
Black House Miami Beach	https://blackhousemiamibeach.com/	FL	Miami Beach	7140 Abbott Ave Fl 2
Black Label BJJ of Cheyenne	https://blacklabel307.com	WY	Cheyenne	1121 Old Town Ln, Cheyenne WY 82009
Black Label Martial Arts	https://blacklabelmartialarts.com	SC	Charleston	1850 Wallace School Rd, Charleston, SC 29407
Black Lion Jiu Jitsu Academy	https://www.blacklionjiujitsu.com/	MI	Byron Center	701 68th St SW
Black Sails Brazilian Jiu Jitsu	https://www.blacksailsbjj.com	AB	Edmonton	9746 54 Ave NW, Edmonton, AB T6E 0A9
Black Tiger Martial Arts Academy	https://www.blacktigerfightclub.com/	IL	Libertyville	410 Peterson Rd
BlackSmith Jiu Jitsu Florida	https://blacksmithjiujitsu.com/	FL	Tallahassee	
Blackfoot Jiu Jitsu and Fitness	https://blackfootjiujitsu.com	ID	Blackfoot	1010 W Bridge Street Suite F, Blackfoot, ID 83221
Blackout Jiu Jitsu	https://blackoutjiujitsu.com	OK	Moore	
Blackout Mixed Martial Arts	https://www.blackoutmmaandfitness.com/	AZ	Sierra Vista	
Blue Collar Grappling Academy	https://www.facebook.com/bluecollargrapplingacademy870/	AR	Marion	
Blue Ridge Jiu Jitsu	https://blueridgejj.com/	NC	Mills River	6424 Boylston Hwy
Blue Wave Brazilian Jiu Jitsu	https://bluewavejiujitsu.com	NH	Nashua	1 Progress Ave, Nashua, NH, 03062
Boa Brazilian Jiu Jitsu	https://boa-brazilian-jiu-jitsu-llc.business.site/	PA	Orwigsburg	214 E Independence St
Bobby Lawrence Karate Orem	https://oremkarate.com	UT	Orem	976 S State St
Bobcat MMA	https://www.starbrickbjj.com/bobcat-mma	OH	The Plains	70 N Plains Rd
Body Armor MMA	https://www.bodyarmorwv.com/	WV	Buckhannon	191 Vicksburg Rd, Buckhannon, WV 26201
Bom Jitsu Brazilian Jiu Jitsu	https://bomjitsu.com	CO	Castle Rock	680 Atchison Way Suite 500
Bora Jiu-Jitsu	https://borabjj.com	ON	Hamilton	625 Greenhill Ave Unit 7
Bossier Jiu-Jitsu: Louisiana Black Belt Academy	https://bossierjiujitsu.com/	LA	Bossier City	4345 Marlena St
Boston Brazilian Jiu-Jitsu Woburn	https://bostonbjjwoburn.com	MA	Woburn	
Boxer's Rebellion Martial Arts	https://www.boxersrebellionmartialarts.com/	AZ	Tucson	
Bozeman JuJitsu	https://bozemanjujitsu.com	MT	Belgrade	20900 Frontage Rd G2
Braga Jiu-Jitsu	https://braga-jiu-jitsu.business.site/	CA	Upland	1848 W 11th St suite g
Bragiao BJJ MMA	https://www.mmaonkauai.com	HI	Kapaa	4-484 Kuhio Hwy #L4, Kapaa, HI 96746
Braman Jiu Jitsu	https://www.bramanjiujitsu.com	RI	Warwick	24 Quaker Lane Unit G, Warwick, RI 02889
Brampton Brazilian Jiu Jitsu Academy	https://bramptonbjj.com	ON	Brampton	
Brasa Comprido BJJ	https://compridobjj.com/	IL	Bloomingdale	Stratford Square Mall 152 Stratford Drive #H23
Brasa Jiu-Jitsu Highwood	https://highwood.compridobjj.com/	IL	Highwood	432 Greenbay Rd Highwood Rec Center
Brattleboro Jiu-Jitsu	https://www.brattleborojiujitsu.com	VT	Brattleboro	55 Marlboro Rd., Suite 14, Brattleboro, VT 05301
Bravado BJJ Rive-Sud	https://www.bravadobjjrivesud.com	QC	Longueuil	4180 Chemin de Chambly, Longueuil (St-Hubert), QC
Brave BJJ Boise	https://www.brave-bjj.com	ID	Boise	8707 W State St, Boise, ID 83714
Brave Martial Arts Institute	https://bravemai.com	ON	Ottawa	2161 Thurston Dr
Bravé MMA and Fitness	https://bravemmaandfitness.com	AB	Edmonton	10023 168 St NW, Edmonton, AB T5P 3W9
Brazil 021 San Antonio	https://brazil021.com/	TX	San Antonio	
Brazil Academy USA	https://www.brazilacademyusa.com	KS	Lenexa	11441 Strang Line Rd, Lenexa, KS 66215
Brazil-021 Winnipeg	https://www.brazil021wpg.com	MB	Winnipeg	1000 Notre Dame Ave, Winnipeg, MB
Brazilian Black Belt Buffalo Grove	https://brazilianblackbelt.com/buffalo-grove-brazilian-jiu-jitsu	IL	Buffalo Grove	790 S Buffalo Grove Rd
Brazilian Fight Factory	https://fightfactoryjiujitsu.com/	TX	Austin	9607 Research Blvd #675
Brazilian Jiu Jitsu Academy Cape Coral	https://steve6139.wixsite.com/bjjacademy	FL	Cape Coral	1423 SE 10th Street Units 2&3
Brazilian Top Team Back Bay	https://bttbackbay.co	MA	Boston	
Brazilian Top Team Londonderry	https://bttlondonderry.com	NH	Londonderry	73 Rockingham Rd BLD Left, Londonderry, NH 03053
Brazilian Top Team North Dallas	https://www.bttnorthdallas.com	TX	Richardson	
Brazilian Top Team Texas	https://bttsa.com	TX	San Antonio	
Breaking Point Jiu-Jitsu Bettendorf	https://breakingpointbjj.com	IA	Bettendorf	6990 Competition Court, Bettendorf, IA 52722
Breaking Point Jiu-Jitsu Davenport	https://breakingpointbjj.com	IA	Davenport	3840 W River Dr, Davenport, IA 52802
Breakthrough BJJ	https://www.breakthroughbjj.ca	NS	Amherst	
Brian Beury Jiu Jitsu	https://brianbeauryjiujitsu.com/	NY	Albany	
Bronx Martial Arts Academy	https://www.bronxmartialarts.com	NY	Bronx	1051 Allerton Ave
Brooklyn Brazilian Jiu Jitsu	https://brooklynbjj.com	NY	Brooklyn	
Brooklyn Mixed Martial Arts & Fitness	https://www.brooklynmixedmartialarts.com	NY	Brooklyn	2418 Ralph Ave
Brooklyn Motumbaxé Capoeira Jiu Jitsu--Mestre Lampréia	https://lampreiamotumbaxe.com/membership	NY	Brooklyn	76 Nevins St
Brothers Jiu Jitsu	https://brothersjiujitsu.wordpress.com/	OK	Broken Arrow	3081 W Albany St STE #117
Brunswick Martial Arts Academy	https://brunswickmartialarts.com	ME	Topsham	126 Main St Suite 5
Buckhead Fight Club	https://www.buckheadfightclub.com/	GA	Brookhaven	3293 Buford Hwy NE, Suite 500
Buckhead Jiu-Jitsu	https://www.buckheadjj.com/	GA	Atlanta	2144 Hills Ave NW
Budo Mixed Martial Arts Burnaby	https://budoburnaby.com	BC	Burnaby	3972 Hastings St, Burnaby, BC V5C 6C1
Buena Vida Jiu Jitsu Academy	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/	CA	West Sacramento	2551 Del Monte St
Buffalo Brazilian Jiu Jitsu Academy	https://www.buffalobjj.com/	NY	Buffalo	
Buffalo United Martial Arts	https://buffalounitedmartialarts.com	NY	Buffalo	359 Ganson Street
Bulldog Martial Arts	https://www.facebook.com/groups/206127349417091	NS	Lantz	1076 Hwy 2, Lantz
Bullpen Fight Club WV	https://bullpenfightclub.com	WV	Wheeling	Nelson Jordan Center, 1100-1198 Charles St, Wheeling, WV 26003
Burgess Academy of BJJ and MMA	https://burgessmma.com	NH	Manchester	9 Old Falls Road, Manchester, New Hampshire 03103, United States
Burlington BJJ	https://burlingtonbjj.ca	ON	Burlington	
Burns Martial Arts	https://www.burnsmartialarts.com	KS	Wichita	1711 South Eisenhower Street, Wichita, KS 67209
