ref	region	city	name	stored_w	candidates	prior_evidence
b9-86	NL	Labrador City	Labrador City BJJ	https://www.novauniao.ca/lab-city	novauniaocanada.com; novauniao.ca	Stored novauniao.ca is NXDOMAIN at the .ca registry; successor novauniaocanada.com resolves via Wix but the /l
b10-76	TX	Abilene	Revolutionary Fitness & MMA	http://www.revfitmma.com/	futurefitnessteam.com; revfitmma.com	Stored revfitmma.com is NXDOMAIN and the alternate futurefitnessteam.com cited in listings is also NXDOMAIN; o
b10-88	TX	Bedford	Carlos Machado Jiu-Jitsu Mid Cities	https://carlosmachadojiujitsumidcities.com/Home/Offer/	midcitiesjiujitsu.com; carlosmachadojiujitsumidcities.com	Stored carlosmachadojiujitsumidcities.com is dead - its nameservers return REFUSED (DNS Status 2); candidate m
b10-93	TX	Carrollton	Trainers Elite	http://www.trainerselite.net/	trainerselite.com; trainerselite.net	Stored trainerselite.net is NXDOMAIN and trainerselite.com serves a HugeDomains for-sale parking page priced a
b10-96	TX	Conroe	Gracie Humaita Conroe	https://www.gymconroe.com/	yountbjj.com; gymconroe.com; graciehumaitaconroe.com	Stored gymconroe.com plus both candidates graciehumaitaconroe.com and yountbjj.com all return NXDOMAIN despite
b10-104	TX	Edinburg	Amazonas MMA & Fitness Academy	https://amazonasmma.com/	amazonasmma.com	amazonasmma.com returns DNS Status 3 (NXDOMAIN) and the only remaining candidate is facebook.com/amazonasmma, 
b10-105	TX	El Paso	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	http://www.elpjiujitsu.com/	elpasojiujitsu.com; elpjiujitsu.com	Stored elpjiujitsu.com nameservers return REFUSED (lame delegation) and elpasojiujitsu.com redirects to a Huge
b10-106	TX	El Paso	Warriors Lair MMA		arriorslairmma.com	warriorslairmma.com is NXDOMAIN and no other school-owned domain surfaced; only Facebook, Instagram and Tapolo
b10-107	TX	Fort Worth	Evolve BJJ	https://www.evolvebjj.com/	storybjj.com; evolvebjj.com	Stored evolvebjj.com nameservers do not respond at apex or www, and the successor domain storybjj.com asserted
b10-113	TX	Hurst	Collins Martial Arts	http://www.collinsmartialarts.com/	chriscollinsacademy.com; collinsmartialarts.com; collinsmartialarts.net	collinsmartialarts.com and collinsmartialarts.net are both NXDOMAIN; the name-matching chriscollinsacademy.com
b10-114	TX	Killeen	Strike And Submit Martial Arts And Fitness		sasmartialarts.net	sasmartialarts.net has a live A record (138.68.15.202) and indexed BJJ pages, but root, /about-us and /kids-br
b10-115	TX	Killeen	Terra Leon Brazilian Jiu Jitsu		terraleonbjj.com; gteambjj.com	terraleonbjj.com is NXDOMAIN and gteambjj.com (the claimed successor) is also NXDOMAIN; the only live candidat
b10-116	TX	Lakeway	Applied Sports MMA Family Fitness Gym		appliedmma.com	appliedmma.com resolves but now serves a Chinese streaming/piracy site, not the gym, so it must not be used; o
b10-132	TX	Rhome	Spartan Fit MMA			No domain of any kind found for the 6225 TX-114 gym; the only first-party presence is its Facebook page which 
b10-145	TX	Spring	Katana Jiu-Jitsu Academy	http://katanajiu-jitsuacademy.com	katanajiu-jitsuacademy.com; katanajiujitsuacademy.com	Stored katanajiu-jitsuacademy.com is NXDOMAIN and katanajiujitsuacademy.com is also NXDOMAIN; the only non-agg
