region	name	city	stored_w	override_w	why_blank	src
CO	Alliance Jiu Jitsu Colorado	Aurora	https://alliancejiujitsucolorado.com		override blanks it	snippets/tjjm-gyms-data.liquid
CO	Gracie Jiu-Jitsu Aurora	Aurora	http://www.graciejiujitsuaurora.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Alliance Jiu Jitsu Boulder	Boulder	https://alliancejiujitsububoulder.com		override blanks it	snippets/tjjm-gyms-data.liquid
CO	Frontline Wrestling and Jiu-Jitsu Academy	Brighton	http://www.graciebrighton.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Gracie Jiu-Jitsu Canon City	Canon City	https://graciejiujitsu-canon.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Carbondale Training Center (Rising Crane)	Carbondale	http://www.risingcrane.net		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Carlson Gracie Jiujitsu Team Castle Rock	Castle Rock	http://carlsongracieteamcastlerock.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Valor BJJ & Fitness	Centennial	http://valorbjjfit.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Cheyenne Mountain BJJ	Colorado Springs	https://cheyennemountainbjj.com		override blanks it	snippets/tjjm-gyms-data.liquid
CO	719 Fight Team MMA	Colorado Springs			no w key	snippets/tjjm-gyms-data-3.liquid
CO	Altitude MMA	Colorado Springs	http://www.altitudemma.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	GB Colorado Springs	Colorado Springs	https://gbcoloradosprings.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Peak Mixed Martial Arts Academy	Colorado Springs			no w key	snippets/tjjm-gyms-data-3.liquid
CO	The HQ - Jiu Jitsu Headquarters	Colorado Springs	https://www.jiujitsucoloradosprings.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Conifer Jiu Jitsu & Fitness	Conifer			no w key	snippets/tjjm-gyms-data-3.liquid
CO	Low Summit Jiu Jitsu	Denver	http://www.lowsummitjiujitsu.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Durango BJJ	Durango	https://durangobjj.com		override blanks it	snippets/tjjm-gyms-data.liquid
CO	Guetho BJJ Denver	Englewood	https://guethobjjdenver.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Nova Mente Jiu Jitsu Academy	Englewood	http://www.novamenteacademy.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Gracie Jiu-Jitsu Fort Collins	Fort Collins	http://graciefortcollins.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Shugyo Training Center	Fort Collins	http://www.shugyodojo.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Gracie Jiu-Jitsu Grand Junction	Grand Junction			no w key	snippets/tjjm-gyms-data-3.liquid
CO	Gunnison Jiu-Jitsu	Gunnison	http://www.gunnisonjiujitsu.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Atos BJJ Lakewood	Lakewood	http://www.atosbjjlakewood.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Flo Life BJJ + Colorado Holistic Martial Arts	Lakewood	https://www.flolifebjj.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Lakewood Martial Arts	Lakewood	http://www.campmartialarts.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Infinite MMA Academy	Loveland	http://www.infinitemixedmartialarts.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Kingsnake Jiu-Jitsu	Loveland	http://www.kingsnakebjj.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Ground Zero Roaring Fork Valley BJJ	New Castle	http://gzglenwoodsprings.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Rocky Mountain Jiu Jitsu	Northglenn			no w key	snippets/tjjm-gyms-data-3.liquid
CO	14ers Jiu Jitsu	Salida			no w key	snippets/tjjm-gyms-data-3.liquid
CO	Flatirons Mixed Martial Arts Academy	Westminster	http://www.flatironsmma.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CO	Discipleship Jiu-Jitsu	Woodland Park	https://discipleshipjiujitsu.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
CT	Joao Luz BJJ	Bridgeport			no w key	snippets/tjjm-gyms-data-28.liquid
CT	ZR Association CT	Bridgeport	https://zrbridgeportbjj.com/		override blanks it	snippets/tjjm-gyms-data-28.liquid
CT	RiSu Martial Arts Academy	Bristol			no w key	snippets/tjjm-gyms-data-28.liquid
CT	BJJ For Christ Jiu Jitsu	Danbury	http://www.bjjforchrist.org/		override blanks it	snippets/tjjm-gyms-data-28.liquid
CT	Danbury Academy Mixed Martial Arts	Danbury	https://www.da-mma.com/		override blanks it	snippets/tjjm-gyms-data-28.liquid
CT	Team Delima Brazilian Jiu-Jitsu Association	Danbury	http://delimajiujitsu.com/		override blanks it	snippets/tjjm-gyms-data-28.liquid
CT	Fortitude Jiu Jitsu	Glastonbury	http://fortitudejj.com/		override blanks it	snippets/tjjm-gyms-data-28.liquid
CT	Giroux BJJ	Glastonbury			no w key	snippets/tjjm-gyms-data-28.liquid
CT	Team Dexter Vale Tudo	Groton			no w key	snippets/tjjm-gyms-data-28.liquid
CT	Xtreme Martial Arts Training	Guilford			no w key	snippets/tjjm-gyms-data-28.liquid
CT	Fifth Dimension Brazilian Jiu-Jitsu MMA	Milford			no w key	snippets/tjjm-gyms-data-28.liquid
CT	Elevate Personal Training + MMA	Stamford			no w key	snippets/tjjm-gyms-data-28.liquid
CT	Ronin Jiu Jitsu	Stamford			no w key	snippets/tjjm-gyms-data-28.liquid
DE	First State Martial Arts Academy	Dover			no w key	snippets/tjjm-gyms-data-44.liquid
FL	R2F Boxing & MMA Fitness Studio	Boca Raton			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Champion Mma of Bradenton	Bradenton			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Cali Style MMA	Cape Coral	http://calistylemma.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Mata Leao BJJ/MMA Academy	Casselberry			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Refit Academy - Coral Gables	Coral Gables	http://www.refitacademycoralgables.com		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Real World M.M.A. Training Center	Coral Springs			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Marcelo Meleiro BJJ – Nova Uniao South Florida	Dania Beach	http://www.novauniaosouthflorida.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Complete MMA Fitness	DeBary			no w key	snippets/tjjm-gyms-data-9.liquid
FL	West Volusia Academy Of Mixed Martial Arts	DeLand	http://theacademyofmma.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Burns Bros Jiu Jitsu	Deerfield Beach	https://burnsbrosjiujitsu.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Carlson Gracie Manny Soares	Delray Beach	https://mannysoaresbjj.com		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Fight Zone MMA	Fort Myers	http://www.fightzonefl.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Gainesville BJJ Florida	Gainesville	https://gainesvillebjjfl.com		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Gracie Barra Hallandale Beach	Hallandale Beach	http://gbhallandale.com		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Gladiator Sports Fitness MMA	Hialeah			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Paladin MMA Academy	Hialeah			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Round 5 MMA and Jiu-Jitsu	Hialeah			no w key	snippets/tjjm-gyms-data-9.liquid
FL	BLTeam Brazilian Jiu-Jitsu and Muay Thai Academy	Indian Harbour Beach	https://blteam1.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Agogi Academy of Combatives	Inverness	http://agogiac.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Alpha Dogs Martial Arts	Jacksonville	https://alphadogsmartialarts.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Armory Training Center	Jupiter			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Hardkore MMA & Jiu-Jitsu	Lake City			no w key	snippets/tjjm-gyms-data-9.liquid
FL	South Florida Fight Club	Lauderhill	http://www.sffc.tv/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Master Lowell's MMA Academy	Melbourne	https://jlmma.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Champion Martial Arts	Miami	http://www.judochampion.com/		override blanks it	snippets/tjjm-gyms-data-9.liquid
FL	Miami Jiu Jitsu	Miami			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Beach Martial Arts	Miami Beach			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Capital Jiu Jitsu	Miami Beach			no w key	snippets/tjjm-gyms-data-9.liquid
FL	Gracie Barra – Naples	Naples	http://www.graciebarranaples.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Gracie Jiu-Jitsu North Miami Beach	North Miami Beach			no w key	snippets/tjjm-gyms-data-10.liquid
FL	Gracie Jiu-Jitsu North Palm Beach	North Palm Beach			no w key	snippets/tjjm-gyms-data-10.liquid
FL	GTK Academy of Martial Arts	Ocala	https://gtkacademy.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Gracie Jiu-Jitsu Ocoee	Ocoee			no w key	snippets/tjjm-gyms-data-10.liquid
FL	Orange City Academy Of Mixed Martial Arts	Orange City	http://theacademyofmma.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	USD & MMA Fitness	Orange City	http://www.mmagetfit.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Ronin Training Center Orlando	Orlando	https://www.roninorlandofl.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Trident Jiu Jitsu	Ormond Beach			no w key	snippets/tjjm-gyms-data-10.liquid
FL	Robson Moura Jiu-Jitsu	Oxford	http://www.usajujitsu.net/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Team Remedy	Pensacola	https://teamremedymma.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	Team Gladiator MMA & Fitness	Pine Hills			no w key	snippets/tjjm-gyms-data-10.liquid
FL	Kumite Martial Arts	Plantation	http://www.kumitemartialarts.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	BJJ Academy Of Sarasota (wbjja)	Sarasota	http://www.wbjja.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Full Circle MMA	St. Cloud	http://www.nucfl.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Elite Training Center	St. Petersburg	http://www.elitetraininginc.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Synergy Martial Arts and Fitness	St. Petersburg	http://synergymartialarts.fitness/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Fist Factory	Stuart	http://www.thefistfactory.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	American Tigers Martial Arts	Sunrise	https://americantigers.com/		override blanks it	snippets/tjjm-gyms-data.liquid
FL	New Port Richey Jiu-jitsu Academy	Tarpon Springs	http://nprbjj.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Gracie Martial Arts – Vero Beach	Vero Beach	http://www.graciemartialartsverobeach.com		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Renato Tavares Assoc HQ	Vero Beach	http://www.legacymmausa.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Hands Down Martial Arts	West Palm Beach	http://www.wpbmma.com/		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	Vprok MMA Academy	Weston	http://www.vprokmma.com/United_States.html		override blanks it	snippets/tjjm-gyms-data-10.liquid
FL	USA Jiu-Jitsu	Wildwood	http://www.usajujitsu.net/		override blanks it	snippets/tjjm-gyms-data-10.liquid
GA	Carlos Machado Jiu-Jitsu North Atlanta	Acworth	http://www.cmjjnatl.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	James Shook Brazilian Jiu-Jitsu	Acworth	http://zenith.jamesshookbjj.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Hamby Freestyle Jiu Jitsu	Albany	http://www.hambyfreestyle.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Atlanta Kyusho and Jujitsu	Atlanta	http://www.atlantajujitsu.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Gracie Barra - Augusta	Augusta	http://gbaugusta.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Port City Jiu Jitsu	Bainbridge			stored w is empty string	snippets/tjjm-gyms-data-25.liquid
GA	Hybrid Fitness MMA	Between			stored w is empty string	snippets/tjjm-gyms-data-25.liquid
GA	Iron Wolf Academy	Braselton			stored w is empty string	snippets/tjjm-gyms-data-25.liquid
GA	Ruff House Boxing and MMA	Covington	https://www.ruffhouseboxing.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Prime Combat Sports	Cumming			stored w is empty string	snippets/tjjm-gyms-data-24.liquid
GA	World Jiu-Jitsu Academy	Cumming	http://worldjiujitsuatlanta.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Tect Center	Eastman			stored w is empty string	snippets/tjjm-gyms-data-25.liquid
GA	Full Throttle Fitness	Flowery Branch	http://www.fullthrottleoakwood.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Blalock International Mixed Martial Arts Academy	Fort Oglethorpe	http://www.blalocksimb.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Gracie Barra Gainesville	Gainesville	https://www.gbgainesville.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Absolute Martial Arts	Gainesville			stored w is empty string	snippets/tjjm-gyms-data-24.liquid
GA	Praxis MMA	Griffin			stored w is empty string	snippets/tjjm-gyms-data-24.liquid
GA	Invictus Brazilian Jiu Jitsu & Defensive Arts	Hoboken	http://invictusbjj.online/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Rodriguez MMA	Lawrenceville			stored w is empty string	snippets/tjjm-gyms-data-24.liquid
GA	Gwinnett Training Academy	Lawrenceville	http://www.gwinnetttrainingacademy.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Macon Jiu Jitsu Academy	Macon			stored w is empty string	snippets/tjjm-gyms-data-24.liquid
GA	Advantage Jiu-Jitsu and Self Defense	Marietta	https://www.advantagejj.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	East Cobb Martial Arts	Marietta	http://www.eastcobbma.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Redline MMA	Pooler	http://www.redlinemma.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Tekniques Brazilian Jiu-Jitsu & Fitness	Powder Springs	http://www.tekniquesbjj.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Atlanta Budokan	Smyrna	http://www.atlantabudokan.com/		override blanks it	snippets/tjjm-gyms-data-24.liquid
GA	Fit to Fight Georgia	Statesboro			stored w is empty string	snippets/tjjm-gyms-data-25.liquid
GA	Sylvester Jiu-Jitsu Academy	Sylvester	http://sylvesterjiujitsu.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Redemption Martial Arts Academy	Tifton	http://www.martialartstifton.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Independent MMA & Fitness - Villa Rica	Villa Rica	https://www.independentvillarica.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Zanshin South Gracie Jiu Jitsu	Warner Robins	http://www.zanshinsouthgraciejiujitsu.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
GA	Megalodon MMA	Watkinsville	http://www.megalodonmma.com/		override blanks it	snippets/tjjm-gyms-data-25.liquid
HI	Shibui Dojo	Kailua-Kona			no w key	snippets/tjjm-gyms-data-40.liquid
IA	Fighting Gravity Jiu Jitsu	Davenport	https://fightinggravityjiujitsu.com		override blanks it	snippets/tjjm-gyms-data.liquid
IA	Ludus Combat Sports	Mount Pleasant			no w key	snippets/tjjm-gyms-data-39.liquid
ID	Snake River MMA	Pocatello	https://snakerivermma.com		override blanks it	snippets/tjjm-gyms-data.liquid
IL	EDS Martial Arts and Self-Defense School	Bloomingdale			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Force Brazilian Jiu-Jitsu	Burr Ridge	http://www.madeyoutap.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	10th Planet Jiu Jitsu Chicago	Chicago	http://www.10thplanetjjchicago.com		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	GB Collinsville	Collinsville			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Chicago Martial Arts / Brazilian Top Team Jiu-Jitsu	Deerfield			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Bodhi Collaborative BJJ	Downers Grove	http://www.bodhicollaborative.com		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	GB Evanston	Evanston			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Devine Jiu Jitsu Lake County	Fox Lake	http://www.scholarwarriormma.com/devine-jiujitsu-lake-county		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	Gracie Jiu-Jitsu Geneva	Geneva			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Granite City MMA Cage Warriors	Granite City			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Comprido BJJ	Highland Park	http://www.highlandparkbjj.com		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	Brasa Jiu-Jitsu Highwood	Highwood			no w key	snippets/tjjm-gyms-data-20.liquid
IL	GB Jacksonville	Jacksonville			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Norse Academy Martial Arts	Lake Villa	http://norseacademymartialarts.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	10th Planet Jiu Jitsu Lombard	Lombard	http://www.10thplanetjjlombard.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	Northern Illinois Combat Club and Fitness	Machesney Park	http://www.niccfitness.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	Cassady Martial Arts Academy Royce Gracie Jiu Jitsu	Macomb	http://www.cassadymartialarts.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	The Shed JiuJitsu Academy	Macomb	https://theshedjiujitsuacademy.com/		override blanks it	snippets/tjjm-gyms-data-20.liquid
IL	Constrictor MMA	McHenry			no w key	snippets/tjjm-gyms-data-20.liquid
IL	Pedigo Submission Fighting	Mt. Vernon	https://pedigosubmissionfighting.com		override blanks it	snippets/tjjm-gyms-data.liquid
