verdict	ref	region	name	city	url	action	evidence	source_url
DEAD	b10-93	TX	Trainers Elite	Carrollton		KEEP_BLANK	trainerselite.com redirects to a HugeDomains domain_profile for-sale page priced at $3,495; trainerselite.net is NXDOMAIN.	https://www.hugedomains.com/domain_profile.cfm?d=trainerselite.com
CONFIRMED	b10-96	TX	Gracie Humaita Conroe	Conroe	https://www.facebook.com/yountbjj/	SET_OVERRIDE	FB page "Gracie Humaita - Conroe / Andy Yount Brazilian Jiu Jitsu" lists 3708 West Davis Street, Suite D, Conroe, TX 77304 and (281) 883-7534; gymconroe.com, graciehumaitaconroe.com and yountbjj.com are all NXDOMAIN.	https://www.facebook.com/yountbjj/
CONFIRMED	b10-104	TX	Amazonas MMA & Fitness Academy	Edinburg	https://www.facebook.com/amazonasmma/	SET_OVERRIDE	FB page lists 4618 S US Highway 281, Edinburg, TX 78539 and (956) 513-8620; bio reads "we offer classes for kids and adults, specializing in Muay Thai, Brazilian Jiu-jistu".	https://www.facebook.com/amazonasmma/
CONFIRMED	b10-105	TX	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	El Paso	https://www.facebook.com/elpaso.jiujitsu/	SET_OVERRIDE	FB page "Alliance Jiu Jitsu El Paso" lists 11385 James Watt Dr, El Paso, TX 79936 - matching the record zip - offers "group, private, and kids Jiu Jitsu classes", and links the stored domain elpjiujitsu.com.	https://www.facebook.com/elpaso.jiujitsu/
CONFIRMED	b10-106	TX	Warriors Lair MMA	El Paso	https://www.facebook.com/LamarHarrisMMA/	SET_OVERRIDE	FB page "Warriors Lair MMA" gives 8500 Dyer St Suite 20, 79904 El paso, Texas and names "Head BJJ instuctor: BJJ Black Belt, Law Ranches"; warriorslairmma.com is NXDOMAIN.	https://www.facebook.com/LamarHarrisMMA/
DEAD	b10-107	TX	Evolve BJJ	Fort Worth		KEEP_BLANK	evolvebjj.com is NXDOMAIN in-browser and the claimed successor storybjj.com redirects to a HugeDomains for-sale page priced at $495.	https://www.hugedomains.com/domain_profile.cfm?d=storybjj.com
UNRESOLVED	b10-113	TX	Collins Martial Arts	Hurst		FLAG	collinsmartialarts.com and .net are both NXDOMAIN in-browser; the FB "Collins Martial Arts" page is an Unofficial Page with 0 followers and no posts, and "Collins Jiu Jitsu" lists only an email with no address or city.	https://www.facebook.com/p/Collins-Jiu-Jitsu-100057725797301/
CONFIRMED	b10-114	TX	Strike And Submit Martial Arts And Fitness	Killeen	https://sasmartialarts.net/	SET_OVERRIDE	Site footer gives 1602 W. Stan Schlueter Loop, Killeen, TX 76549 with 254-432-8288, and the program navigation carries a named "Kids Brazilian Jiu Jitsu Classes" heading "Kids Brazilian Jiu-Jitsu in Killeen".	https://sasmartialarts.net/
CONFIRMED	b10-115	TX	Terra Leon Brazilian Jiu Jitsu	Killeen	https://www.instagram.com/terra_leon_bjj/	SET_OVERRIDE	Instagram bio reads "Terra Leon offers Brazilian Jiu Jitsu, Mixed Martial Arts, and Women's Self-Defense. Located 3905 E Veterans Memorial"; terraleonbjj.com and gteambjj.com are both NXDOMAIN. Possible succession to G-Team - see report.	https://www.instagram.com/terra_leon_bjj/
UNRESOLVED	b10-116	TX	Applied Sports MMA Family Fitness Gym	Lakeway		FLAG	appliedmma.com not visited (hijacked per instructions); the FB page gives only "Lakeway, TX 78734" and (682) 365-2857 with a bio naming kids and women's self-defense, kickboxing and MMA - no BJJ or grappling class and no street address.	https://www.facebook.com/p/Applied-Sports-Mma-Family-Fitness-100063471613370/
UNRESOLVED	b10-132	TX	Spartan Fit MMA	Rhome		FLAG	FB page confirms 6225 E Hghway 114, Rhome, TX 76078 - matching the record's 6225 TX-114 - but the bio and About tab say only "Students and enthusiasts alike have many reasons to have an interest in the martial arts" with no named BJJ or grappling class, and its linked mmaspartanfit.com is NXDOMAIN.	https://www.facebook.com/SpartanFitMma/about
UNRESOLVED	b10-145	TX	Katana Jiu-Jitsu Academy	Spring		FLAG	katanajiu-jitsuacademy.com and katanajiujitsuacademy.com are both NXDOMAIN in-browser, and facebook.com/katanajiujitsuacademy returns "This content isn't available right now" - the page is deleted or restricted.	https://www.facebook.com/katanajiujitsuacademy/
