verdict	name	region	url	evidence
CLEAN	Atos BJJ San Diego	CA	https://atosjiujitsuhq.com/	clean
CLEAN	Auburn CA Jiu Jitsu Academy	CA	https://auburnjiujitsuacademy.com/	clean
CLEAN	Auburn Jiu Jitsu	AL	https://auburn-jiujitsu.com/	clean
CLEAN	Austin Fitness Martial Arts	TX	https://www.thevoidmartialarts.com/	clean
CLEAN	Austin Fitness Martial Arts - Now is THE VOID MArtial Arts	TX	https://www.thevoidmartialarts.com/	clean
CLEAN	Austin Martial Arts Academy	TX	https://lifekido.com/	clean
CLEAN	Authentic Jiu Jitsu	AB	https://authenticjiujitsu.com	clean
CLEAN	Axe Capoeira Arizona	AZ	https://www.axecapoeira-az.com/brazilian-jiujitsu	clean
CLEAN	Aylmer Jiu-Jitsu and Muay-Thai	QC	https://www.aylmerjiujitsu.com	clean
CLEAN	BJJ Battalion	ON	https://bjjbattalion.com	clean
CLEAN	BJJ at 11th Street Dojo by Nayo Fauntes (Clois Silva)	CA	https://www.11thstreetdojo.com/aikido-1	clean
CLEAN	BPi Fighting Systems	ID	https://www.bpifight.com	clean
CLEAN	BUDō Jiu-Jitsu Team Vancouver	BC	https://budojiujitsuteam.com	clean
