verdict	name	region	url	evidence
CLEAN	905 Brazilian Jiujitsu	ON	https://905brazilianjiujitsu.com	clean
CLEAN	9th Isle BJJ Inc	NV	https://www.9thislebjj.com	clean
CLEAN	A-Force BJJ Academy	NY	https://www.aforcebjj.com	clean
CLEAN	AACE Martial Arts Academy	ON	https://aacemartialartsacademy.com	clean
CLEAN	ABUNAI MMA	AZ	https://abunaimma.com/	clean
CLEAN	ADG Jiu-Jitsu	TN	https://adgjiujitsu.com	clean
CLEAN	AK-49 Martial Arts	AK	https://www.ak49martialarts.com/	clean
CLEAN	ALLIANCE JIU JITSU	AL	https://alliancehuntsville.com/	clean
CLEAN	AM3R - Arts Martiaux Trois-Rivières	QC	https://www.am3r.ca	clean
CLEAN	AMA Dojo	ON	https://amadojo.ca	clean
CLEAN	AMA Fight Club	NJ	https://www.joinamafightclub.com/	clean
CLEAN	AMP BJJ Baton Rouge	LA	https://ampbjj.com/about-amp-bjj/amp-bjj-baton-rouge/	clean
CLEAN	APEX MMA	ON	https://apexmma.ca	clean
CLEAN	Abhaya Martial Arts Academy	NS	https://www.abhaya.ca/windsor	clean
CLEAN	Abhaya Mixed Martial Arts	NS	https://abhaya.ca	clean
CLEAN	Abmar Barbosa JJ Academy	VA	https://www.abmarbjjacademy.com	clean
CLEAN	Absolute Fight Factory	MT	https://www.absolutefightfactory.com	clean
CLEAN	Absolute Jiu-Jitsu Academy Bristol	TN	https://absolutejj.com	clean
CLEAN	Absolute MMA	UT	https://absolutemma.com	clean
CLEAN	Academy Jiu Jitsu	NM	https://academyjiujitsu.net	clean
CLEAN	Academy Jiu-Jitsu and Kickboxing / Headquarters	CA	https://www.academyjj.com/	clean
CLEAN	Academy of Combat Arts	ND	https://fmaca.com	clean
CLEAN	Acadia Brazilian Jiu-Jitsu	ME	https://acadiabjj.com	clean
CLEAN	Académie Athéna	QC	https://www.athenabjj.com	clean
CLEAN	Académie Connexion	QC	https://academieconnexion.com	clean
CLEAN	Académie Frontenac	QC	https://www.academiefrontenac.com	clean
CLEAN	Académie Impak	QC	https://impakmma.com	clean
CLEAN	Académie JiuManji	QC	https://academiejiumanji.com	clean
CLEAN	Académie SGS	QC	https://academiesgs.com	clean
CLEAN	Aces Jiu Jitsu Club	TX	https://www.acesjiujitsuclub.com/	clean
CLEAN	Action & Reaction MMA Pickering	ON	https://actionreactionmma.com	clean
CLEAN	Adamas Brazilian Jiu Jitsu Academy	OH	https://adamasjiujitsutoledo.com/	clean
CLEAN	Adapt Jiu-Jitsu	UT	https://adaptbjj.com	clean
CLEAN	Advanced Martial Arts	NJ	https://advancedbjjnj.com/	clean
CLEAN	Advantage Jiu Jitsu	BC	https://www.advantagejiujitsu.ca	clean
CLEAN	Adventure BJJ & Sambo	OH	https://adventuremma.com/bjj	clean
CLEAN	Affinity Academy Nolan Hill	AB	https://affinityacademy.ca	clean
CLEAN	Affinity Academy Varsity	AB	https://affinityacademy.ca	clean
CLEAN	Agema Jiu Jitsu and MMA	UT	https://agemagym.com	clean
CLEAN	Aiken Jiu-Jitsu	SC	http://www.aikenjiu-jitsu.com	clean
CLEAN	Airdrie Martial Arts Centre	AB	https://airdriemartialartscentre.ca	clean
CLEAN	Alavanca	AB	https://www.alavanca.ca	clean
CLEAN	Alcateia Brazilian Jiu Jitsu	ON	https://alcateiabjj.com	clean
CLEAN	Alex Martins Brazilian Jiu Jitsu	TX	https://alexmartinsbrazilianjiujitsu.com	clean
CLEAN	Alexander Jiu-Jitsu	OK	https://alexanderjj.com/	clean
CLEAN	Alexandre Garcia Brazilian Jiu-Jitsu	NV	https://www.agjiujitsu.com	clean
CLEAN	Alexey Pickerell BJJ	ME	https://alexeybjj.com	clean
