verdict	id	city	name	url	note
OK	37	Edmonton	Bairro Brazilian Jiu-Jitsu Academy	https://bairro.ca	BJJ + kickboxing; Central 10542 106 St Edmonton
OK	38	Edmonton	Bairro Martial Arts Academy South	https://bairro.ca	same host as id 37; South location 5222 86 St NW Edmonton
OK	39	Edmonton	Black Sails Brazilian Jiu Jitsu	https://www.blacksailsbjj.com	Wix site, BJJ + Muay Thai, 9746 54 Ave NW Edmonton
OK	40	Edmonton	Bravé MMA and Fitness	https://bravemmaandfitness.com	MMA/BJJ/boxing gym, West and South Edmonton locations
OK	41	Edmonton	Edmonton Gracie Jiu-Jitsu	https://edmontongraciejiujitsu.com/	Certified Gracie Jiu-Jitsu Training Center, 5637 Riverbend Rd NW Edmonton
OK	42	Edmonton	Elite Taekwondo and Brazilian Jiu Jitsu	https://eliteedmonton.ca	Taekwondo + BJJ school, 9831 45 Ave NW Edmonton
OK	43	Edmonton	Gracie Barra Edmonton	https://graciebarra.com/edmonton-alberta-canada/	live Gracie Barra school microsite, 11500 170 St NW Edmonton
OK	44	Edmonton	Kamikaze Punishment Foundation	https://www.kpfit.ca	non-profit martial arts centre (MMA/boxing/BJJ/judo/TKD), 12034 Fort Rd Edmonton
OK	45	Edmonton	Kazoku BJJ	https://kazokubjj.ca/	Shopify-hosted BJJ + Muay Thai school, Edmonton
OK	46	Edmonton	Munduruca North Edmonton BJJ	https://northedmontonbjj.com	Azure static site, Munduruca-affiliated BJJ club, 14809 Yellowhead Trail Edmonton
OK	47	Edmonton	SBG Edmonton	https://www.straightblastgymedmonton.com	SBG Edmonton BJJ, 11714 82 St NW Edmonton
OK	48	Edmonton	The Ludus Martial Arts Academy	https://www.ludusmartialarts.ca	Wix site, jiu-jitsu/kickboxing/MMA, 9547 42 Ave NW Edmonton
OK	49	Edson	Arashi-Do Martial Arts Edson	https://arashido.com/location/edson/	live Arashi-Do location page, 5023 4 Ave Edson; BJJ only
OK	50	Grande Prairie	Heiho Dojo	https://www.heihodojo.ca	Wix site, BJJ/Muay Thai/Kenpo/fitness, 10015 100 Ave Grande Prairie
EMPTY	51	Grande Prairie	The Komodo Academy	https://www.thekomodoacademy.com/	resolves via CNAME sites.ludicrous.cloud behind Cloudflare (Status 0 with Answer) but returns no readable body on either www or apex; needs a browser
OK	52	Hinton	Arashi-Do Martial Arts Hinton	https://arashido.com/location/hinton/	live Arashi-Do location page, 127 Athabasca Ave Hinton; BJJ + Shaolin kung fu
OK	53	Leduc	Arashi-Do Martial Arts Leduc	https://arashido.com/location/leduc/	live Arashi-Do location page, 6051B 47 St Leduc
OK	54	Lethbridge	Canadian Martial Arts Centre	https://cmcmma.com	kickboxing/BJJ/grappling/kids classes, 3307 3 Ave S Lethbridge; site content is dated (2018 kids schedule) but live and on-topic
OK	55	Lethbridge	Gracie Barra Lethbridge	https://gblethbridge.com	GoDaddy-built Gracie Barra Lethbridge BJJ academy, 731 30 St N #10 Lethbridge
OK	56	Lethbridge	Progressive Fighting Academy	https://pfakickboxing.com/	kickboxing/BJJ/wrestling academy, 1720 2 Ave S Lethbridge
OK	57	Medicine Hat	Resilience Brazilian Jiu Jitsu	https://www.rbjj.ca	Wix site, BJJ / submission wrestling, 640 Kingsway Ave SE Medicine Hat
OK	58	Okotoks	Okotoks BJJ	https://okotoksbjj.com	Wix site, BJJ school, 2-220 North Railway St Okotoks
OK	59	Olds	Arashi-Do Martial Arts Olds	https://arashido.com/location/olds/	live Arashi-Do location page, 4806 50 Ave Olds
OK	60	Penhold	Arashi-Do Martial Arts Penhold	https://arashido.com/location/penhold/	live Arashi-Do location page, 9 Hawkridge Blvd Penhold
OK	61	Red Deer	Arashi-Do Martial Arts Red Deer	https://arashido.com/location/red-deer/	live Arashi-Do location page, 179 Clearview Dr Red Deer County
OK	62	Red Deer	KENSEI MMA	https://www.kensei.ca/	Squarespace MMA/BJJ/kickboxing gym, 4768 Riverside Dr Unit 2 Red Deer
OK	63	Sherwood Park	Arashi-Do Martial Arts Sherwood Park	https://arashido.com/location/sherwood-park/	live Arashi-Do location page, 38 Sioux Rd Sherwood Park
OK	64	Sherwood Park	Frontline Academy Canada	https://frontlinebjj.com	live BJJ academy page, 214 Sioux Rd Sherwood Park; hosted in Brazil (186.202.149.228)
OK	65	Spruce Grove	Black Gold Jiu-Jitsu Academy	https://www.blackgoldbjj.com	Squarespace BJJ academy, 20 Westwind Dr Spruce Grove
OK	66	St. Albert	Phoenix Martial Arts Club	https://phoenixmartialartsclub.ca	Taekwon-do / Muay Thai / BJJ club with St. Albert and area locations
OK	67	St. Albert	Complete Fitness and Martial Arts	https://www.stalbertmartialarts.com	Duda-hosted martial arts and fitness facility with BJJ program, 40 Chisholm Ave St. Albert
OK	68	St. Albert	Hayabusa Training Centre	https://hayabusatrainingcentre.com/	WordPress BJJ academy, 175 Carleton Dr Suite 150 St. Albert
OK	69	St. Albert	Ironside Martial Arts	https://ironsidemartialarts.ca	GoDaddy-built martial arts dojo, 135-44 Riel Dr St. Albert
OK	70	St. Albert	Limitless BJJ Edmonton	https://limitlessbjjedmonton.com	grappling/BJJ/wrestling gym, 215 Carnegie Dr #2 St. Albert
OK	71	St. Albert	The Dojo MMA	https://thedojomma.com	family-run MMA/jiu-jitsu/Muay Thai facility, St. Albert / NW Edmonton
OK	72	Sylvan Lake	Arashi-Do Martial Arts Sylvan Lake	https://arashido.com/location/sylvan-lake/	live Arashi-Do location page, 14 Thevanaz Industrial Trail Sylvan Lake
