region	city	name	verdict	new_url	stored_url	evidence
FL	West Palm Beach	GB Lake Park	KEEP	https://gblakepark.com/	https://lp.gblakepark.com/	"Stored lp. subdomain returns an empty document. Same owner's main domain serves the full site: ""WELCOME TO GRACIE BARRA LAKE PARK FAMILY"", named GB I / GBK I / "
FL	West Palm Beach	Team Nogueira	KEEP	https://jupiterbjj.com/	http://www.teamnog.com/	"Owner-controlled rebrand redirect, but it lands on a 404: teamnog.com now redirects to jupiterbjj.com/page-not-found. Same entity - ""Team Nogueira Bloise Academ"
GA	Athens	Athens Fitness and MMA	KEEP	https://sbgathens.com/	http://www.athensfitnessandmma.com/	Old domain 301s to the school's current site SBG Athens: 240 Collins Industrial Blvd Suite G, Athens GA 30601, 706-850-8444; named Brazilian Jiu-Jitsu, Kids Jiu
GA	Pooler	Coastal Combatives	PARKED		http://www.coastalcombatives.com/	"Bluehost placeholder page: title ""Welcome coastalcombatives.com - BlueHost.com"", meta ROBOTS NOINDEX/NOFOLLOW, parking affiliate link iyfubh.com/?dn=coastalcomb"
GA	Statesboro	Hanto Jiu-Jitsu Academy	DEAD	https://www.hantobjj.com/	https://hantojiu-jitsuacademy.com/	hantojiu-jitsuacademy.com resolves (198.49.23.144) but served an empty body on apex and www. The school now runs as Hanto Union Jiu-Jitsu; its own contact page 
KY	Owensboro	Hidden Samurai Martial Arts	DEAD	https://hsmaa7.wixsite.com/hiddensamurai	https://www.hiddensamurai.cmasdirect.com	Stored cmasdirect.com stub resolves (72.198.253.152) but returns an empty document over both http and https. School's own Wix site is readable: address 1741 Sch
LA	Breaux Bridge	Gladiators Academy of Breaux Bridge	KEEP	https://gladiatorsbb.com/	http://www.gladiatorsbb.com/	"Stored http+www host returns an empty body; https apex renders as ""Gladiators Academy of Breaux Bridge"" and the site has a dedicated page headed ""Breaux Bridge "
MA	Wareham	Nexus Martial Arts & Fitness	DEAD		nexusma.com	Status 0 but no A record (SOA-only response) for both nexusma.com and www.nexusma.com
MA	Watertown	CrossFit Arsenal (and BJJ)	PARKED		crossfitarsenal.com	No A record. Apex returns Status 0 with an SOA-only authority section (GoDaddy ns05.domaincontrol.com / dns.jomax.net) and no Answer array; www.crossfitarsenal.
MD	Gaithersburg	Infinite Fighting Concepts MMA	PARKED		ifcmma.com	"Redirects to www.ifcmma.com which serves a Namecheap parking page: ""has been recently registered with namecheap.com"" plus domain-auction promos. IP 192.64.119.1"
MD	Nottingham	New Wave Martial Arts Perry Hall	DEAD		newwavema.com	GoDaddy nameservers delegated but no A record at apex (Status 0, no Answer array); www.newwavema.com is only a CNAME back to the apex, so it resolves to nothing
ME	Presque Isle	Presque Isle BJJ	DEAD		https://presqueislebjj.com	NXDOMAIN (Status 3) at the .com gTLD servers.
MI	Coldwater	Michigan Sports Camps	WRONG_ENTITY		https://www.ttsfitness.com/	"Domain belongs to a different business in a different town: ttsfitness.com is ""TTS Fitness"", now Max Effort Performance, in Middleville MI (its facility-tour pa"
MI	Fowlerville	REAL WORLD MMA & Fitness	NOT_GRAPPLING		http://independentmartialarts.us/	Site is Noonan Independent Martial Arts operating inside Real World MMA, downtown Fowlerville MI, 517-861-7648. Its own Programs page lists only: Yoga Martial F
MI	Shelby Charter Township	New Way Martial Arts Academy	KEEP	https://newwaytrainingcenter.com/	http://newwaymartialarts.com	Stored apex returns an empty body; www.newwaymartialarts.com still renders but is an abandoned 2013-era page (Caio Terra Seminar 2013, expired Groupon) though i
MI	Westland	Master Gauss Martial Arts Center	NOT_GRAPPLING		http://www.gaussmartialarts.com/	"Site is live and is the correct entity (5950 Hix Road, Westland, MI 48185, 1-734-707-8425) but its Programs page lists exactly two offerings: ""Modern Arnis"" (Fi"
NC	Chapel Hill	Chapel Hill Gracie Jiu Jitsu	KEEP	https://www.chapelhilljiujitsu.com/	http://www.chapelhilljiujitsu.net/	"The .net 301-redirects to the canonical .com, which is the correct school. Own page: ""1728 - 127 Fordham Blvd., Chapel Hill, NC 27514, (919) 265 - 4255"" with Ad"
NJ	Caldwell	Guerrero BJJ & MMA	WRONG_ENTITY		http://kneeonbelly.com/	"Domain now redirects to njkick.com = ""No Limit Martial Arts"", 1001 Pleasant Valley Way, West Orange NJ 07052, (973) 228-3424 - a different school in a different"
NJ	Clark	Kombat Brazilian Jiu-Jitsu	DEAD	https://kombatjits.com/	https://www.kombatbjj.com/	"www.kombatbjj.com is NXDOMAIN; apex kombatbjj.com resolves to a Shopify IP (23.227.38.72) and returns an empty document. School's live site: ""Kombat Brazilian J"
NL	Labrador City	Labrador City BJJ	DEAD		https://www.novauniao.ca/lab-city	NXDOMAIN (Status 3) on both novauniao.ca and www.novauniao.ca
NV	Henderson	American Top Team Nevada	KEEP	https://attnevada.com/	http://www.attnevada.com	"Stored www host returns an empty body; apex is live: ""Welcome to American Top Team Henderson"", ""we offer the ideal BJJ/judo classes"", led by Alex Davis who ""hol"
NV	Las Vegas	Summerlin BJJ	PARKED		https://summerlinbjj.com	"Bluehost hosting placeholder, not a school site: title ""Welcome summerlinbjj.com - BlueHost.com"", meta ROBOTS NOINDEX/NOFOLLOW, plus a domain-parking affiliate "
NV	North Las Vegas	Ronin Jiu-Jitsu North Las Vegas	WRONG_ENTITY		http://www.roninbjj.org	"Site is live but is a different school: ""Ronin Jiu-jitsu is a Campeao United Affiliated Brazilian Jiu Jitsu school located at 2 Park Street, Attleboro, MA 02703"
NV	Reno	Momentum Martial Arts	KEEP	https://mmarenonv.com/	http://momentumreno.com	301s to the school's current domain mmarenonv.com: 920 Matley Ln #5, Reno, NV 89502, (775) 433-1226; named Gracie Jiu Jitsu foundations / advanced fundamentals 
NY	Brooklyn	JG Monster Jiujitsu Fitness	DEAD		http://www.jgmonsterjiujitsufitness.com	DNS Status 3 NXDOMAIN for jgmonsterjiujitsufitness.com (no zone at Verisign .com)
NY	Cicero	Curtis Tillman's Mixed Martial Arts Academy	DEAD		http://tillman-mma.com	DNS Status 3 NXDOMAIN for tillman-mma.com, answered by the .com authority (a.gtld-servers.net) - domain does not exist
NY	Garden City	Longo and Weidman MMA	PARKED		http://lawmma.com	"Serves a NameBright registrar parking page: ""lawmma.com is coming soon / This domain is managed at NameBright"". No replacement found - third-party listings stil"
NY	Long Island City	International Training Center of New York	DEAD	https://itcnewyork.com/	https://www.itcny.com/	itcny.com and www.itcny.com resolve (216.119.109.112) but every path returns an empty document. The same school now operates as ITC New York at itcnewyork.com (
NY	Lynbrook	Kfm Martial Arts & Fitness Academy	DEAD		http://www.kfmnewyork.com	DNS Status 3 NXDOMAIN for www.kfmnewyork.com, answered by the .com authority (a.gtld-servers.net) - domain does not exist
NY	Mount Kisco	Westchester Mixed Martial Arts & Fitness	PARKED		http://www.westchestermmafit.com	"Redirects to HugeDomains: ""WestchesterMmAfIt.com is for sale | HugeDomains - This domain is for sale: $95"". No school content"
NY	New York	Bwarrior MMA	DEAD		http://bwarrior.com	NXDOMAIN (Status 3). Zone is served by ns1.namebrightdns.com (drop-catch registrar) with no A record published
NY	New York	Yojimbo BJJ	DEAD		http://www.yojimbonyc.com	DNS Status 3 NXDOMAIN for yojimbonyc.com (no zone at Verisign .com)
NY	Patchogue	D'Arce Brazilian Jiu-Jitsu	DEAD	http://darcebjj.com/	http://www.darcejiujitsu.com	"darcejiujitsu.com resolves to GoDaddy forwarding IPs and serves an empty body on apex/www, http/https. The school's live site is darcebjj.com: ""Joe D'Arce, a 3r"
NY	Point Lookout	Gracie Jiu-Jitsu Point Lookout	DEAD		https://graciejiujitsuli.com	NXDOMAIN (Status 3) on both graciejiujitsuli.com and www.graciejiujitsuli.com
NY	Rochester	Crossfit 585 BJJ	DEAD		http://www.crossfit585bjj.com/home	DNS Status 3 NXDOMAIN for crossfit585bjj.com (no zone at Verisign .com)
NY	Seldon	East West MMA	DEAD		http://www.circleofoneny.com	NXDOMAIN (Status 3) at the .com gTLD servers.
NY	Spencerport	Peloton Martial Arts Center	DEAD		http://www.peloton-bjj.com	NXDOMAIN (Status 3) at the .com gTLD servers.
OR	Medford	Spartan Team Brazilian Jiu-Jitsu	NOT_GRAPPLING		http://spartanboxinggym.com/	"Live site is ""Spartan Boxing Gym"", a non-profit boxing club at 729 Welch St. Medford, OR 97501, (541) 973-2182. Programs page lists only Youth Boxing, Adult Box"
PA	Ephrata	Ephrata Martial Arts	NOT_GRAPPLING		https://www.ephratamartialarts.com/	"Site is live and is the right school (248 W. Fulton Street, Ephrata, PA 17522, 717-738-2244) but every class it offers is striking. Classes page: ""Our striking "
PE	Souris	Souris Brazilian Jiu-Jitsu	DEAD		https://sourisbjj.com	DNS NXDOMAIN (Status 3)
RI	Bristol	Bristol BJJ	DEAD		https://bristolbjj.com	NXDOMAIN (Status 3) at the .com gTLD servers.
TX	Arlington	Aloisio Silva Brazilian Jiu-Jitsu Academy	WRONG_ENTITY	https://silvabjjtx.com/	https://www.aloisiosilvabjj.com/	Current URL redirects to silvabjj.com, the Silva BJJ Association HQ page, not the Arlington academy. That association contact page lists the Arlington location 
TX	Austin	Austin Martial Arts Academy	KEEP	https://lifekido.com/	http://www.austinmartialarts.com/	"Owner-controlled rebrand redirect, not a hijack: austinmartialarts.com 302s to grv.satorimethod.com/amaa which states ""The Austin Martial Arts Academy was estab"
TX	Richardson	Gracie Gym Richardson / Brazilian Jiu-Jitsu	WRONG_ENTITY	https://graciegymrichardson.com/	http://graciegymrichardson.com/	"The stored http:// URL redirects to https://www.graciegymmaine.com - ""Gracie Gym Maine ... premier Brazilian Jiujitsu facility located in Windham, Maine"", phone"
VA	Chesapeake	Gustavo Machado Brazilian Jiu Jitsu Chesapeake	KEEP	https://bjjchesapeake.com/	https://www.gmbjjchesapeake.com	"gmbjjchesapeake.com resolves but returns an empty body on http/https and apex/www. The school's working site is bjjchesapeake.com: homepage reads ""Gustavo Macha"
VT	Montpelier	Montpelier BJJ	DEAD		https://montpelierbjj.com	NXDOMAIN (Status 3) at the .com gTLD servers.
