test	region	name	filed_city	signal	detail
B-city-vs-state	MA	Randy Brown Mantis Boxing & Brazilian Jiu-Jitsu	Westminster	CO	5 records place Westminster in CO, only 1 in MA
B-city-vs-state	WI	Defense Combatives DEFCOM HQ	Watertown	MA	3 records place Watertown in MA, only 1 in WI
B-city-vs-state	WA	Grays Harbor Brazilian Jiu-Jitsu	Aberdeen	SD	3 records place Aberdeen in SD, only 1 in WA
B-city-vs-state	WA	AKA MMA & Fitness	Arlington	VA	8 records place Arlington in VA, only 1 in WA
B-city-vs-state	WA	SMASH BJJ Deer Park	Deer Park	TX	3 records place Deer Park in TX, only 1 in WA
B-city-vs-state	WA	The Base Longview	Longview	TX	3 records place Longview in TX, only 1 in WA
B-city-vs-state	OR	Mt. Hood Impact Jiu Jitsu	Sandy	UT	3 records place Sandy in UT, only 1 in OR
B-city-vs-state	OR	Grappletown Wrestling & Jiujitsu	Phoenix	AZ	22 records place Phoenix in AZ, only 1 in OR
B-city-vs-state	NY	Long Beach Jiu Jitsu	Long Beach	CA	4 records place Long Beach in CA, only 1 in NY
B-city-vs-state	NY	American Academy Of Self Defense	Deer Park	TX	3 records place Deer Park in TX, only 1 in NY
B-city-vs-state	AR	USA Jiu-Jitsu Arkansas	Jacksonville	FL	7 records place Jacksonville in FL, only 1 in AR
B-city-vs-state	ME	Bearclan Jiujitsu	Oakland	CA	4 records place Oakland in CA, only 1 in ME
B-city-vs-state	ON	905 Brazilian Jiujitsu	Aurora	CO	7 records place Aurora in CO, only 1 in ON
B-city-vs-state	ON	King Jiu Jitsu Vaughan	Concord	NH	3 records place Concord in NH, only 1 in ON
B-city-vs-state	RI	Terrinha BJJ Lincoln	Lincoln	NE	5 records place Lincoln in NE, only 1 in RI
B-city-vs-state	MS	KC Jones Martial Arts	Long Beach	CA	4 records place Long Beach in CA, only 1 in MS
B-city-vs-state	MS	Anthony Mitchell Jiu Jitsu Studio	Madison	WI	11 records place Madison in WI, only 1 in MS
B-city-vs-state	NH	Sanders Jiu Jitsu	Rochester	NY	7 records place Rochester in NY, only 1 in NH
B-city-vs-state	SC	Divinus Lux Jiu Jitsu	Greenwood	IN	3 records place Greenwood in IN, only 1 in SC
B-city-vs-state	SC	Gracie Jiu-Jitsu Lexington Carter's Academy	Lexington	KY	4 records place Lexington in KY, only 1 in SC
B-city-vs-state	WV	Ground Zero BJJ Bridgeport	Bridgeport	CT	5 records place Bridgeport in CT, only 1 in WV
B-city-vs-state	WV	Butch Hiles Brazilian Jiu-Jitsu and MMA	Charleston	SC	3 records place Charleston in SC, only 1 in WV
B-city-vs-state	WV	Parkersburg Martial Arts Center	Vienna	VA	5 records place Vienna in VA, only 1 in WV
B-city-vs-state	DE	Dauntless BJJ & MMA	Newark	NJ	5 records place Newark in NJ, only 1 in DE
B-city-vs-state	NS	Abhaya Martial Arts Academy	Windsor	ON	4 records place Windsor in ON, only 1 in NS
B-city-vs-state	TN	Renzo Gracie of Stewart County	Dover	DE	5 records place Dover in DE, only 1 in TN
