# batch 2 consolidated - 75 candidates body-checked
state	city	name_confirmed	url	address	verdict	note
UT	Sandy	Elite Performance Gym (Jeremy Horn's)	eliteperformancegym.com	9599 S 500 W	CONFIRMED	Site brands as Elite Performance Gym
UT	West Jordan	CR Brazilian Jiu Jitsu	crbjjusa.com	5320 Wells Park Rd Unit 1	CONFIRMED	Cristiano Ribeiro 6th degree black belt
UT	West Jordan	Absolute MMA	absolutemma.com	1338 W 7800 S	CONFIRMED	Behring BJJ under Flavio Behring
UT	Cedar City	Mixed Grappling Arts	mixedgrapplingarts.com		EMPTY	Resolves but no readable body; HOLD resolved empty
SK	Regina	Expedition Brazilian Jiu-Jitsu	expeditionbjj.ca	1535-B McAra St, Regina SK S4N 6H4	CONFIRMED	BJJ academy, address matches site
SK	Regina	Ascendant Martial Arts	ascendantmartialarts.ca	1171 Winnipeg St, Regina SK S4R 1J5	CONFIRMED	Teaches BJJ, MMA, Muay Thai, wrestling
SK	Saskatoon	Valens Jiu Jitsu Academy	valensjiujitsu.ca	510 Lauriston St #20, Saskatoon SK S7K 0R5	CONFIRMED	GFTeam affiliate confirmed on site
SK	Saskatoon	Scheer's Martial Arts	scheersmartialarts.com	15 Glazier Rd, Saskatoon SK S7K 3J8	CONFIRMED	BJJ program, est. 1967
SK	Saskatoon	Alliance Training Center	alliancetrainingcenter.com	339 Edson St, Saskatoon SK S7J 4C8	CONFIRMED	Teaches BJJ; not verified Alliance affiliate
SK	Prince Albert	The Lab Brazilian Jiu-Jitsu Academy	thebjjlab.com	21 11th St E, Prince Albert SK	CONFIRMED	BJJ academy, address matches
SK	Prince Albert	North Wake Martial Arts	northwakemartialarts.com	16-243 S Industrial Dr, Prince Albert SK S6V 7L7	CONFIRMED	BJJ, TKD, kickboxing, MMA taught
SK	Moose Jaw	Control Jiu Jitsu	controlbjj.com	244a River St W, Moose Jaw SK	CONFIRMED	BJJ, Judo, Muay Thai; nonprofit
SK	Yorkton	Yorkton Martial Arts Training Center	ymatc.com	295 Broadway St W, Yorkton SK	CONFIRMED	Multi-discipline incl BJJ program
SK	North Battleford	Green Dojo	greendojo.ca	2202 101 St, North Battleford SK S9A 0S2	CONFIRMED	Current addr 2202 101 St; header shows stale addr
SK	Estevan	Estevan Combat Sports and Fitness			CONFIRMED-NO-ADDR	No own site; FB/IG/news confirm BJJ/MMA nonprofit
SK	Weyburn	Weyburn MMA Club		46 13th St	CONFIRMED-NO-ADDR	No own site; FB active; addr may be outdated
SK	Melville	WARCRY Martial Arts	warcrymartialarts.com	543 Main St, Melville SK S0A 2P0	CONFIRMED	BJJ + kickboxing
ND	Bismarck	Ice Dragon Academy	icedragonacademy.com	3007 Morrison Ave, Bismarck ND 58504	CONFIRMED	BJJ + Muay Thai, ND's only No-Gi BJJ
ND	Bismarck	Bismarck MMA	bismarckmma.com	1418 Airport Rd Shop #14, Bismarck ND 58504	CONFIRMED	BJJ, Judo, wrestling, MMA
ND	Dickinson	Elite BJJ	elitebjj.org	71 12th St SE, Dickinson ND	CONFIRMED	BJJ academy
ND	Dickinson	Carlos Machado Jiu Jitsu Dickinson	carlosmachadojiujitsudickinson.com	11 4th Ave E, Dickinson ND 58601	CONFIRMED	BJJ school, Carlos Machado brand
ND	Fargo	Academy of Combat Arts	fmaca.com	3332 4th Ave S Ste D, Fargo ND 58103	CONFIRMED	BJJ, Muay Thai, boxing, MMA
ND	Grand Forks	Progressive Martial Arts	progressivemartialartsgf.com	1604 S Washington Ste B2, Grand Forks ND 58201	CONFIRMED	BJJ + MMA since 1995
ND	Minot	Gracie Jiu-jitsu Minot	sites.google.com/view/minotgjj	2825 S Broadway Ste 1, Minot ND 58701	CONFIRMED	Real operating Gracie CTC, teaches BJJ
WY	Casper	D's Jiu-Jitsu Academy	dsbjjcasper.com	2000 Casper St, Casper WY 82604	CONFIRMED	BJJ for all ages
WY	Cheyenne	Black Label BJJ of Cheyenne	blacklabel307.com	1121 Old Town Ln, Cheyenne WY 82009	CONFIRMED	BJJ + kickboxing
WY	Cody	Potter Combat Academy	pottercombat.com	1713 17th St, Cody WY 82414	CONFIRMED	BJJ + MMA striking
WY	Green River	Duality BJJ	dualitybjj.com	142 E Flaming Gorge Way, Green River WY 82935	CONFIRMED	BJJ/Judo/wrestling/CSW/MMA; addr on own site
WY	Jackson	Jackson Hole MMA	jacksonholemma.com	3580 South Park Dr, Jackson WY 83001	CONFIRMED	BJJ + wrestling, JH Indoor Sports Facility
WY	Laramie	Third Way Jiu Jitsu	thirdwayjiujitsu.com	407 S 21st St, Laramie WY 82070	CONFIRMED	BJJ + kickboxing; no Alliance affiliation
WY	Lander	Wind River Dojo	windriverdojo.org	465 Lincoln St, Lander WY 82520	CONFIRMED	Judo AND BJJ confirmed; 501c3; Lander correct
