# Ontario verification consolidated - 89 candidates body-checked
city	name_confirmed	url	address	verdict	note
London	Bindner Academy	bindner.academy	19-1615 North Routledge Park, London, ON	CONFIRMED	address from title tag only, not body text
London	Enhanced BJJ	enhancedbjj.com		EMPTY	js shell; meta confirms bjj school london on
London	Gracie Barra London	graciebarra.com	1712 Hyde Park Rd #104, London, ON N6H 5L7	CONFIRMED	aggregator only; site locator is js-rendered
Waterloo	The Jiu-Jitsu Lab	labjiujitsu.com	420 Weber St N, Waterloo, ON	CONFIRMED	matches input address
Kitchener	Guardhouse BJJ	guardhousebjj.ca	41 Ardelt Place #1b, Kitchener, ON N2C 2C8	CONFIRMED	matches input address
Kitchener	Octa BJJ Kitchener	octabjjkitchener.com	Unit 5-6, 248 Stirling Ave S, Kitchener, ON N2G 4L1	CONFIRMED	Octa BJJ chain location
Kitchener	Return of the Dragon	rotdma.com	900 Guelph St #108, Kitchener, ON N2H 5Z6	CONFIRMED	Multi-discipline gym, has BJJ class
Kitchener	Olympus Martial Arts	olympusmma.com	50 Ottawa St S Unit 201, Kitchener, ON N2G 3S7	CONFIRMED	MMA gym, BJJ program confirmed
Cambridge	Grand River BJJ	grandriverbjj.ca	26-1 Main Street, Cambridge, ON	CONFIRMED	Site shows 2 addrs; also lists 55 Dickson St
Cambridge	Octa BJJ Cambridge	cambridge.octabjj.com	90 Pinebush Rd, Cambridge, ON N1R 7P5	CONFIRMED	Octa BJJ chain location
Cambridge	Resolve BJJ Academy	resolvebjjacademy.com	13 Matos Segedin Dr, Leamington, Cambridge NZ 3495	WRONG-PLACE	Cambridge New Zealand, not Ontario; fb resolvebjjnz
Cambridge	MAS Academy of Martial Arts	masthaiboxing.com	695 Bishop Street North, Cambridge, ON N3H 2K8	CONFIRMED	No URL given; found via search; Muay Thai school w BJJ
Guelph	Royal City BJJ	royalcitybjj.com	20 Cowan Place Unit 3, Guelph, ON N1G 0C1	CONFIRMED	
Guelph	Omerta BJJ	omertabjj.com	101-121 Wyndham St N, Guelph, ON N1H 4E9	CONFIRMED	NoGi BJJ academy
Sarnia	The Butcher Shop	butchershopjiujitsu.ca	Unit 7, 110 East Street S, Sarnia, ON N7T 3R1	CONFIRMED	BJJ and kickboxing academy
Sarnia	Forge Training Centre	forgetrainingcentre.com	1880 London Line, Sarnia, ON N7W 1B3	CONFIRMED	BJJ black belt Rowan Cunningham teaches
Sarnia	META Training Centre	metatrainingcentre.com		EMPTY	Blank body on root and www; retried once
Windsor	Caique Jiu-Jitsu Academy Windsor Essex	cjjwe.com	11700 County Rd 42, Tecumseh, ON N8N 2M1	CONFIRMED	Actual city Tecumseh, not Windsor proper
Windsor	APEX MMA	apexmma.ca	1529 Highland Ave, Windsor, ON	CONFIRMED	Carlson Gracie Jiu Jitsu program
Windsor	META BJJ Windsor	metabjj.ca	956 McDougall St, Windsor, ON N9A 3X3	CONFIRMED	
Windsor	Maximum Training Centre	mtcwindsor.ca	1929 Provincial Rd, Windsor, ON N8W 5V7	CONFIRMED	MMA gym, BJJ classes offered
Ajax	Karma Jiu Jitsu	karmajiujitsu.com	487 Westney Rd Unit 4, Ajax, ON L1S 4E5	CONFIRMED	
Ajax	Mamute Martial Arts	mamutemaa.com	907 Simcoe St N, Oshawa, ON L1G 4W1	CONFIRMED	Actually in Oshawa, not Ajax; addr differs from input
Ajax	Elemental Jiu Jitsu	elementaljiujitsu.com	845 Westney Road South Unit 4, Ajax, ON L1S 3M4	CONFIRMED	
Ajax	Moyo Jiu-Jitsu Academy	moyojiujitsu.com	55 Mills Rd Unit 6, Ajax, ON L1S 2H2	CONFIRMED	
Whitby	DNA Brazilian Jiu Jitsu	dnabjj.com	2001 Thickson Road South Unit 15, Whitby, ON	CONFIRMED	
Bowmanville	Kalsamrit Martial Arts	kalsamrit.com		EMPTY	Blank body on root and www; retried once
Barrie	Submission Arts Academy	submissionartsacademy.com	112 Commerce Park Dr, Barrie, ON L4N 8W8	CONFIRMED	
Barrie	Legacy Fight Club	legacyfightclub.com	351 King St. Unit 7, Barrie, ON L4N 6B5	CONFIRMED	Muay Thai/BJJ/MMA/wrestling gym
Barrie	Champs Academy (Champs Brazilian Jiu-Jitsu)	champsacademy.ca	131 Commerce Park Dr, Barrie, ON	CONFIRMED	TKD+BJJ academy, BJJ location addr
North Bay	Grounded Studios	grounded.ca	945 Stockdale Road, North Bay, ON P1B 9S5	CONFIRMED	Yoga + BJJ + Muay Thai studio
North Bay	The Garden Brazilian Jiu Jitsu	thegardenbjj.ca	397 Wyld Street, North Bay, ON P1B 1Z3	CONFIRMED	BJJ-only school, matches input addr
Orillia	Resolve Martial Arts Academy Orillia	resolvemartialartsorillia.com	300 Peter St N, Orillia, ON L3V 5H2	CONFIRMED	BJJ-only, kids/teen/adult/women
Orillia	Big Country - Orillia	bigcountryorillia.gymdesk.com	27 West St S, Orillia, ON L3V 5B8	CONFIRMED	BJJ/Muay Thai/Judo/MMA gym
Sault Ste. Marie	Steel City MMA	steelcitymma.com	258 Queen St E, Sault Ste. Marie, ON P6A 1Y7	CONFIRMED	MMA gym w/ Jiu Jitsu program
Sault Ste. Marie	Gracie Jiu-Jitsu Sault Ste. Marie	graciejiujitsusaultstemarie.com	274 Lake St, Sault Ste. Marie, ON P6A 4B4	CONFIRMED	No orig URL; found via search, CTC page
Thunder Bay	Leading Edge MMA	leadingedgemma.ca	340A Waterloo St N, Thunder Bay, ON	CONFIRMED	BJJ/No-Gi/boxing/MMA since 2001
Thunder Bay	Thunder Valley Martial Arts	thundervalleymartialarts.com	910 Memorial Avenue unit C, Thunder Bay, ON	CONFIRMED	No orig URL; body addr differs from input
Kingston	Hayabusa Academy	hayabusa-academy.com		EMPTY	DNS resolves but root+contact both blank JS shell
Kingston	Kingston Jiu Jitsu	kingstonjiujitsu.com		WRONG-PLACE	Body says Kingston upon Thames, England
Peterborough	Eris Martial Arts Academy	erismartialarts.com	306 George St N, Peterborough, ON K9J 8B7	CONFIRMED	BJJ academy est. 2006, matches input addr
Peterborough	Kawartha Combat	kawarthacombat.com	910 High St Unit 15, Peterborough, ON	CONFIRMED	BJJ/Muay Thai/kickboxing est. 2012
Peterborough	Peterborough Judo & MMA	peterboroughjudo.com		WRONG-PLACE	Address is PE3 8AF, Peterborough England
Pickering	AACE Martial Arts Academy	aacemartialartsacademy.com	633 Kingston Road, Pickering, ON L1V 3N7	CONFIRMED	BJJ-only school, matches input addr
Pickering	Action & Reaction MMA	actionreactionmma.com	821 Brock Rd Unit 9, Pickering, ON L1W 3L6	CONFIRMED	Multi-location GTA gym, Pickering addr used
Belleville	Alcateia Brazilian Jiu Jitsu	alcateiabjj.com	40 Hanna Court, Belleville, ON K8P 5J2	CONFIRMED	No orig URL; found via search, matches input
Whitby	Four-Eleven Brazilian Jiu Jitsu	fourelevenbjj.ca	277 Michael Blvd Unit 6, Whitby, ON L1N 5B2	CONFIRMED	BJJ-only school, all ages
Barrie	Barrie Brazilian Jiu Jitsu (Barrie BJJ)	705bjj.com	571 Bayfield St (North Entrance 2nd Fl), Barrie, ON L4M 4Z9	CONFIRMED	705bjj.com is correct site, not barriebjj.com
