verdict	region	name	city	url	action	evidence	source_url
UNVERIFIED	AK	Tonbo Dojo - Alaska Samurai Arts	Big Lake	https://www.facebook.com/AlaskaSamuraiArts	NONE	Facebook page could not be rendered by fetch tool on two separate passes (research and this one). alaskasamuraiarts.com is confirmed by me to be an expired/parked domain (Namecheap "recently registered" auction-parking page, no school content). No primary source located by either pass. Third-party summaries (Yelp/Facebook snippets, unread) describe Samurai Jujutsu/Kenjutsu/Iaijutsu, a plausible but unconfirmed NOT-BJJ signal. Left live pending a primary-source read.	https://www.alaskasamuraiarts.com/
REAL	AK	The Sword BJJ	Eagle River	https://www.theswordbjj.com/	KEEP	Body confirms Brazilian Jiu-Jitsu programs (Fundamentals, Kids BJJ, No-Gi Tue/Thu, Women's class Sunday); banner: "We have moved to 10950 Mausel St B3 Eagle River, AK 99577"	https://www.theswordbjj.com/
REAL	AK	Frostbite Vale-tudo	Fairbanks	http://frostbitevaletudo.com/	KEEP	Body: "Alaska's original MMA gym"; Classes list Brazilian Jiu-Jitsu and NO-GI Brazilian Jiu-Jitsu with head instructor Jeff Nielsen named; footer "845 college road"	http://frostbitevaletudo.com/
REAL	AK	Revolution BJJ	Fairbanks	https://revolutionalaska.com/	KEEP	Body confirms Fundamentals BJJ, Adult BJJ, Kids BJJ, Judo, Boxing classes with full weekly schedule; footer address 1255 Airport Way, Fairbanks AK 99701	https://revolutionalaska.com/
GONE	AK	The International Karate Association & College of the Martial Arts	Fairbanks	https://www.ikaalaska.com/	SUPPRESS	Domain resolves and returns a full page, but the page body is entirely unrelated Indonesian-language content ("LUXURY777 Shudokan Aikido... Warisan Bela Diri Legendaris") with zero Alaska or original-school content - a domain-squat/resale case, confirmed by direct read	https://www.ikaalaska.com/
REAL	AK	Tribe Jiujitsu Academy	Fairbanks	https://www.tribebjj.net/	KEEP	Body confirms Adult Jiu-Jitsu (BJJ) and Kids Jiu-Jitsu plus Boxing & Kickboxing; footer address 32 College Rd, Fairbanks AK 99701 (inside Bentley Mall)	https://www.tribebjj.net/
REAL	AK	Evolution Jiu Jitsu	Juneau	https://evojj.com/about-us-2/	KEEP	Could not re-render body myself this pass (persistent tooling block on both root and subpage); domain confirmed live via DNS (Status 0). Research's earlier pass read evojj.com/about-us-2 directly and cited instructor "BJJ Black belt under Jordan Kontra." Address remains UNVERIFIED (third-party sourced only, never read on own page by either pass)	https://evojj.com/about-us-2/
REAL	AK	Ketchikan Jiu-Jitsu	Ketchikan	https://ketchikanbjj.com/	KEEP	Body: "Brazilian Jiu-Jitsu for Self Defense and sport," full class schedule, hosted at Ketchikan Gateway Borough Parks & Rec Activities Center; address 601 Schoenbar Road, Ketchikan AK read in footer	https://ketchikanbjj.com/
REAL	AK	Team Caique Jiu-Jitsu Alaska	Palmer	https://cjjusaalaska.com/	KEEP	Domain confirmed live (DNS Status 0) but own page returns only meta tags (title "Team Caique Jiu-Jitsu Alaska") on every fetch attempt across both research and verification passes - JS-rendered site the fetch tool cannot read. Existence corroborated by 3 independent third-party listings (matmade, bjjmetrics, Yelp) with consistent name/location. Address and lineage remain UNVERIFIED - never read on own page by anyone this project	https://cjjusaalaska.com/
REAL	AK	AK-49 Martial Arts	Soldotna	https://www.ak49martialarts.com/	KEEP	Body confirms Kickboxing, Muay Thai, Brazilian Jiu Jitsu, No Gi Jiu Jitsu (adult and kids programs); footer address 44332 Sterling Hwy, Soldotna AK 99669	https://www.ak49martialarts.com/
NOT-BJJ	AK	Alaska Center For The Martial Arts	Wasilla	https://akmartialarts.com/	SUPPRESS	Full homepage and program menu confirmed: only Kid's/Teen's/Adult Martial Arts and Muay Thai; testimonials name "Seibukan Jujitsu," "Tang Soo Do" and "Krav Maga fitness challenge" classes; no Brazilian Jiu-Jitsu or BJJ term anywhere. Checked specifically for a hidden BJJ program per the "umbrella name" warning - none found. Footer address 230 E Paulson Ave Suite 63, Wasilla AK 99654	https://akmartialarts.com/
UNVERIFIED	AK	Shoshindo of Alaska	Wasilla	https://www.facebook.com/ShoshindoOfAK	NONE	Facebook page could not be rendered by fetch tool on two separate passes. No primary source located by either pass. The "Shoshin" name root resembles Shoshin Ryu (confirmed elsewhere in this file as Japanese Jujutsu, NOT-BJJ) but this is circumstantial only, not confirmed for this specific business. Left live pending a primary-source read	https://www.facebook.com/ShoshindoOfAK/
ADD	AK	Alaska Krav Maga & Fitness (BJJ program)	Fairbanks	https://akkravmaga.com/programs/brazilian-jiu-jitsu/	ADD	Own site nav includes a dedicated "Brazilian Jiu Jitsu" program page under Programs; homepage program card: "Two guys grappling on Brazilian Jiu Jitsu training Brazilian Jiu Jitsu - Ideal for: Anyone 13 and up - Focus: Self protection focused"; address 3501 Lathrop Street Suite D, Fairbanks AK 99701 read in footer	https://akkravmaga.com/
ADD	AK	Gracie Jiu-Jitsu North Pole	North Pole	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=yxZXrgNU%2BwRZsUTND1HmMw%3D%3D	ADD	Confirmed on Gracie University's own official Certified Training Center affiliate page (an authoritative first-party source operated by the Gracie organization, not a generic aggregator) - full weekly class schedule (Gracie Combatives Tue/Thu, Reflex Development M/W/F, Little Champs, Jr. Grapplers, Gracie Teens), CTC Status "Level 1 (New)," address 3340 Badger Road Suite 190, North Pole AK 99705, phone 9073220235. No dedicated school-owned website located, but this source clears the "real, currently operating" bar	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=yxZXrgNU%2BwRZsUTND1HmMw%3D%3D
