verdict	region	name	city	url	action	evidence	source_url
WRONG-REGION	ON	Kaze Brazilian Jiu Jitsu	Scarborough	kazebjj.com	NONE	Cross-region debt only, recorded for completeness. Confirmed via own page (kazebjj.com/location.html) this is a genuine, real business at 1950 Ellesmere Rd Unit 8, Scarborough, ON M1H 2V8, Canada. Ontario is already curated and NOT in scope for batch 7; no action taken in this TN file.	https://kazebjj.com/location.html
ADD	TN	Chattanooga Jiu-Jitsu Academy	Chattanooga	chattanoogajiujitsu.com	ADD	Re-confirmed myself on own page: "Established in 2002...exclusively dedicated to the teaching of Gracie Jiu Jitsu...founder the late Grand Master Helio Gracie." Address: 3901 Hixson Pike, Chattanooga, TN 37415. Adult, Kids/Youth and Women's Self-Defense Jiu-Jitsu classes explicitly listed.	https://chattanoogajiujitsu.com/
ADD	TN	Progressive Martial Arts Academy	Oak Ridge	pmaoakridge.com	ADD	Confirmed myself on own page (pmaoakridge.com): flagship location, address 1375 Oak Ridge Turnpike, Oak Ridge, TN 37830. Page quotes "Felipe Costa, Brazilian Jiu Jitsu World Champion" endorsing the school's system. This is the CANONICAL name/location; see the following row for the same business's second location, which must use a disambiguated name to avoid a corpus-wide duplicate-name collision.	https://www.pmaoakridge.com/
ADD	TN	Progressive Martial Arts Academy - Knoxville	Knoxville	pmaoakridge.com	ADD	Same business as the Oak Ridge row above, confirmed on the shared own page (pmaoakridge.com), which lists both locations under the literally identical name "Progressive Martial Arts Academy." Knoxville address per own page: 215 Center Park Drive Suite 550, Knoxville, TN 37922. Because the directory's storage format matches records by NAME ALONE corpus-wide, filing this second location under the exact same name as the Oak Ridge record would be a hard collision (both records rendered wrong). I have disambiguated it as "Progressive Martial Arts Academy - Knoxville," consistent with how the business's own Facebook presence is named per a search snippet (facebook.com/knoxvillepma, titled "Progressive Martial Arts Academy - Knoxville") -- note I could not read that Facebook page's body myself (fetch blocked), so the disambiguation suffix is a recommended fix, not an own-page-verified trade name. This resolves the duplicate-name defect explicitly flagged in the task rather than deferring it.	https://www.pmaoakridge.com/
ADD	TN	Seymour Brazilian Jiu-Jitsu Academy	Seymour	seymourbjj.com	ADD	Re-confirmed myself on own page: Seymour, TN, Est. 2017, Jon Dysert 2nd degree black belt, Adult BJJ / Kids BJJ / Homeschool BJJ programs. Address: 10341 Chapman Hwy #2, Seymour, TN 37865.	https://www.seymourbjj.com/
ADD	TN	Tennessee BJJ Academy Murfreesboro	Murfreesboro	bestboromma.com	ADD	Re-confirmed myself on own page (Asura Combat Sports, dba Tennessee BJJ Academy Murfreesboro): explicit Adult Jiu Jitsu, Kids' Jiu Jitsu, Muay Thai and Boxing. Address: 1400B W College St, Murfreesboro, TN 37129.	https://www.bestboromma.com/
ADD	TN	Triangle Academy of Jiu-Jitsu	Franklin	trianglefranklin.com	ADD	Re-confirmed myself on own page: dedicated Adult and Kids Brazilian Jiu-Jitsu programs, PSF/Pedigo Submission Fighting team, coach Clay Mayfield. Address: 251 2nd Avenue South, Franklin, TN 37064.	https://trianglefranklin.com/
ADD	TN	Greeneville Jiu-Jitsu	Greeneville	greenevillejiujitsu.com	ADD	Re-confirmed myself on own page: Gi and No-Gi Brazilian Jiu Jitsu, Adult, Women's and Kids' classes explicitly listed. Address: 201 West Summer Street, Greeneville, TN 37743.	https://greenevillejiujitsu.com/
ADD	TN	Athens Jiu Jitsu	Athens	athensjiu-jitsu.com	ADD	Own page read myself: "Brazilian Jiu Jitsu in Athens, TN," 9 black belt instructors, links to facebook.com/AthensBrazilianJiuJitsu (same Facebook page name as the dead stub, confirming this is the successor/rebrand of the old record). Address: 201d Lawn Drive, Athens, Tennessee 37303.	https://www.athensjiu-jitsu.com/
ADD	TN	Kingsport JiuJitsu	Kingsport	kingsportjiujitsu.com	ADD	Own page read myself: BJJ and MMA program housed at parent gym Duncan MMA, BJJ Affiliation Head Steve Bongiorno (a Ricardo Almeida BJJ Black Belt), described as a "veteran owned BJJ school." Address: 1133 N Eastman Rd, Kingsport, TN 37664.	https://www.kingsportjiujitsu.com/
ADD	TN	Shelbyville BJJ	Shelbyville	bjjshelbyville.com	ADD	Own page read myself: "Learn the Art of Jujitsu at Shelbyville BJJ." Phone (931) 205-6124. No street address appears in the page body itself; a search snippet suggests 875 Union Street but that was NOT read by me on the page, so the address is flagged as unverified.	https://bjjshelbyville.com/
ADD	TN	Dogwood MMA	Dyersburg	dogwoodmma.com	ADD	Own page read myself: "Brazilian Jiu-Jitsu (Gi and No Gi), kickboxing, MMA, and youth programs." Two locations listed on the same page under the identical business name -- Dyersburg (825 E. Court St, TN 38024) and Union City (308 S. 1st St, TN 38261). Only the Dyersburg location is added here to avoid a duplicate-name collision; see the Union City row below (DROP) for why.	https://www.dogwoodmma.com/
ADD	TN	Station 6 Fitness and Martial Arts	Tullahoma	station6fitness.com	ADD	Own page (/jiu-jitsu subpage) read myself: "Brazillian Jiu Jitsu is our specialty at Station 6," taught by black belt Professor Jon Haskew. Street address was NOT visible on the pages I fetched (homepage and /jiu-jitsu) -- flagged as address-unverified pending a follow-up pass.	https://www.station6fitness.com/jiu-jitsu/
ADD	TN	Victory Brazilian Jiu-Jitsu	Morristown	teamvictorybjj.com	ADD	Own page read myself: "Victory Brazilian Jiu-jitsu." Address: 5740 W Andrew Johnson Hwy, Morristown, TN 37814.	https://www.teamvictorybjj.com/
ADD	TN	McMinnville Jiu-Jitsu Academy	McMinnville	mcminnvillejiujitsu.com	ADD	Own page read myself: "Adult Gracie Jiu-Jitsu" and a Kids Jiu-Jitsu (5-12yrs) program. Address: 112-116 North Spring Street, McMinnville, TN 37110.	https://mcminnvillejiujitsu.com/
ADD	TN	Renzo Gracie of Stewart County	Dover	renzogracieofstewartcounty.com	ADD	Own page and live schedule read myself: explicit "Brazilian Jiu Jitsu" and "Brazilian Jiu Jitsu Kids" program descriptions, weekly Kids BJJ / Adults BJJ / No-Gi BJJ sessions on the posted schedule. Address confirmed on page: 959 US-79, Dover, TN 37058 -- explicitly "Proudly serving Stewart County, TN," correctly distinguishing this from Dover, DELAWARE per the batch-7 addendum's named trap.	https://renzogracieofstewartcounty.com/
ADD	TN	Border Martial Arts Academy	Collierville	colliervillemartialarts.com	ADD	Own page read myself: dedicated "Collierville Brazilian Jiu-Jitsu Classes" page, distinct from its separate Kickboxing/Judo/MMA class pages. Address: 4644 Merchants Park Circle, Collierville, TN 38017.	https://colliervillemartialarts.com/classes/Brazilian-Jiu-Jitsu
ADD	TN	Vigilance Martial Arts	Dickson	vigilancemartialarts.com	ADD	Own page read myself: the Dickson location page is explicitly headed "Brazilian Jiu-Jitsu" (ages 7+, kids and adults), distinct from the Fairview location which is billed as combined "Taekwondo and Brazilian Jiu-Jitsu." Address: 100 S Mulberry St. Suite 120, Dickson, TN 37055. Only the Dickson location is added here; see the Fairview row below (DROP) for why.	https://www.vigilancemartialarts.com/
ADD	TN	Olson's Martial Arts Academy	Johnson City	olsonsma.com	ADD	Own page and its /jiu-jitsu subpage read myself: primarily a karate/kids school, but explicitly states "Our Brazilian Jiu-Jitsu program is a great way to improve your fitness and conditioning," with Jiu-Jitsu selectable as its own program at booking. Address: 316 Marketplace Blvd. Suite #15, Johnson City, TN 37604. Owner is Grand Master Amanda Olson (not "Keith Olson" as a WebSearch synthesis incorrectly claimed elsewhere -- see Tri-Cities BJJ row above).	https://olsonsma.com/jiu-jitsu/
ADD	TN	Global Martial Arts USA	Gallatin	globalmartialartsusa.com	ADD	Own page read myself (/classes/brazilian-jiu-jitsu): full adult/kids BJJ curriculum with a belt-rank progression, Gi and No-Gi, taught by Black Belt K.O. Spillmann -- primarily a multi-discipline TaeKwonDo/HapKiDo school, but with a genuine, detailed, non-kids-only BJJ program rather than a token offering. Address: 509 Garnet Ct, Suite 100, Gallatin, TN 37066.	https://globalmartialartsusa.com/classes/brazilian-jiu-jitsu/
ADD	TN	Fit Factory Fitness and Jiu Jitsu	Sevierville	fitfactoryonline.com	ADD	Own page read myself: weekly schedule lists "Gi Jiu Jitsu," "NOGi Jiu Jitsu," "Beginner/Advanced Kids BJJ." Owner Gene Click, BJJ black belt (2014) under Helio Soneca Moreira; page states he "introduced Brazilian Jiu-Jitsu to Sevierville, Tennessee" in 1999. Address: 3814 Boyds Creek Highway, Sevierville, TN 37876.	https://fitfactoryonline.com/
ADD	TN	Brazilian Jiu-Jitsu Centers of Memphis	Memphis	bjjmemphis.com	ADD	Own page read myself: owner Robby Beard, explicit "Adult BJJ" and "Junior Jiu-Jitsu" programs. Multiple locations listed on the same page (2819 Bartlett Boulevard, Memphis, TN 38134; plus Arlington, Collierville, Cordova, Germantown). Filed under Memphis, the literal city string on the primary listed address. Lower priority than the small-town finds above per the task's explicit breadth-over-Memphis-depth guidance.	https://bjjmemphis.com/
UNVERIFIED	TN	Paris Gracie Jiu Jitsu Academy	Paris	parisgraciejiujitsuacademy.com	NONE	Strong circumstantial evidence (Yelp, WellnessLiving listing, matmade, own domain appearing in search index) points to a real Gracie-lineage BJJ school at 312 Tyson Ave, Paris, TN 38242, a Team Borras affiliate -- but I could not get a readable response from parisgraciejiujitsuacademy.com or its /contact page on two separate attempts (empty response, likely JS-rendered). Per method rules this is left UNVERIFIED rather than added, despite being a very likely-real school; strong candidate for a follow-up pass with a different fetch approach.	https://parisgraciejiujitsuacademy.com/
DROP	TN	Dogwood MMA	Union City	dogwoodmma.com	NONE	Second location of the Dyersburg "Dogwood MMA" record added above, same owners (Coach John and Riss), same page. Not added as a separate row because the storage format matches by name alone corpus-wide and a second identically-named record would collide exactly as the two Progressive Martial Arts Academy proposals did. If Union City coverage is wanted, it must be filed under a disambiguated name (e.g. "Dogwood MMA - Union City"), which has not been verified as the business's own chosen trade name -- deferring that specific naming decision rather than guessing at it.	https://www.dogwoodmma.com/
DROP	TN	Vigilance Martial Arts	Fairview	vigilancemartialarts.com	NONE	Second location of the Dickson "Vigilance Martial Arts" record added above, same owner (Wesley Reynolds), same page. Not added separately for the same duplicate-name reason as Dogwood MMA/Union City above. Also weaker on the discipline test than Dickson: Fairview is billed as combined "Taekwondo and Brazilian Jiu-Jitsu" rather than Dickson's dedicated BJJ-only page.	https://www.vigilancemartialarts.com/
