verdict	id	region	name	url	note	source
EMPTY	452	FL	Atos Orlando - Brazilian Jiu-Jitsu (BJJ) and Self-Defense School	http://www.atosorlando.com/		verdict-4.tsv
UNSURE	471	FL	Gabriel Leite Brazilian Jiu-Jitsu	http://www.facebook.com/GLBJJ		verdict-4.tsv
EMPTY	481	FL	Relson Gracie Jiu-Jitsu Academy St. Augustine	http://www.mma4florida.com/		verdict-5.tsv
EMPTY	501	FL	Carlson Gracie Winter Haven	http://www.cgwinterhaven.com/		verdict-5.tsv
EMPTY	518	GA	Raven Brazilian Jiu-Jitsu	http://ravenjiujitsu.com/contact/		verdict-5.tsv
EMPTY	529	GA	Team Kalista Martial Arts	http://teamkalistamartialarts.wodify.com/		verdict-5.tsv
EMPTY	538	GA	Fusion MMA	http://fusionfitnessandmma.com/		verdict-5.tsv
EMPTY	539	GA	Independent MMA & Fitness	http://www.independentmmafitness.com/		verdict-5.tsv
UNSURE	544	GA	Academy of Athletics (AOA)	http://www.facebook.com/ChallengeBringsChange/		verdict-5.tsv
EMPTY	554	GA	Champions Training Center	http://www.ctcsavannah.com		verdict-5.tsv
EMPTY	555	GA	Tonchu Martial Arts Academy	http://www.tonchumartialarts.com/		verdict-5.tsv
EMPTY	558	GA	Thrive Jiu Jitsu & Fitness	http://www.thrivejj.com/		verdict-5.tsv
EMPTY	559	GA	American Top Team Valdosta	http://att229.com/		verdict-5.tsv
EMPTY	561	GA	KODA Academy of Martial Arts	http://www.sakurabjj.com/		verdict-5.tsv
EMPTY	604	IL	Mequinho Jiu Jitsu	http://www.downersgrovejiujitsu.com		verdict-6.tsv
EMPTY	608	IL	Arebalo Jiu Jitsu	http://arebalojiujitsu.com/		verdict-6.tsv
EMPTY	622	IL	Evolution Mixed Martial Arts Chicago - Schaumburg	http://www.evolutionmmachicago.com/		verdict-6.tsv
EMPTY	624	IL	Team Top Notch	http://www.topnotchmma.com		verdict-6.tsv
EMPTY	625	IL	Dave Strasser's Freestyle Academy of MMA	http://www.davestrasser.com/		verdict-6.tsv
EMPTY	641	LA	DiBenedetto's Karate Jiu-Jitsu	http://www.dkjla.com/		verdict-6.tsv
EMPTY	647	LA	Legacy Fitness Factory	http://legacyfitnessfactory.com/		verdict-6.tsv
EMPTY	650	LA	GB Moss Bluff	http://www.gbmossbluff.com/		verdict-6.tsv
EMPTY	658	LA	Indigo Brazilian Jiu Jitsu Sulphur	http://indigobjj.com/		verdict-6.tsv
EMPTY	663	LA	Zachary Martial Arts	http://www.zacharymartialarts.com/		verdict-6.tsv
EMPTY	665	MI	Close Quarters Combat Academy	http://www.cqcacademy.com/contact		verdict-6.tsv
EMPTY	673	MI	The Beast Academy	http://www.the-beast.com/		verdict-6.tsv
EMPTY	677	MI	East Lansing Underground Martial Arts	http://www.elunderground.com/		verdict-6.tsv
EMPTY	685	MI	Myrmidon Training Systems	http://www.myrmidontrained.com/		verdict-6.tsv
EMPTY	688	MI	Michigan Muay Thai Academy	http://www.mimuaythaiacademy.com/		verdict-6.tsv
EMPTY	690	MI	Gracie Barra Livonia	http://graciebarralivonia.com/		verdict-6.tsv
EMPTY	694	MI	Petoskey MMA	http://petoskey-mma.business.site/		verdict-6.tsv
EMPTY	697	MI	Mash Gym	http://www.mashgym.com		verdict-6.tsv
EMPTY	700	MI	Hayastan Grappling	http://facebook.com/hayastanroscommon		verdict-6.tsv
EMPTY	723	MO	Cape Martial Arts	http://www.capemartialarts.com/		verdict-7.tsv
EMPTY	724	MO	Carrillo's Martial Arts	http://www.carrillosmartialarts.com/		verdict-7.tsv
EMPTY	727	MO	ES MMA and Fitness	http://esmmaandfitness.com/		verdict-7.tsv
EMPTY	741	MO	Legends MMA	http://www.legendsmmaofparkhills.com/		verdict-7.tsv
EMPTY	746	MO	Agoge Training Body and Mind	http://www.facebook.com/agogetrainer		verdict-7.tsv
EMPTY	754	MO	Scr Fight Club	http://www.stlmuaythai.com/		verdict-7.tsv
EMPTY	758	MO	Family Martial Arts Fitness Academy	http://clickheretobook.online/nfc		verdict-7.tsv
EMPTY	768	MT	Bear Hug Jiu-Jitsu	http://www.bearhugmt.com		verdict-7.tsv
EMPTY	780	NC	G13 Brazilian Jiu Jitsu HQ US	http://g13bjj.us/hq/		verdict-7.tsv
EMPTY	812	NC	Evolution Fight Academy	http://www.evolutionfightacademy.com/		verdict-7.tsv
EMPTY	819	NC	Team Raines Brazilian Jiu-Jitsu	http://www.facebook.com/teamrainesbjj		verdict-7.tsv
EMPTY	820	NC	BodyShot Combat & Fitness	http://www.bodyshotcc.com/		verdict-7.tsv
EMPTY	828	NC	Fight Flow Academy	http://fightflowmma.com/		verdict-7.tsv
EMPTY	838	NC	Basulto Academy Of Defense	http://www.wncbjj.com/		verdict-7.tsv
EMPTY	852	NJ	FastKick Martial Arts	http://www.ifastkick.com		verdict-dirty-1.tsv
EMPTY	855	NJ	Girl Fight	http://gfight.com/		verdict-dirty-1.tsv
EMPTY	860	NJ	Unity Jiu Jitsu New Jersey	http://unitybjjnj.com		verdict-dirty-1.tsv
EMPTY	867	NJ	Radji Barrett Jiu Jitsu	http://radjibarrettjiujitsu.com/		verdict-dirty-1.tsv
EMPTY	868	NJ	Hybrid Academy of Mixed Martial Arts	http://www.hybridacademymma.com/		verdict-dirty-1.tsv
EMPTY	871	NJ	Evolutionary Martial Arts	http://www.evolutionarymartialarts.com/		verdict-dirty-1.tsv
EMPTY	887	NJ	Pinelands Brazilian Jiu-Jitsu	http://pinelandsbjj.com/		verdict-dirty-1.tsv
EMPTY	897	NJ	Bill Scott BJJ Shore Academy	http://billscottbjj.com/		verdict-dirty-1.tsv
EMPTY	913	NJ	Loyalty BJJ	http://loyaltybjjnj.com/		verdict-dirty-1.tsv
EMPTY	924	NJ	Brazen Martial Arts	http://www.brazenmartialarts.com/bmablog/		verdict-dirty-1.tsv
EMPTY	926	NV	Rebel Jiujitsu	http://rebeljiujitsu.com		verdict-dirty-1.tsv
EMPTY	929	NV	Komainu/Yemaso Brazilian Jiujitsu/MMA Academy	http://jreamacademy.com		verdict-dirty-1.tsv
EMPTY	938	NV	UFC Gym Green Valley	http://ufcgym.com/greenvalley		verdict-dirty-1.tsv
EMPTY	939	NV	10th Planet Downtown	http://10thplanetdtlv.com		verdict-dirty-1.tsv
EMPTY	940	NV	Asylum Fight Team	http://www.asylumfightteam.com		verdict-dirty-1.tsv
EMPTY	942	NV	Atos Jiu Jitsu Las Vegas	http://www.atosjiujitsulv.com		verdict-dirty-1.tsv
EMPTY	944	NV	Carlson Gracie Training Center - Cavalcanti Jiu Jitsu	http://www.rcjiujitsu.com		verdict-dirty-1.tsv
EMPTY	948	NV	Drysdale Fight For Us Jiu Jitsu	http://www.drysdalefightforus.com		verdict-dirty-1.tsv
EMPTY	953	NV	Nova Uniao Las Vegas	http://www.ryukotrainingcenter.com		verdict-dirty-1.tsv
EMPTY	954	NV	Ryuko Training Center	http://www.ryukotrainingcenter.com		verdict-dirty-1.tsv
EMPTY	956	NV	SIMGO Academy	http://ckjj.com		verdict-dirty-1.tsv
EMPTY	958	NV	Syndicate Mixed Martial Arts	http://www.syndicatemmavegas.com		verdict-dirty-1.tsv
EMPTY	959	NV	Torres MMA Sport	http://www.torresmmasport.com/Contact-Us.html		verdict-dirty-1.tsv
EMPTY	960	NV	Vegas Combat	http://www.vegascombat.com		verdict-dirty-1.tsv
EMPTY	962	NV	Wayne's Martial Arts School	http://waynelacno5.wixsite.com		verdict-dirty-1.tsv
EMPTY	968	NV	Ares BJJ Reno	http://aresbjjreno.com		verdict-dirty-2.tsv
EMPTY	972	NV	Life Jiu Jitsu Reno	http://lifebjjreno.com		verdict-dirty-2.tsv
EMPTY	979	NY	MCF Warpath Boxing and MMA Academy	http://mcfmma.com		verdict-dirty-2.tsv
EMPTY	982	NY	Bronx Jiu-Jitsu	http://bronxjiujitsu.com		verdict-dirty-2.tsv
EMPTY	992	NY	Next Level Athletic Performance	http://www.nxtleveltraining.com		verdict-dirty-2.tsv
EMPTY	993	NY	Rockland Brazilian Jiu-Jitsu	http://www.rocklandbjj.com		verdict-dirty-2.tsv
EMPTY	994	NY	Evolution Muay Thai	http://evolutionmuaythai.com		verdict-dirty-2.tsv
EMPTY	997	NY	Brazilian Jiu Jitsu of Washington Heights	http://bjjofwashingtonheights.com		verdict-dirty-2.tsv
EMPTY	1004	NY	At Jiu-Jitsu NYC	http://www.atjiujitsunyc.com		verdict-dirty-2.tsv
EMPTY	1013	NY	Dark Arts Muay Thai and Brazilian Jiu Jitsu	http://darkartsroc.com		verdict-dirty-2.tsv
EMPTY	1017	OH	Gotham Gym/ Savage MMA and Fitness LLC	http://gothamgym.gymmasteronline.com/		verdict-dirty-2.tsv
EMPTY	1030	OH	Sabatino MMA and Fitness	http://facebook.com/sabatinomma		verdict-dirty-2.tsv
EMPTY	1031	OH	Brown Institute	http://www.browninstitute.com/		verdict-dirty-2.tsv
EMPTY	1040	OH	Buckeye Mixed Martial Arts & Fitness	http://www.buckeyemma.com/		verdict-dirty-2.tsv
EMPTY	1093	OR	Invictus Defense Academy	http://invictusdefenseacademy.com/		verdict-dirty-3.tsv
EMPTY	1112	OR	Anibal Lobo Jiu Jitsu	http://lobojiujitsu.com/		verdict-dirty-3.tsv
EMPTY	1114	OR	Porrada Jiu Jitsu Academy	http://www.porradajiujitsu.com/		verdict-dirty-3.tsv
EMPTY	1138	OR	Northwest Fighting Arts	http://nwfighting.com/		verdict-dirty-3.tsv
EMPTY	1142	OR	Krav Maga Salem	http://www.kravsalem.com/schedule		verdict-dirty-3.tsv
EMPTY	1148	OR	Valhalla Combat	http://valhallacombat.com/		verdict-dirty-3.tsv
EMPTY	1152	OR	Mendez Boxing Gym	http://www.facebook.com/mendezboxingclub/		verdict-dirty-3.tsv
EMPTY	1176	PA	Rise 8 Training Academy	http://www.facebook.com/Rise8bjj		verdict-dirty-3.tsv
EMPTY	1185	PA	High Ground Jiu-Jitsu	http://highgroundbjj.com/		verdict-dirty-3.tsv
EMPTY	1186	PA	Pennsylvania Combat Sports	http://www.pacombatsports.com/		verdict-dirty-3.tsv
EMPTY	1189	PA	Renzo Gracie Pennsylvania	http://www.renzograciepa.com		verdict-dirty-3.tsv
EMPTY	1220	PA	Alliance Pennsylvania Jiu-Jitsu	http://www.bajji.com/		verdict-dirty-4.tsv
EMPTY	1255	TX	Onnit Gym MMA	http://www.onnitgymmma.com/		verdict-dirty-4.tsv
EMPTY	1275	TX	Risen Jiu-Jitsu and Fitness	http://www.risenbjj.com/		verdict-dirty-4.tsv
EMPTY	1276	TX	Full Contact Fight Academy	http://www.fullcontactfightacademy.com/		verdict-dirty-4.tsv
EMPTY	1286	TX	JJ Machado Austin Jiujitsu	http://www.jjmachadoaustin.com/		verdict-dirty-4.tsv
EMPTY	1295	TX	Campuzano Martial Arts	http://www.campuzanomartialarts.com/		verdict-dirty-4.tsv
EMPTY	1311	TX	Gracie Jiu Jitsu Houston	http://www.graciejiujitsuwesthouston.com		verdict-dirty-4.tsv
UNSURE	1317	TX	Denizen Brazilian Jiu-Jitsu	http://facebook.com/denizenjiujitsu		verdict-dirty-4.tsv
EMPTY	1318	TX	Henderson's Martial Arts	http://www.hendersonsma.com		verdict-dirty-4.tsv
EMPTY	1320	TX	Solis Martial Arts Academy	http://www.solismartialarts.com/		verdict-dirty-4.tsv
EMPTY	1324	TX	Reyes Jiu-Jitsu	http://www.reyesjiujitsu.com/		verdict-dirty-4.tsv
EMPTY	1342	TX	Grappling Zone Pearland	http://www.grapplingzonepearland.com	Empty JS shell, no body content	verdict-dirty-5.tsv
EMPTY	1344	TX	Eclectic Combat Systems	http://ecsmma.com/	Empty JS shell, no body content	verdict-dirty-5.tsv
EMPTY	1357	TX	Angelo Mixed Martial Arts and fitness	http://www.facebook.com/angelomixedmartialarts	Facebook bot wall, no content	verdict-dirty-5.tsv
EMPTY	1360	TX	Marra Senki Brazilian Jiu-Jitsu	http://marrajj.com/	JavaScript shell, body renders empty	verdict-dirty-5.tsv
EMPTY	1375	TX	Renzo Gracie Houston	http://graciebarrasugarland.com	Zero-byte response, GoDaddy IPs, unverifiable	verdict-dirty-5.tsv
EMPTY	1377	TX	Ion Jiu Jitsu	http://www.ionjiujitsuandfitness.com/	Zero-byte response from Bluehost host	verdict-dirty-5.tsv
EMPTY	1415	VA	DCB MMA & Athletic Training	http://www.dcbmma.com/	Zero-byte response, no body returned	verdict-dirty-5.tsv
EMPTY	1417	VA	Cheeseman Martial Arts Brazilian Jiu Jitsu	http://cheesemanmartialarts.net/	Zero-byte response, no body returned	verdict-dirty-5.tsv
EMPTY	1424	VA	Jamerson YMCA Martial Arts: Brazilian Jiu-Jitsu & Kempo Karate	http://lynchburgkempobjj.com/	Zero-byte response, no body returned	verdict-dirty-5.tsv
EMPTY	1432	VA	Gustavo Machado Norfolk	http://www.gustavomachadonorfolk.com	Resolves, zero-byte response, no body	verdict-dirty-5.tsv
EMPTY	1444	VA	David Jacobs BJJ Academy	http://www.therockbjj.com	Resolves, zero-byte response, no body	verdict-dirty-5.tsv
EMPTY	1468	IN	Gracie Jiu-Jitsu Brazil	graciebrazilindiana.com	JavaScript shell, no body content returned	verdict-dirty-6.tsv
EMPTY	1475	IN	Awesome Martial Arts Academy	awesomesportsandcamps.com	JavaScript shell, no body content returned	verdict-dirty-6.tsv
EMPTY	1513	IN	Corral's Martial Arts Portage	teamcorral.com	JavaScript redirect wall, no content	verdict-dirty-6.tsv
EMPTY	1515	IN	Corral's Martial Arts Schererville	teamcorral.com	JavaScript redirect wall, no content	verdict-dirty-6.tsv
EMPTY	1521	IN	Corral’s Martial Arts	teamcorral.com	JavaScript redirect wall, no content	verdict-dirty-6.tsv
EMPTY	1555	MA	Total Performance Sports	totalperformancesports.com	Fetch returns empty body, no content	verdict-dirty-6.tsv
EMPTY	1567	MA	Hudson Combat Academy	hudsoncombat.com	JavaScript shell, no body content returned	verdict-dirty-6.tsv
EMPTY	1591	MA	Luiz Paulo Brazilian Jiu Jitsu 7th Coral Belt	luizpaulojiujitsu.com	JavaScript shell, no body content returned	verdict-dirty-6.tsv
EMPTY	1606	MA	Combate Real School of Jiu Jitsu	combaterealjiujitsu.com	Square Online shell, no body content	verdict-dirty-6.tsv
EMPTY	1610	MA	Mena Fitness Training & Brazilian Jiu Jitsu	menafitnesstraining.com	Fetch returns empty body, no content	verdict-dirty-6.tsv
EMPTY	1655	MD	Bellicose Martial Arts	bellicosemartialarts.zenplanner.com	Zenplanner JavaScript shell, no body content	verdict-dirty-7.tsv
EMPTY	1686	MD	Ferocity Mixed Martial Arts	ferocitymmaclub.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1705	MD	Interactive Fitness Gym & MMA	interactivefitnessgym.com	JavaScript shell, no body content rendered	verdict-dirty-7.tsv
EMPTY	1714	OK	Pejak Martial Arts	pejakmartialarts.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1721	OK	Mana Martial Arts	mmaok.com	Only meta tags returned, body empty	verdict-dirty-7.tsv
EMPTY	1723	OK	Redline Jiu-Jitsu	redlinebjj.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1724	OK	The Forge Brazilian Jiu Jitsu	theforgebjj.com	JavaScript-required redirect wall, no content	verdict-dirty-7.tsv
EMPTY	1739	OK	Quest Grappling Academy	questgrapplingacademy.com	Empty body; resolves to domain-parking IP range	verdict-dirty-7.tsv
EMPTY	1745	OK	New Limits Academy - Mixed Martial Arts in OKC	newlimitsmma.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1746	OK	OKC Combat Sports	okccombatsports.com	Lovable JavaScript shell, no body content	verdict-dirty-7.tsv
EMPTY	1755	OK	Relevant Martial Arts	relevantmartialarts.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1767	OK	Yukon Martial Arts	yukonokmartialarts.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1788	TN	Station 6 Fitness and Martial Arts	station6fitness.com	Resolves but returns empty body	verdict-dirty-7.tsv
EMPTY	1789	WA	Grays Harbor Brazilian Jiu-Jitsu	www.facebook.com/GHBRAZILIANJIUJITSU	Facebook bot wall, no content returned	verdict-dirty-7.tsv
EMPTY	1790	WA	AKA MMA & Fitness	www.arlingtonkickboxingacademy.com	JavaScript shell, only tracking pixel returned	verdict-dirty-7.tsv
EMPTY	1797	WA	Bonney Lake Brazilian Jiu Jitsu Academy (Team Butler)	www.facebook.com/Bonney-Lake-Brazilian-Jiu-Jitsu-Academy-103477605304385	Facebook bot wall, empty body	verdict-dirty-8.tsv
EMPTY	1864	WA	Livewire MMA	www.facebook.com/livewiremc	Facebook bot wall, empty body	verdict-dirty-8.tsv
EMPTY	1867	WA	Sik-Jitsu Mixed Martial Arts	excitefight.com	JavaScript shell, no body content	verdict-dirty-8.tsv
EMPTY	1869	WA	Spokane Valley Brazilian Jiu-Jitsu	www.spokanevalleybjj.com	JavaScript shell, no body content	verdict-dirty-8.tsv
EMPTY	1877	WA	The Base Vancouver	vancouverjiujitsu.com	No body returned, empty response	verdict-dirty-8.tsv
EMPTY	1878	WA	Vancouver Elite Martial Arts	www.vancouverelitemma.com	No body returned, empty response	verdict-dirty-8.tsv
EMPTY	1910	WI	Gracie Barra Madison	graciebarramadison.com	No body returned, empty response	verdict-dirty-8.tsv
EMPTY	1924	WI	Academy Martial Arts	academynl.com	Head only, no body content	verdict-dirty-8.tsv
EMPTY	1945	WI	Neutral Ground West Bend	westbendbjj.com	JavaScript shell, no body content	verdict-dirty-8.tsv
EMPTY	1598	MA	Revere Jiu Jitsu Center	reverejiujitsucent.wixsite.com		verdict-sample-A.tsv
EMPTY	1687	MD	Ground Control Owings Mills	groundcontrolom.com		verdict-sample-A.tsv
EMPTY	1946	WI	Leadership Academy Martial Arts and Fitness	leadershipacademyinc.com		verdict-sample-A.tsv
EMPTY	1938	WI	Gracie Barra Waunakee	graciebarramadison.com		verdict-sample-A.tsv
EMPTY	1851	WA	Burien Brazilian Jiu Jitsu	www.burienbjj.com		verdict-sample-A.tsv
EMPTY	1685	MD	Synergy Martial Arts	synergykarate.com		verdict-sample-A.tsv
EMPTY	1901	WI	New Element BJJ & Kickboxing	m.facebook.com/101109507917658		verdict-sample-A.tsv
EMPTY	1528	IN	Endurance Brazilian Jiu-Jitsu	endurancebjj.com		verdict-sample-A.tsv
EMPTY	1834	WA	Laercio Fernandes BJJ	www.jitzlifeandfitness.com		verdict-sample-A.tsv
EMPTY	1569	MA	Hyannis Mixed Martial Arts of Cape Cod	hyannismixedmartialarts.com		verdict-sample-A.tsv
EMPTY	1885	WI	BigWater BJJ	bigwaterbjj.com		verdict-sample-A.tsv
UNSURE	1597	MA	Mmaxout Fitness And Martial Arts	bostonfight.com		verdict-sample-A.tsv
EMPTY	1918	WI	Henry Matamoros Brazilian Jiu-Jitsu	justjitsu.com		verdict-sample-A.tsv
EMPTY	2047	AL	10th Planet Jiu-Jitsu Gulf Shores	https://www.facebook.com/KuzushiClubBJJGulfShores/		verdict-sample-B.tsv
EMPTY	3738	ON	Toronto Jiu Jitsu Club	https://torontojiujitsuclub.com		verdict-sample-B.tsv
EMPTY	3078	MI	Significant Strikes Boxing, Jiu-Jitsu & MMA	https://significantstrikes.com/appointments		verdict-sample-B.tsv
EMPTY	2224	AZ	Daimyo Brazilian Jiujitsu	https://daimyobjj.com		verdict-sample-B.tsv
EMPTY	4003	TX	Abdias Brazilian Jiu-Jitsu	https://www.bushidostrength.com		verdict-sample-B.tsv
EMPTY	3208	NB	Victory Jiu-Jitsu Edmundston	https://www.facebook.com/VictoryJJEdmundston		verdict-sample-B.tsv
EMPTY	4025	TX	GB Fulshear	https://graciebarra.com/fulshear-tx/		verdict-sample-B.tsv
EMPTY	3234	NC	Pure1 MMA & Muay Thai	https://www.facebook.com/thePure1mma/		verdict-sample-B.tsv
