verdict	name	region	record_city	url	note	src
OK	Aiken Jiu-Jitsu	SC	Aiken	http://www.aikenjiu-jitsu.com	South Aiken Jiu-Jitsu, Aiken SC BJJ	verdict-id-1.part6.tsv
OK	Alavanca	AB	Calgary	https://www.alavanca.ca	209 16 Ave NE Calgary matches	verdict-id-1.part6.tsv
OK	Kearney Combat Sports and Fitness	NE	Kearney	https://kearneycombatsports.com	BJJ wrestling MMA, Kearney NE address listed	verdict-id-10.tsv
OK	Kenny Kim BJJ	GA	Marietta	https://kennykimbjj.com/	Gracie BJJ academy, Whitlock Ave Marietta GA	verdict-id-10.tsv
OK	Kevin Watson Brazilian Jiu-Jitsu	NH	Dover	https://www.kwbjj.com	BJJ school, locations page lists Dover NH	verdict-id-10.tsv
OK	Kiefer's Martial Arts	RI	Westerly	https://kiefersmartialarts.com	Karate plus BJJ program, Westerly RI address	verdict-id-10.tsv
OK	Kilo Delta BJJ and MMA	SC	Myrtle Beach	https://www.kilodeltabjjsc.com	BJJ MMA academy, Myrtle Beach SC address	verdict-id-10.tsv
OK	Kingdom Jiu Jitsu Academy	NM	Carlsbad	https://kingdombjj.com	BJJ grappling academy, Carlsbad NM address listed	verdict-id-10.tsv
OK	Kings Jiu Jitsu	NM	Las Cruces	https://www.kingsjiujitsucruces.com	BJJ school, W Picacho Ave Las Cruces NM	verdict-id-10.tsv
OK	Kingsway Jiu-Jitsu	TX	Austin	https://kingswayjiujitsu.com	Jiu-jitsu academy, North Austin TX address	verdict-id-10.tsv
OK	Kioto BJJ Southwest	AZ	Chandler	https://kiotobjjsouthwest.com/	BJJ academy, Alma School Rd Chandler AZ	verdict-id-10.tsv
WRONG_CITY	Kioto Brazilian Jiu Jitsu	NY	New York	https://www.kiotobjj.com/	Oakdale, Long Island NY	verdict-id-10.tsv
OK	Kioto Brazilian Jiu-Jitsu Chattanooga	TN	Chattanooga	https://www.kiotobjjchattanooga.com	BJJ school, Lee Hwy Chattanooga TN address	verdict-id-10.tsv
OK	Knots Jiu Jitsu	NB	Moncton	https://knotsjj.ca	BJJ academy, Mountain Road Moncton NB address	verdict-id-10.tsv
OK	Knoxville Martial Arts Academy	TN	Knoxville	https://knoxmma.com	MMA BJJ academy, Chapman Highway Knoxville TN	verdict-id-10.tsv
OK	Knuckle Up Martial Arts	FL	Jacksonville	https://martialartsjacksonvillefl.com/	Machado BJJ affiliate, Jacksonville FL 32223 zip	verdict-id-10.tsv
OK	Kobukan Martial Arts Academy	VA	Norfolk	https://kmadojo.org/	BJJ programs, new Norfolk VA address listed	verdict-id-10.tsv
OK	Kombat Brazilian Jiu-Jitsu	NJ	Clark	https://kombatjits.com/	BJJ school, Central Avenue Clark NJ	verdict-id-10.tsv
OK	Kore Brazilian Jiu-Jitsu NWA	AR	Lowell	https://www.facebook.com/koreBJJNWA/	Facebook page renders, Dixieland Road Lowell AR	verdict-id-10.tsv
OK	Kraken Jiu Jitsu BJJ & Self-Defense	MI	Belmont	https://krakenjj.com/	BJJ gym, Belmont Center Dr NE listed	verdict-id-10.tsv
OK	Kron Gracie Academy	MT	Belgrade	https://www.facebook.com/KRONGRACIEACADEMY	Facebook renders, Motherlode Ln Belgrade MT	verdict-id-10.tsv
OK	Krystek School of Judo, BJJ, Self Defense and Fitness	NY	Queens	https://krystekjudo.com	Judo BJJ dojo, Ozone Park Queens NY	verdict-id-10.tsv
OK	Kudos	OK	Edmond	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/	Facebook renders, W Danforth Rd Edmond OK	verdict-id-10.tsv
OK	Kurt Pellegrino MMA	NJ	Wall Township	https://www.pellegrinomma.com/	Manasquan NJ address, four miles from Wall	verdict-id-10.tsv
OK	Kuzushi Fight Club	QC	Saint-Jérôme	https://www.saintjeromebjj.com	BJJ club, rue Melancon Saint-Jerome QC	verdict-id-10.tsv
OK	Kyle Fogel Brazilian Jiu Jitsu	GA	Sugar Hill	https://sugarhillbjj.com/	BJJ academy, Sugar Hill GA named	verdict-id-10.tsv
OK	LCCT Brazilian Jiu Jitsu	IL	Schaumburg	https://www.lcctbjjusa.com/locations	Own locations page lists Schaumburg IL address	verdict-id-10.tsv
OK	Lake Area Gracie Jiu-jitsu	MO	Camdenton	https://www.lakeareabjj.com/	Rebranded Gracie Humaita, same Camdenton MO address	verdict-id-10.tsv
OK	Lake Powell Jiu-Jitsu	AZ	Page	https://www.lpbjjaz.com/	BJJ school, Elm Street Page AZ	verdict-id-10.tsv
OK	Lakewood Martial Arts	CO	Lakewood	https://peakmartialartsdenver.com/	Peak Martial Arts, jiu-jitsu MMA, Lakewood CO	verdict-id-10.tsv
OK	Lapel Arts	BC	Vancouver	https://www.lapelarts.ca	Brazilian jiu jitsu academy in Vancouver BC	verdict-id-10.tsv
OK	Legacy Brazilian Jiu Jitsu Academy	BC	Coquitlam	https://www.legacybjjacademy.com	BJJ academy identified as Coquitlam BC location	verdict-id-10.tsv
OK	Legacy Jiu Jitsu	AK	Anchorage	https://www.legacyjiujitsuak.com/	BJJ academy, Intl Airport Rd Anchorage AK	verdict-id-10.tsv
OK	Legion AJJ	CA	San Diego	https://legionsandiego.com	Jiu-jitsu academy, Miramar Rd San Diego CA	verdict-id-10.tsv
OK	Leonardo Delgado Jiu-Jitsu Academy	MS	Biloxi	https://selfdefensedibervillems.com	BJJ academy, Lemoyne Blvd Biloxi MS	verdict-id-10.tsv
OK	Leverage BJJ NH	NH	Concord	https://www.leveragebjjnh.com	BJJ academy, South Main St Concord NH	verdict-id-10.tsv
OK	Leverage Jiu Jitsu Colorado	CO	Louisville	https://leveragejiujitsuco.com	No-gi jiu jitsu, McCaslin Blvd Louisville CO	verdict-id-10.tsv
OK	Leviathan Academy Brazilian Jiu-Jitsu	TN	Cleveland	https://www.leviathanacademy.com	BJJ academy, Inman Street W Cleveland TN	verdict-id-10.tsv
OK	Lexington Jiu-Jitsu & Fitness	KY	Lexington	https://lexingtonjiujitsuandfitness.com	BJJ academy, National Avenue Lexington KY	verdict-id-10.tsv
OK	Life's Ultimate Martial Arts Academy	KY	Maysville	https://www.lumaacademy.net/	Jujitsu judo programs, MLK Hwy Maysville KY	verdict-id-10.tsv
OK	Limitless BJJ Edmonton	AB	St. Albert	https://limitlessbjjedmonton.com	Grappling gym, Carnegie Dr St. Albert AB	verdict-id-10.tsv
OK	Lincoln Brazilian Jiu-Jitsu Center - College View	NE	Lincoln	https://lincolnbjj.com	BJJ center, Prescott Ave Lincoln NE	verdict-id-10.tsv
OK	Lincoln Brazilian Jiu-Jitsu Center - Havelock	NE	Lincoln	https://lincolnbjjnorth.com	BJJ center, Havelock Ave Lincoln NE	verdict-id-10.tsv
OK	Lincoln Jiu Jitsu Academy	CA	Lincoln	https://lincolnjiujitsuacademy.com/	BJJ wrestling, Gateway Dr Lincoln CA	verdict-id-10.tsv
OK	Lions BJJ Kauai	HI	Lihue	https://kauaibjj.com	BJJ academy identified as Lihue Kauai HI	verdict-id-10.tsv
OK	Lions MMA	BC	Vancouver	https://www.lionsmma.ca	MMA BJJ studio, Granville St Vancouver BC	verdict-id-10.tsv
OK	Living Art Brazilian Jiu Jitsu	IL	Willowbrook	https://livingartbjj.com/	BJJ school, S Quincy St Willowbrook IL	verdict-id-10.tsv
OK	Livingston Jiu-Jitsu	MT	Livingston	https://www.facebook.com/livingstonjiujitsu	Facebook renders, W Park St Livingston MT	verdict-id-10.tsv
OK	LockDown BJJ	NY	Lake Ronkonkoma	https://lockdownbjj.com	BJJ gym, Hawkins Ave Lake Ronkonkoma NY	verdict-id-10.tsv
OK	Logic Jiu Jitsu	CA	Sacramento	https://logicbjj.com	BJJ academy, Freeport Blvd Sacramento CA	verdict-id-10.tsv
OK	Lohaki Jiu Jitsu	CA	Temecula	https://www.lokahijiujitsu.com/	BJJ school, Jefferson Avenue Temecula CA	verdict-id-10.tsv
OK	Lokahi Jiu-Jitsu Collective	NE	Omaha	https://www.lokahiomaha.com	BJJ wrestling judo, Industrial Rd Omaha NE	verdict-id-10.tsv
WRONG_CITY	Long Island MMA	NY	Lake Grove	https://limixedmartialarts.com/	West Babylon and Long Island City NY	verdict-id-10.tsv
OK	LongShot MMA	CA	Burney	https://longshotmma.weebly.com/	Judo jiu jitsu, Main St Burney CA	verdict-id-10.tsv
OK	Lost Boys Jiu-Jitsu & Muay Thai	CA	Arcata	https://www.lostboysbjj.com/#!location/c2q4	Grappling gym, Valley West Blvd Arcata CA	verdict-id-10.tsv
OK	Louisiana Black Belt Academy	LA	Morgan City	https://morgancitymartialarts.com/	Jiu jitsu academy, LA-182 Morgan City LA	verdict-id-10.tsv
OK	Louisiana Judo. Louisiana Muay Thai	LA	Broussard	https://www.louisianajudo.com/	Judo gym, Burgess Dr Broussard LA	verdict-id-10.tsv
OK	Lubbock Jiu Jitsu Academy	TX	Lubbock	https://www.lubbockjiujitsuacademy.com	Brazilian jiu jitsu academy in Lubbock TX	verdict-id-10.tsv
OK	Lucas Lepri Brazilian Jiu-Jitsu Knoxville	TN	Knoxville	https://lepribjjknoxville.com	BJJ academy, Sutherland Avenue Knoxville TN	verdict-id-10.tsv
OK	Lucas Lepri Jiu Jitsu Academy Fort Mill	SC	Fort Mill	https://lepribjj.com	Own site lists Fort Mill SC academy	verdict-id-10.tsv
OK	Ludus Martial Arts LLC	FL	Jacksonville Beach	https://www.ludusmartialarts.com/	MMA gym, Beach Blvd Jacksonville Beach FL	verdict-id-10.tsv
OK	M3 Karate	AZ	Gilbert	https://m3martialarts.com/what-m3-martial-arts-in-gilbert-offers/#jiujitsu	Own programs page, jiu jitsu, Gilbert AZ	verdict-id-10.tsv
OK	MADE Fitness and Training Center	KY	Louisville	https://www.madelouisville.com/	BJJ programs, martial arts in Louisville KY	verdict-id-10.tsv
OK	MAS Academy of Martial Arts	ON	Cambridge	https://masthaiboxing.com	BJJ listed, Bishop Street North Cambridge ON	verdict-id-10.tsv
OK	MKG Martial Arts	MI	Ferndale	https://www.boomboxdet.com/	MKG grappling collective, Hilton Rd Ferndale MI	verdict-id-10.tsv
OK	MKG Martial Arts Minneapolis	MN	Minneapolis	https://www.mnkali.com	BJJ muay thai school, Minneapolis MN named	verdict-id-10.tsv
OK	MONTGOMERY MARTIAL ARTS	AL	Montgomery	https://montgomerymartialartsonline.com/	Martial arts school, Atlanta Hwy Montgomery AL	verdict-id-10.tsv
OK	MPower Gym LLC	OH	Vandalia	https://www.mpowergymllc.com/	BJJ program gym located in Vandalia OH	verdict-id-10.tsv
OK	MXT BJJ	NB	Saint John	https://www.mxtbjj.com	BJJ academy, Somerset Street Saint John NB	verdict-id-10.tsv
OK	Main Quest BJJ	AB	Calgary	https://mainquestbjj.com	BJJ academy, 1A Street SW Calgary AB	verdict-id-10.tsv
OK	Manimal Athletics Training Center	NS	Lucasville	https://www.facebook.com/ManimalTraining	Facebook renders, BJJ, Lucasville Road Lucasville NS	verdict-id-10.tsv
OK	Maracaba BJJ	AZ	Mesa	https://maracabajiujitsu.com/	Brazilian jiu-jitsu academy in Mesa AZ	verdict-id-10.tsv
OK	Marcellini’s Martial Arts Academy	CA	Moreno Valley	http://www.mmaa.us/	Now Riverside CA, adjacent to Moreno Valley	verdict-id-10.tsv
OK	Marcelo Garcia Jiu-Jitsu of Dallas	TX	Dallas	https://www.marcelogarciadallas.com	BJJ academy, E Mockingbird Lane Dallas TX	verdict-id-10.tsv
OK	Marcio Andre Brazilian Jiu-Jitsu Academy	AZ	Phoenix	https://marcioandrejiujitsu.com/	Ahwatukee, a village within Phoenix AZ	verdict-id-10.tsv
OK	Marcio Cruz BJJ	FL	Tampa	https://marciocruzbjj.com/	BJJ academy, Center Oak Dr Tampa FL	verdict-id-10.tsv
OK	Maritime Jiu-Jitsu	NS	Halifax	https://www.maritimejiujitsu.ca	BJJ academy, Hood St Halifax NS	verdict-id-10.tsv
OK	Martial Arts and More of Wilmington (Team JBM BJJ)	NC	Wilmington	https://martialartswilmingtonnc.com/	BJJ and Muay Thai in Wilmington NC	verdict-id-11.tsv
OK	Master Haydar's Black Belt Academy	AZ	Goodyear	https://masterhaydar.com/	Taekwondo and BJJ classes, Goodyear AZ address	verdict-id-11.tsv
OK	Maverick Training Center	AL	Huntsville	https://mavericktraining.net/	BJJ and Muay Thai, Huntsville AL address	verdict-id-11.tsv
OK	May River BJJ	SC	Bluffton	https://www.mayriverbjj.com	BJJ, 1 Sherington Dr Bluffton SC	verdict-id-11.tsv
OK	Megalodon MMA	GA	Watkinsville	https://www.megalodongym.com/	MMA and BJJ; site lists Bogart GA	verdict-id-11.tsv
OK	Meta Martial Arts	AR	Fayetteville	https://meta-ma.com/	BJJ and MMA, N Crossover Fayetteville AR	verdict-id-11.tsv
SUSPECT	Method BJJ	NJ	South Plainfield	https://www.methodbjj.com/	Edmonton AB school; announced permanent closure 2025	verdict-id-11.tsv
OK	Michigan Top Team	MI	Detroit	https://michigantopteam.com	MMA gym; site lists Southfield MI address	verdict-id-11.tsv
OK	Mid City Martial Arts & Fitness Academy	LA	New Orleans	https://www.midcitymma.com	Jiu jitsu and wrestling, New Orleans LA	verdict-id-11.tsv
OK	Middlebury American Jiu Jitsu Academy	VT	Middlebury	https://mbjiujitsu.com	BJJ, 812 Exchange Street Middlebury VT	verdict-id-11.tsv
OK	Midwest Martial Arts Academy	SD	Sioux Falls	https://midwestmartialartssf.com	BJJ and judo school, Sioux Falls SD	verdict-id-11.tsv
OK	Mike Burlaka's Brazilian Jiu Jitsu @Hard Knocks Gym	AZ	Phoenix	https://www.facebook.com/MikeBurlakaBJJ/	Live FB page, BJJ, Phoenix AZ address	verdict-id-11.tsv
OK	Miller Martial Arts (American Top Team Warner Robins)	GA	Bonaire	https://millermartialarts.us	BJJ, 405 SR 96 Bonaire GA	verdict-id-11.tsv
OK	Mission Athletics	IA	Cedar Rapids	https://www.missionathletics.com	Wrestling and jiu jitsu, Cedar Rapids IA	verdict-id-11.tsv
OK	Mission Brazilian Jiu Jitsu	BC	Mission	https://www.missionbjj.ca	BJJ, 31510 Gill Avenue Mission BC	verdict-id-11.tsv
OK	Mission First Jiu-Jitsu	RI	Middletown	https://www.missionfirstbjj.com	BJJ, 999 West Main Middletown RI	verdict-id-11.tsv
OK	Mountain Jiu Jitsu	BC	Squamish	https://www.mtnjjsq.com	BJJ, 39455 Discovery Way Squamish BC	verdict-id-11.tsv
OK	Munduruca North Edmonton BJJ	AB	Edmonton	https://northedmontonbjj.com	BJJ, 14809 Yellowhead Trail Edmonton AB	verdict-id-11.tsv
OK	NOS Brazilian Jiu-Jitsu & MMA	BC	Vernon	https://www.shuswapbjj.com	BJJ, 740 Waddington Drive Vernon BC	verdict-id-11.tsv
OK	National Institute of Modern Martial Arts	NH	Claremont	https://nimmadojo.com	BJJ program, 140 North Street Claremont NH	verdict-id-11.tsv
OK	New England BJJ Academy	NH	Concord	https://www.nebjj.com	BJJ, 30 Henniker St Concord NH	verdict-id-11.tsv
OK	New England Top Team	NH	Salem	https://www.newenglandtopteam.com	BJJ, 8D Industrial Way Salem NH	verdict-id-11.tsv
OK	New Way Martial Arts Academy	MI	Shelby Charter Township	https://newwaytrainingcenter.com/	BJJ and judo; moved to Clinton Township	verdict-id-11.tsv
OK	Newton Jiu Jitsu	KS	Newton	https://newtonjiujitsu.com	BJJ, 400 S Main St Newton KS	verdict-id-11.tsv
OK	Next Level Combat	MN	Woodbury	https://www.nextlevelcombat.com	BJJ, 1890 Wooddale Drive Woodbury MN	verdict-id-11.tsv
OK	Next Level STL	MO	St. Louis	https://nextlevelstl.com	BJJ, judo and boxing, St. Louis MO	verdict-id-11.tsv
OK	No Illusions Martial Arts	SD	Brookings	https://www.noillusionsmartialarts.com	BJJ and Muay Thai in Brookings SD	verdict-id-11.tsv
OK	Nomad Brazilian Jiu Jitsu Studio	BC	Sechelt	https://thenomadstudio.ca	BJJ, 1780 Blower Road Sechelt BC	verdict-id-11.tsv
OK	North Wake Martial Arts	SK	Prince Albert	https://northwakemartialarts.com	Prince Albert SK named; BJJ offered	verdict-id-12.tsv
OK	Northside Brazilian Jiu Jitsu	OK	Collinsville	https://www.thenorthsidejiujitsu.com	Collinsville OK; site lists 123 N 7th	verdict-id-12.tsv
OK	Nova Jiu Jitsu Rochester	NY	Rochester	https://novajiujitsu.com	3300 Monroe Ave, Rochester NY	verdict-id-12.tsv
OK	Ocean County BJJ	NJ	Toms River	https://www.oceancountybjj.com/	Site names Forked River, NJ instead	verdict-id-12.tsv
OK	Octo Alliance Combat Sports	MI	Grand Rapids	https://octoalliancecombatsports.com/	Site says Caledonia MI, Grand Rapids metro	verdict-id-12.tsv
OK	Ohana Martial Arts	IL	Waukegan	https://ohanama.com/	Site says Grayslake IL, nine miles	verdict-id-12.tsv
OK	Oklahoma Combat Sports / KORE BJJ	OK	Poteau	https://www.facebook.com/ocskorebjj/	Facebook page live: BJJ in Poteau OK	verdict-id-12.tsv
OK	Oldham County Martial Arts Academy	KY	La Grange	https://www.ocmaaky.com	Redirects to 4217 KY-146, LaGrange KY	verdict-id-12.tsv
OK	Olympic Brazilian Jiu Jitsu	LA	Sulphur	https://olympicbjj.org	301 S Huntington St, Sulphur LA	verdict-id-12.tsv
OK	Olympus Jiu Jitsu Academy	FL	Lutz	https://bjjolympus.com/	Site says Land O' Lakes, FL	verdict-id-12.tsv
OK	One Ten Brazilian Jiu Jitsu Academy	AZ	Scottsdale	https://onetenbjj.com/	10810 E Via Linda, Scottsdale AZ	verdict-id-12.tsv
OK	Oneonta Jiu Jitsu Academy	NY	Oneonta	https://oneontajiujitsuacademy.com	5366 Main St, Oneonta NY matches	verdict-id-12.tsv
OK	Open Guard BJJ	NC	Apex	https://openguardbjj.com/	737 Center Street, Apex NC matches	verdict-id-12.tsv
OK	Oshawa BJJ	ON	Oshawa	https://oshawabjj.com/	1160 Simcoe St S, Oshawa ON	verdict-id-12.tsv
OK	P3 Martial Arts	IL	Schaumburg	https://p3schaumburg.com/	Schaumburg IL, S Roselle Rd; adult BJJ	verdict-id-12.tsv
OK	Pallaton Brazilian Jiu Jitsu	AZ	Tucson	https://www.pallatonbjj.com	Tucson AZ named; no street address	verdict-id-12.tsv
OK	Paradigm Brazilian Jiu Jitsu	MA	Lowell	https://www.theparadigmacademy.com	109 Industrial Ave E, Lowell MA	verdict-id-12.tsv
OK	Paxibellum	NY	New York	https://paxibellum.com/	4 W 18th Street, New York NY	verdict-id-12.tsv
WRONG_CITY	Peak Performance	TX	North Richland Hills	https://peakperformancemartialarts.com/	Cedar Park, TX (Austin area school)	verdict-id-12.tsv
OK	Peak Performance Decatur Brazilian Jiu-Jitsu	TX	Decatur	https://www.peakdecatur.com/	101 US 81 BUS, Decatur TX	verdict-id-12.tsv
OK	Performance Jiu-Jitsu Academy	NJ	Fair Lawn	https://armlock.com	23-12 Broadway, Fair Lawn NJ	verdict-id-12.tsv
OK	Phil Clark's Martial Arts & Relson Gracie Jiu-Jitsu Of KY	KY	Ashland	https://ashlandtaekwondo.com/	601 28th Street, Ashland KY matches	verdict-id-12.tsv
OK	Phoenix Rising Martial Arts	AR	Mountain Home	https://www.phoenixrisingma.com/	1226 Commerce Dr, Mountain Home AR	verdict-id-12.tsv
OK	Pinnacle Martial Arts Academy	LA	Monroe	https://pinnacle-ma.com/	2901 Desoto Street, Monroe LA matches	verdict-id-12.tsv
OK	Pirate BJJ	AL	Madison	https://www.piratebjj.com/	312 Palmer Rd, Madison AL listed	verdict-id-12.tsv
OK	Positive Balance Brazilian Jiu Jitsu	FL	Tallahassee	https://positivebalancegrappling.com/	1533 South Monroe, Tallahassee FL listed	verdict-id-12.tsv
OK	Potter Combat Academy	WY	Cody	https://pottercombat.com	1713 17th Street, Cody WY matches	verdict-id-12.tsv
OK	Prairie Wolfe Jiu Jitsu	KS	Wichita	https://prairiewolfejiujitsu.com	BJJ academy, Wichita KS address matches listing	verdict-id-13.tsv
OK	Precision Jiu Jitsu Spring Mount	PA	Schwenksville	https://www.precisionjjspringmount.com	Rebranded The Barracks, Schwenksville PA, BJJ	verdict-id-13.tsv
OK	Pride Martial Arts and Fitness	RI	Kingston	https://www.pridemartialarts.com	Kingston RI, BJJ program listed, address matches	verdict-id-13.tsv
OK	Primal Jiu Jitsu and Mixed Martial Arts	NH	Derry	https://www.primaljiujitsuacademy.com	Derry NH, 6 A Street matches	verdict-id-13.tsv
OK	Princeton Brazilian Jiu Jitsu	NJ	Princeton	https://www.princetonbjj.com	Princeton NJ BJJ, 741 Alexander Road	verdict-id-13.tsv
OK	Prodigy Jiu-Jitsu	OK	Edmond	https://www.prodigyjj.com/	Edmond OK headquarters, different street address listed	verdict-id-13.tsv
OK	Prodigy Martial Arts	MN	Blaine	https://www.prodigymartialartsmn.com	Blaine MN BJJ, address matches listing exactly	verdict-id-13.tsv
OK	Professional Martial Arts Academy Derry	NH	Derry	https://pmaderry.com	Derry NH, BJJ program, address matches	verdict-id-13.tsv
OK	Professional Martial Arts Academy Plaistow	NH	Plaistow	https://pmaplaistow.com	Plaistow NH, jiu-jitsu and judo, address matches	verdict-id-13.tsv
OK	Progressive Fighting Academy	AB	Lethbridge	https://pfakickboxing.com/	Lethbridge AB, BJJ and wrestling classes listed	verdict-id-13.tsv
OK	Progressive Martial Arts Grand Forks	ND	Grand Forks	https://progressivemartialartsgf.com	Grand Forks ND BJJ, address matches listing	verdict-id-13.tsv
OK	Providence BJJ	RI	Providence	https://providencebjj.com	Providence RI, 4 Aurora Street, BJJ	verdict-id-13.tsv
