verdict	name	region	record_city	other_towns	note	url	src
OK	Tutaj Brazilian Jiu Jitsu	IL	Forest Park		BJJ; moved from Forest Park to North Riverside	https://www.tutajbjj.com/	verdict-id-16.tsv
OK	Vagner Rocha Martial Arts	FL	Miami	Hollywood	Hollywood FL address, Miami metro neighbour	https://www.vagnerrochamartialarts.com/	verdict-id-17.tsv
OK	Vermont BJJ	VT	Burlington	Williston	Williston VT, Burlington metro neighbour	https://vermontbjj.com	verdict-id-17.tsv
OK	Whitefish BJJ	MT	Whitefish		Moved to Columbia Falls; glaciergrappling.com	https://whitefishbjj.com	verdict-id-17.tsv
SUSPECT	American Grappling	KY	Tompkinsville	Now Raleigh	Now Raleigh NC grappling tournament org	https://americangrappling.org/	verdict-id-2.tsv
OK	Apex Martial Arts Academy	KY	Shepherdsville	Hillview; Hillview KY	BJJ/MMA, now Hillview KY adjacent Shepherdsville	https://theapexmaa.com	verdict-id-2.tsv
WRONG_CITY	Atlanta Budokan	GA	Smyrna	Acworth	Georgia Martial Arts, Acworth GA address	https://gamasd.com/	verdict-id-2.tsv
AGGREGATOR	BJJ Revolution Team - Baton Rouge	LA	Zachary	Williston	Affiliation brand homepage, Williston VT office	https://www.bjjrevolutionteam.com/	verdict-id-3.tsv
WRONG_CITY	Bataille Jiu Jitsu Academy	NJ	Kinnelon	Bloomingdale	Bloomingdale NJ, 47 Main St	https://www.bataillejj.com/	verdict-id-3.tsv
WRONG_CITY	Bayshore BJJ	NJ	Middletown	Hazlet	Hazlet NJ, 1444 Route 36	https://www.bayshorebjj.com/	verdict-id-3.tsv
WRONG_CITY	Black Tiger Martial Arts Academy	IL	Libertyville	Grayslake	Grayslake IL, 1033 Progress Dr	https://www.blacktigerfightclub.com/	verdict-id-3.tsv
WRONG_CITY	BlackSmith Jiu Jitsu Florida	FL	Tallahassee	Niceville	Niceville FL, 1039 John Sims Parkway	https://blacksmithjiujitsu.com/	verdict-id-3.tsv
WRONG_CITY	Brian Beury Jiu Jitsu	NY	Albany	Watervliet	Watervliet NY, 1623 2nd Ave	https://brianbeauryjiujitsu.com/	verdict-id-3.tsv
OK	Combat Club Lake Worth	FL	Lake Worth	Lantana	Lantana FL address, adjacent to Lake Worth	https://www.combatclub.com/	verdict-id-4.tsv
OK	Dante Rivera Brazilian Jiu-Jitsu Academy	NJ	Freehold Township	Howell Township	Freehold/Howell Township NJ, US-9 address	https://danteriverabjj.com/	verdict-id-4.tsv
OK	Embrace Jiu Jitsu	NC	Wake Forest		Wake Forest NC BJJ, address moved	https://embracemartialarts.com	verdict-id-5.tsv
OK	Full Throttle Fitness	GA	Flowery Branch	Gainesville	Gainesville GA, near Flowery Branch, BJJ	https://fullthrottlemma.com/contact/	verdict-id-5.tsv
OK	GB Boca Raton	FL	Boca Raton		Boca Raton BJJ, address moved nearby	https://gbbocaraton.com/	verdict-id-5.tsv
OK	Gabrieles Martial Arts - Groton, CT	CT	Groton	Waterford	Waterford CT address, Gracie jujutsu, adjacent	https://gabrielesmartialarts.com/	verdict-id-6.tsv
OK	Gracie Barra Albuquerque	NM	Albuquerque	Academy Rd	12251 Academy Rd NE #103 Albuquerque	https://gbalbuquerque.com	verdict-id-6.tsv
OK	Gracie Barra Kirkland	QC	Montreal	Kirkland	Kirkland QC, West Island of Montreal	https://gbkirkland.ca	verdict-id-6.tsv
OK	Gracie Jiu-Jitsu Foothills	TN	Seymour	Maryville	Maryville TN, roughly ten miles away	https://www.graciefoothills.com	verdict-id-7.tsv
OK	Gracie Jiu-Jitsu Portland	OR	Portland		Portland confirmed, moved to SE Madison	https://www.graciepdx.com/	verdict-id-7.tsv
OK	Gracie Jiu-Jitsu Santa Clarita	CA	Santa Clarita		Santa Clarita confirmed, moved to Diamond Pl	https://graciejiujitsuscv.com/	verdict-id-7.tsv
WRONG_CITY	Gracie New Jersey Academy	NJ	Lawrenceville	Clinton Township	Lebanon / Clinton Township NJ	https://gracienewjersey.com	verdict-id-7.tsv
OK	Grand River BJJ	ON	Cambridge		Downtown Cambridge ON, moved to Dickson Street	https://grandriverbjj.ca	verdict-id-8.tsv
OK	Greubel's Mixed Martial Arts	GA	Augusta	Martinez	Martinez GA, Augusta metro	https://www.greubelsmma.com/	verdict-id-8.tsv
WRONG_CITY	Guardian Tactics	MI	Plymouth	Holland	Holland MI, not Plymouth	https://www.guardianjiujitsu.com/	verdict-id-8.tsv
OK	Helio Soneca/ 8ight Limbs Academy	TX	Harlingen		Harlingen TX, moved to Van Buren	https://www.the8ightlimbsacademy.com/	verdict-id-8.tsv
OK	Hidden Samurai Martial Arts	KY	Owensboro	Scherm Rd	Owensboro KY, now Scherm Rd	https://hsmaa7.wixsite.com/hiddensamurai	verdict-id-8.tsv
OK	Impact Jiu Jitsu Albuquerque	NM	Albuquerque	Lomas Blvd	6509 Lomas Blvd NE, Albuquerque	https://impactjjabq.com	verdict-id-8.tsv
OK	James Shook Brazilian Jiu-Jitsu	GA	Acworth	Dallas; Dallas GA	Rebrand Tier 1, now Dallas GA	https://tier1jiujitsu.com/	verdict-id-9.tsv
OK	Jiu Livre NYC	NY	New York	Manhattan	383 5th Ave, Manhattan NY	https://jiulivre.com/	verdict-id-9.tsv
OK	Jon Calestine BJJ	NY	New York	Brooklyn	315 Meserole St, Brooklyn NY	https://calestinejj.com/	verdict-id-9.tsv
