31	EchoValor Striking & MMA	Beaverton	97005	4370 SW Lloyd Ave	http://www.echovalor.com	(503) 396-0187	30	4.6	https://www.facebook.com/echovalor https://www.instagram.com/davidburnellechovalor https://www.youtube.com/@DavidBurnellEchoValor
32	Straight Blast Gym of Bend	Bend	97703	550 NW Franklin Ave ste 338	http://www.sbgbend.com/	+1 541-350-0914	202	5	
33	Fudoshin Brazilian Jiu Jitsu	Medford	97504	535 Stewart st	http://www.fudoshinbjj.com/	+1 541-699-1943	29	4.9	http://www.facebook.com/fudoshinbjj
34	Animals MMA Oregon	Hubbard	97032	17761 Dunn Rd NE		+1 503-855-7212	11	3.6	
35	Budo Fights COM	Bend	97701	51 NW Greenwood Ave		+1 541-388-1106			
36	Recreate Fitness	portland	97210	2573 NW Thurman St	https://recreatefitness.com/	+1 503-839-9008	15	5	
37	Taft Athletic Club	Lincoln City	97367	4744 Oregon Coast Hwy	http://www.taftathleticclub.com/	+1 541-614-1446	48	4.1	
38	Anibal Lobo Jiu Jitsu	Gresham	97030	839 E Powell Blvd	http://lobojiujitsu.com/	+1 503-956-5925	15	4.8	
39	Connection Rio Jiu-Jitsu Academy	Bend	97701	1620 A NE 3rd St.	https://connectionriobjj.com/	(541) 797-8762	158	5	https://www.instagram.com/connectionriobjj https://www.facebook.com/connectionriobjjbend https://www.youtube.com/ConnectionRio https://twitter.com/cr_bjj
40	Clarks University of Martial Arts	Bend	97701	62971 Plateau Dr #300	https://clark-s-university-of-martial-arts.mykajabi.com/	+1 541-232-6300	79	4.9	https://www.instagram.com/clarksuniversityofmartialarts https://www.youtube.com/channel/UCbP4IyTKlhmW8amoieKsliw https://www.facebook.com/ClarksUniversityofMartialArts
41	Combat Sports Center	salem	97417	156 Lancaster Dr SE	www.combatsportscenters.com	(971) 716-2062	47	5	
42	Invictus Defense Academy	Beaverton	97005	10195 SW Beaverton Hillsdale Hwy	http://invictusdefenseacademy.com/	+1 503-520-8941	27	4.8	
43	US World Class Taekwondo	Gresham	97080	2332 E Powell Blvd	http://www.greshamtkd.com	(503) 674-4800	17	4.8	https://www.facebook.com/USWCGresham https://www.instagram.com/uswctkd
44	Performance Martial Arts Academy	Springfield	97477	869 Shelley St	http://pgbjj.com/	+1 541-733-4599	74	5	https://www.instagram.com/droan808 https://www.facebook.com/devin.roan https://www.youtube.com/watch https://twitter.com/PMAA1
45	Impact Jiu Jitsu Mcminnville	McMinnville	97128	1290 OR-99W	http://www.impactjjmac.com/	+1 971-261-2689	67	4.7	
46	Alive MMA	portland	97206	5607 SE Woodstock Blvd	http://www.alivemma.com	+1 503-954-3304	84	4.5	
47	Impact Jiu Jitsu Clackamas	Clackamas	97015	16116 SE 82nd Dr	https://www.impactjj.com/	+1 503-350-3926	32	4.9	https://www.facebook.com/Impact-Jiu-Jitsu-178785108093 https://www.instagram.com/impactjj
48	Brazilian Top Team Oregon City	Oregon City	97045	1678 S Beavercreek Rd k	http://www.bttoregoncity.com/	+1 971-419-3900	33	4.9	https://www.youtube.com/@BrazilianTopTeamOregon https://www.instagram.com/btthappyvalley https://www.facebook.com/BTTHAPPYVALLEY
49	Eugene CTC	Eugene			https://www.ccceugene.org/	(541) 344-0620	20	4.4	https://www.instagram.com/centerforcommunitycounseling https://www.facebook.com/ccceugeneoregon
50	Art Of War MMA	Eugene	97401	251 B West Seventh Ave	http://www.artofwar-mma.com/	(541) 870-6954	71	4.9	https://www.youtube.com/channel/UCoQGL4nBrzPMoxocaBuYpxA https://www.facebook.com/Art-Of-War-MMA-248783167116 https://www.instagram.com/artofwar_mma
51	Copperhead Jiu Jitsu	Pendleton	97801	253 S Main St	https://copperheadjiujitsu.com/	+1 541-240-1991	6	5	
52	Spartan Team Brazilian Jiu-Jitsu	Medford	97501	729 Welch St	http://spartanboxinggym.com/	+1 541-973-1401	53	4.8	
53	Choi's Taekwondo Academy	Troutdale	97060	3220 S Troutdale Rd	https://choitkdacademy.com/	(503) 766-2421	36	4.9	
54	Rogue Valley Martial Arts	Phoenix	97535	104 W 1st St		+1 541-646-1350			
55	Impact Next Generation	Gresham	97030	1080 NE 8th St	http://Impactnextgeneration.com	(503) 853-2137			
56	Krav Maga Self Defense & Fitness	Milwaukie	97222	5484 SE International Way	http://www.kravmagaportland.com	(503) 786-6917	6	4.3	
57	Cauliflower Ear Family	Medford	97504	503 N Fir St	http://cauliflowerearfamily.com/	+1 541-601-6158	12	4.8	
58	The Coos Bay Dojo	Coos Bay	97420	158 Market St	http://www.coquilletkd.com/	+1 541-396-5576	5	5	
59	Stayton Self Defense	Stayton	97383	1171 N First Ave		+1 503-767-4440	12	4.5	
60	Walkers Martial Arts Academy	Newberg	97132	1126 N Springbrook Rd		+1 503-538-0232	11	5	
61	Gracie Technics Jiu-Jitsu	Troutdale	97060	3220 S Troutdale Rd Unit 1	http://www.selfdefenseoregon.com	(971) 361-8188	62	5	https://www.instagram.com/gracie_technics_troutdale https://www.facebook.com/people/Gracie-Technics-Troutdale/100065097456395/# https://youtube.com/@gracietechnicsportland7493?si=sQPggnXCoGdU2bsQ
62	Porrada Jiu Jitsu Academy	Gresham	97030	1466 NE Burnside Rd	http://www.porradajiujitsu.com/	+1 971-263-4522	1	5	
63	Ballistic Box	Wood Village	97060	24023 NE Shea Ln	https://www.facebook.com/Ballistic-Box-513819708657958/	+1 503-488-0371	84	4.8	https://www.facebook.com/login
64	Grit MMA	Oak Grove	97267	16101 SE McLoughlin Blvd	http://gritmmallc.com/	+1 971-867-3461	54	5	http://www.facebook.com/gritmmallc%20 https://www.tiktok.com/@grit_mma https://www.instagram.com/grit_mma
65	Portland Small Circle Jujitsu	portland	97232	4030 NE Broadway	http://www.portlandjujitsu.com/	+1 503-281-9060	12	5	
66	Martial Masters Academy	Hillsboro	97124	2074 NW Aloclek Dr Ste 426	http://www.martialmastersacademy.com	(503) 567-8576			
67	Atos Jiu Jitsu Northwest	Eugene	97405	2101 Bailey Hill Rd	http://www.atosjiujitsunw.com/	+1 541-653-9404	103	4.9	https://www.youtube.com/channel/UCJwvq66EkFcoMHop9DkQk-g/videos https://www.facebook.com/atosjiujitsunw https://www.instagram.com/atosjiujitsunw
68	High Desert Martial Arts	Bend	97701	63056 Lower Meadow Dr Ste 120	http://www.highdesertmartialartsbend.com/	+1 541-647-1220	15	4.7	https://www.instagram.com/highdesertma?igsh=ZGZ4cHR6aTcxMmwz
69	TigerStyle Combat Sports	portland	97206	5308 SE Foster Rd	https://tigersden.club/classes/Brazilian-Jiu-Jitsu	+1 503-686-3920	143	4.9	https://www.instagram.com/fsbjj_portland https://www.facebook.com/Tigerstyleparavida
70	Ernie Reyes World Martial Arts	Hillsboro	97123	3075 SE Century Blvd Ste 103	http://www.erniereyes.com/	+1 503-642-1500	9	4.9	
71	Rockaway Brazilian Jiu Jitsu	Rockaway Beach	97136	2310 Oregon Coast Highway N Hwy 101	http://rockawaybjj.net/	+1 206-595-5078	29	5	
72	White Panther Tae Kwon Do Boxing and Filipino Martial Arts	Astoria	97103	1465 Grand Ave	http://www.whitepantherastoria.com/	+1 503-440-4342	11	5	
73	Aim High Academy Of Martial Arts	Beaverton	97006	16205 NW Bethany Ct #100	http://www.aimhighma.org/	+1 503-640-8628	189	4.9	http://www.youtube.com/channel/UCJXlwb43FaOSIZDJ-mL2r5g http://www.facebook.com/aimhighma
74	Impact Jiu Jitsu Newberg	Newberg	97132	2751 E 9th St, Suite B	https://www.impactnewberg.com/	(503) 537-0104	31	5	http://www.instagram.com/impactnewberg https://www.facebook.com/impacttrainingcenternewbergoregon
75	Lotus Academy Brazilian Jiu Jitsu	Medford	97501	259 E Barnett Rd	http://www.lotusacademymedford.com/	+1 541-973-6775	44	4.9	https://www.instagram.com/lotusacademybjj
76	Gracie Jiu Jitsu Eugene	Eugene	97404	125 Silver Ln	http://graciejiujitsueugene.com/	+1 541-729-2455	92	5	https://www.facebook.com/pages/McKenzie-Martial-Arts-and-Family-Fitness-Center/125362937508333
77	Empire Boxing and Fitness	Eugene	97402	2101 Bailey Hill Rd	http://www.empireboxingandfitness.com/	+1 541-300-4579	45	5	
78	Renzo Gracie Jiu Jitsu Portland	portland	97227	833 N Shaver St	https://www.renzogracieportland.com/contact/	+1 503-405-9465	106	4.9	https://www.instagram.com/rgapdx https://www.facebook.com/RenzoGraciePortland
79	Brazilian Top Team Happy Valley	Clackamas	97015	9844 SE Empire Ct	http://www.btthappyvalley.com/	+1 971-419-3900	98	4.9	https://www.youtube.com/@BrazilianTopTeamOregon https://www.instagram.com/btthappyvalley https://www.facebook.com/BTTHAPPYVALLEY
80	Spartan Boxing Club	Medford	97501	729 Welch St	http://spartanboxinggym.com/	+1 541-973-2182	62	4.9	
81	Impact Jiu Jitsu Keizer	Keizer	97303	117 McNary Estates Dr N	https://salemimpactjj.com/	+1 503-544-8180	3	3.7	
82	Men’s JIUJITSU School, Astoria Oregon	Astoria	97103	1465 Grand Ave	http://mensjiujitsu.com/	+1 503-298-9887	13	5	
83	Adamson Bros Jiu Jitsu Academy	Seaside	97138	1601 S Roosevelt Dr	http://orbjj.com/	+1 503-738-4080	214	4.9	https://www.instagram.com/adamson_bros https://www.facebook.com/orbjj
84	10th Planet Jiu Jitsu Grants Pass	Grants Pass	97526	2185 NE Spalding Ave	http://www.10thplanetgrantspass.com/	+1 541-507-1400	71	4.9	http://instagram.com/10thplanetgp https://www.facebook.com/10thplanetgrantspass
85	10th Planet Newport	Newport	97365	5280 NE Shell World PL	Tsunamitc.com	(541) 606-4789	16	4.8	
86	MMA Hiit Fitness	Clackamas	97015	9844 SE Empire Ct	https://btthappyvalley.com/courses/mma-hiit-fitness/	+1 503-997-9780	5	5	https://www.youtube.com/@BrazilianTopTeamOregon https://www.instagram.com/btthappyvalley https://www.facebook.com/BTTHAPPYVALLEY
87	Portland Jiu Jitsu	Tigard	97224	14935 SW 72nd Ave	http://rivercitywarrior.com	(503) 360-8692	149	4.9	
88	Mendez Boxing Gym	Springfield	97477	2140 Main St	http://www.facebook.com/mendezboxingclub/	+1 541-868-5545	11	4.6	https://www.facebook.com/login
89	RISE Mixed Martial Arts – Eugene	Eugene	97404	125 Silver Ln	http://risemixedmartialartseugene.com/	+1 541-515-6747	18	4.8	https://www.instagram.com/rmamartialarts https://www.facebook.com/RightMentalAttitude https://www.youtube.com/channel/UC14HEOppytMqUDSOh62pItw
90	School of Budo	portland	97203	7506 N Chicago Ave	https://www.ecoledebudo.com/classes/jiu-jitsu/	(971) 563-2548	11	5	https://www.instagram.com/school_of_budo https://www.facebook.com/budoschool
91	Southwest Portland Martial Arts and CrossFit Hillsdale 	portland	97239	6309 SW Capitol Hwy	http://www.southwestportlandmartialarts.com	(503) 432-7450	60	4.9	https://www.facebook.com/wakfcfh https://www.youtube.com/user/kungfuoutreach
92	Impact Jiu Jitsu HQ Beaverton	Beaverton	97005	10720 SW Beaverton Hillsdale Highway	https://www.impactjj.com/	+1 503-350-3926	64	4.9	https://www.facebook.com/Impact-Jiu-Jitsu-178785108093 https://www.instagram.com/impactjj
93	Superhero Jiu Jitsu Academy	Springfield	97477	1820 N 42nd St #8	http://www.superherojj.com/	+1 541-600-3371	108	4.9	https://www.instagram.com/10pspringfield https://www.facebook.com/10pspringfield
94	Team Quest	Tualatin	97062	20110 SW 112th Ave	http://teamquestmma.net/	n/a			https://www.facebook.com/teamquestpdx https://www.instagram.com/teamquestmma
95	10th Planet Corvallis	Corvallis	97333	195 SE Crystal Lake Dr	https://www.facebook.com/10PCorvallis/	+1 541-753-6614	747	4.5	https://www.facebook.com/login
96	Go Hard MMA & Fitness	portland	97220	10534 NE SANDY Blvd	https://www.facebook.com/Gohardmmafitness/	(503) 427-8176	26	5	https://www.facebook.com/login
97	The Fight System	Philomath	97370	1130 Main St Unit D	http://thefightsystem.com/	+1 541-230-7788	54	4.9	https://www.instagram.com/thefightsystem https://www.facebook.com/IPFSthefightsystem
98	Integrity Martial Arts and Fitness, LLC	Albany	97321	1193 Santiam Rd SE	http://www.integritymaf.com/	+1 541-905-4849	11	5	
99	Portland CTC	Portland			https://www.ctcprograms.com/location/downtown-portland-comprehensive-treatment-center/	(971) 645-4690	80	3.6	https://www.facebook.com/comprehensive.treatment.centers https://www.linkedin.com/company/comprehensive-treatment-centers
100	Pacific Rim Martial Arts Academy	Tigard	97223	8970 SW Burnham St	http://www.prmaa.com/	+1 855-436-2836	27	4.7	
101	Medford Oregon Kung Fu & JuJitsu	Medford	97501	1128 Court St	http://www.medfordoregonkungfu.com/	+1 541-608-2848	67	4.9	http://www.facebook.com/pages/Oregon-MMA-Kung-Fu-Jiu-Jitsu/264863090208470
102	Tsunami Training Center	Newport	97365	5280 NE Shell World Pl	http://tsunamitc.com/	+1 541-606-4789	120	5	https://www.youtube.com/10PSharks https://www.instagram.com/tsunami_training https://www.facebook.com/tsunamitraining
103	Team Quest MMA & Fitness	portland	97233	18206 SE Stark St	http://www.tqmma.com	(503) 661-4134	54	4.9	https://www.facebook.com/teamquestpdx https://www.instagram.com/teamquestmma
104	Gracie Jiu-Jitsu Portland	portland	97204	124 SW Yamhill St	https://www.graciepdx.com/	+1 503-308-7407	58	4.8	https://www.facebook.com/graciepdx https://www.instagram.com/graciejiujitsuportland
105	Bigfoot Gym	Eugene	97402	1123 Bailey Hill Rd # 32	http://www.bigfootmuaythai.com/	+1 541-606-0759	23	4.7	
106	Northwest Martial Arts	Eugene	97401	755 Charnelton St	http://www.nwmaacademy.com/	+1 541-912-9099	43	4.9	https://www.instagram.com/nwmaeug https://www.facebook.com/NWMAacademy
107	Ashland Mixed Martial Art	ashland	97520	1287 Oak St	https://ashlandheroacademy.com/	+1 541-646-1295	8	5	https://www.facebook.com/ashlandheroacademy https://www.instagram.com/ashland_hero_academy
108	Industrial Strength Gym BJJ (Impact JJ)	portland	97203	8709 N Lombard St	https://industrialstrengthgym.com/brazilian-jiu-jitsu/	(971) 242-8471	178	4.9	https://www.instagram.com/industrialstrengthgym https://www.facebook.com/industrialstrengthgym
109	Northwest Fighting Arts	portland	97214	1200 SE Morrison St	http://nwfighting.com/	+1 503-235-3435	299	4.5	https://www.instagram.com/northwest_fighting_arts https://twitter.com/nwfighting https://www.facebook.com/NWfighting
110	Joint Lock BJJ - Brazilian Jiu Jitsu	Redmond	97756	1998 SW Canal Blvd	https://www.facebook.com/jointlockbjj	+1 541-410-4171	15	5	https://www.facebook.com/login
111	Oregon’s Elite Training Academy	Eugene	97403	4340 Franklin Blvd	http://www.oregonselitetrainingacademy.com/	+1 541-833-0249			
112	Victory Gym	Albany	97321	1526 NW Laurel Oaks		+1 541-220-0600	10	4.3	
113	Ralph Gracie Brazilian Jiu-Jitsu (BJJ) - Bend	Bend	97701	1310 SE Reed Market Rd #120	http://www.ralphgraciebend.com/	+1 925-895-1367	74	4.9	https://www.instagram.com/ralphgraciebend https://www.facebook.com/RalphGracieJiuJitsuBendOregon
114	CTA Hillsboro Jiu Jitsu and Boxing	Hillsboro	97124	2020 NW Aloclek Dr #105	http://www.oregonbjj.com/	+1 503-913-3036	173	5	
115	Academy of Modern Martial Arts	Lake Oswego	97035	17253 Pilkington Rd	http://www.martialarts-fitness.com/invitation.php	+1 503-697-7482	36	5	https://www.facebook.com/StrongandSecure https://www.youtube.com/user/strongandsecure
116	Zanshin Martial Arts	salem	97301	1127 Broadway St NE	http://www.zanshinarts.com/	+1 503-877-6593	18	5	https://www.facebook.com/zanshin.arts
117	Eugene Jiu Jitsu Club	Eugene	97404	577 River Rd	http://www.eugenejiujitsuclub.com/	+1 541-606-4789	122	5	
118	Kilian's Martial Arts Center	Beaverton	97005	9640 SW Sunshine Ct #500	http://www.kmacoregon.com/	+1 503-830-0818	16	5	https://twitter.com/TeePublic https://www.instagram.com/teepublic https://www.facebook.com/TeePubliccom-865099700332025 https://www.tiktok.com/@teepublic
119	Ashland Jiu-jitsu Academy	ashland	97520	1287 Oak St	http://ashlandbjj.com/	+1 541-261-7512	13	4.8	https://www.instagram.com/explore/tags/ashlandjiujitsuacademy https://www.facebook.com/pages/Ashland-Jiu-Jitsu-Academy/225100214187511
120	Enso Jiu Jitsu	Oregon City	97045	517 Main St	http://ensojj.com	(503) 703-4691	56	4.9	https://www.instagram.com/ensojiujitsu https://www.youtube.com/@EnsoJiuJitsu https://www.facebook.com/EnsoJJ
121	Salvos Training	The Dalles	97058	3721 Klindt Dr	http://salvostraining.com/	+1 541-490-9887	17	5	
122	Müv Fitness	Beaverton	97006	2200 NW Amberbrook Dr	http://portland.muvfitness.com	(503) 531-8400	2760	4.7	
123	Counter Point Martial Arts	Hubbard	97032	17761 Dunn Rd NE	https://www.facebook.com/CPMATKD	+1 503-201-9368	10	4.6	https://www.facebook.com/login
124	Next Level Barbell	Milwaukie	97267	16660 SE McLoughlin Blvd	http://www.nextlevelbarbell.com	(971) 279-0864	62	5	https://www.facebook.com/NextLevelBarbell https://www.instagram.com/nextlevelbarbell
125	Dynamic Martial Arts	Gresham	97030	421 NE Burnside Rd	http://www.dmapdx.com/	+1 503-967-5425	53	5	
126	Impact Jiu Jitsu Hillsboro	Hillsboro	97123	1001 SE Tualatin Valley Highway Suite A-29	https://impacthillsboro.com/	(503) 747-0106	60	4.9	https://www.tiktok.com/@jiu_jitsuevolutionseries https://www.youtube.com/channel/UCvU3oC0fZ6F-5cJicQlRpTQ https://www.facebook.com/impact.hillsboro https://www.instagram.com/impact_jiu_jitsu_hillsboro
127	Impact Jiu Jitsu at Crossfit Wilsonville	Wilsonville	97070	25589 SW Canyon Creek Suite 100	https://www.crossfitwilsonville.com/jiu-jitsu-at-cfw	(503) 217-4067	4	4	
128	CTA Forest Grove Jiu Jitsu	Forest Grove	97116	2835 19th Ave Suite 600	https://www.forestgrovebjj.com/	+1 971-269-8448	67	5	
129	Grappletown Wrestling & Jiujitsu	Phoenix	97535	140 N. Main St	grappletown.com	+1(541)897-8565	69	4.9	
130	Impact Jiu Jitsu Sherwood	Sherwood	97140	20746 SW Olds Pl Ste 201	http://impactjjsherwood.com	(503) 936-7019	53	5	
131	Defense Training Institute	Philomath	97370	1229 Main St		+1 541-368-0649	2	5	
132	Jujitsu-Do Martial Art Center	Eugene	97405	2490 Hilyard St	http://jujitsu-do.com/	+1 541-683-2912			
133	Salem-Keizer Brazilian Jiu-Jitsu Academy	salem	97302	2345 McGilchrist St SE Suite 2	http://www.skbjj.com/	+1 503-877-7356	94	4.9	https://facebook.com/SKBJJ https://instagram.com/skbjj_academy_kids
134	Mountain Warrior Academy Of Martial Arts (Impact JJ)	Klamath Falls	97601	1323 Elm Ave b	https://www.facebook.com/MWAMA/	+1 541-205-3411	20	4.2	https://www.facebook.com/login
135	GIRLS Gym	portland	97206	7427 SE 52nd Ave	http://www.girlsgympdx.com	+1 503-847-1681	84	4.8	
136	Valhalla Combat	Seaside	97138	1380 11th Ave	http://valhallacombat.com/	+1 541-310-2649	6	4.5	
